DOI,Title,Journal,pH,Subspecies,Species,CarbonSource,TargetMolecule,TiterUnits,FinalTiter,InitialTiter,Temperature,Medium,CultureSystem,Oxygen,FinalYield,GeneMutation,GeneName,Overexpress,Knocked out,others gene,DOI_replaced,SMILES,InChIKey
10.1016/j.ymben.2013.04.001,Engineered production of fungal anticancer cyclooligomer depsipeptides in Saccharomyces cerevisiae,Metabolic Engineering,,BJ5464-NpgA,Saccharomyces cerevisiae,Glucose,,mg/L,105.8,0.0,30.0,"YNB, YP",flask,Aerobic,,"[oe,plasmid,terminated, oe,plasmid,terminated, oe,plasmid,terminated]","[Beas-a, Beas-b, ketoisovalerate oxidoreductase]","['beas-a', 'beas-b']",[],[],10.1016.j.ymben.2013.04.001,,
10.1186/2191-0855-2-52,Engineering of acetyl-CoA metabolism for the improved production of polyhydroxybutyrate in Saccharomyces cerevisiae,AMB Express,5.0,CEN.PK113-11C,Saccharomyces cerevisiae,Glucose,PHB,mg/L,30.0,1.8,30.0,Minimal,bioreactor,Aerobic,0.13,"[aa_snps,oe,plasmid,terminated, oe,plasmid,terminated, oe,plasmid,terminated, oe,plasmid,terminated, codonoptimized,oe,plasmid,terminated, codonoptimized,oe,plasmid,terminated, codonoptimized,oe,plasmid,terminated, del]","[ACS, ERG10, ALD6, ADH2, phaA, phaB, phaC, mls1]","['ACS', 'ERG10', 'ALD6', 'ADH2', 'phaA', 'phaB', 'phaC']",['mls1'],[],10.1186.2191-0855-2-52,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N
10.1016/j.ymben.2009.07.005,Engineering of Saccharomyces cerevisiae for the production of dihydroxyacetone (DHA) from sugars: A proof of concept,Metabolic Engineering,,W303-1A,Saccharomyces cerevisiae,Glucose,,mg/L,,100.0,30.0,Verduyn,flask,Aerobic,,"[del, del, codonoptimized,oe,plasmid,terminated]","[dak1, dak2, glycerol dehydrogenase]",[],"['dak1', 'dak2']",[],10.1016.j.ymben.2009.07.005,,
10.1016/j.ymben.2004.02.005,Engineering of Saccharomyces cerevisiae for the production of l-glycerol 3-phosphate,Metabolic Engineering,,W303-1A,Saccharomyces cerevisiae,Glucose,glycerol 3-phosphate,mg/g DCW,16.0,0.2,30.0,YNB,nbflask,Aerobic,,"[del, del, del, oe,plasmid]","[gpp2, gpp1, PDC2, gpd1]",['gpd1'],"['gpp2', 'gpp1', 'PDC2']",[],10.1016.j.ymben.2004.02.005,C(C(COP(=O)(O)O)O)O,AWUCVROLDVIAJX-UHFFFAOYSA-N
10.1002/bit.25021,Engineering of Saccharomyces cerevisiae for the Synthesis of Short Chain Fatty Acids,Biotechnology and Bioengineering,,BJ5464,Saccharomyces cerevisiae,Glucose,Fatty acids,mg/L,68.0,3.0,30.0,SDC-A,nbflask,Aerobic,,"[integrated,oe, oe,plasmid, oe,plasmid]","[SFP, short chain thioesterases, type I fatty acid synthase]","['SFP', 'short chain thioesterases', 'type I fatty acid synthase']",[],[],10.1002.bit.25021,,
10.1016/j.ymben.2006.10.005,Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae for high-level production of isoprenoids,Metabolic Engineering,,EPY224,Saccharomyces cerevisiae,Galactose,amorphadiene,mM,,0.493,30.0,SD,flask,Aerobic,,"[oe,plasmid, amplified,integrated,oe,truncated, integrated,mutated,oe, integrated,oe, integrated,oe, integrated,oe,plasmid,terminated, aa_snps,oe,plasmid]","[amorpha-4,11-diene synthase, 3-hydroxy-3-methylglutaryl-coenzyme A reductase, UPC2, ERG9, ERG20, ALD6, acs]","['upc2', 'erg9', 'erg20', 'ald6', 'acs']",[],[],10.1016.j.ymben.2006.10.005,CC1CCC(C2C1CCC(=C2)C)C(=C)C,HMTAHNDPLDKYJT-CBBWQLFWSA-N
10.1016/j.ymben.2007.11.001,Engineering the Saccharomyces cerevisiae isoprenoid pathway for de novo production of aromatic monoterpenes in wine,Metabolic Engineering,,T73-4,Saccharomyces cerevisiae,Glucose,Linalool,ug/L,,1.57,30.0,SD,flask,Aerobic,,"[oe,plasmid,terminated]",[linalool synthase],[],[],[],10.1016.j.ymben.2007.11.001,CC(=CCCC(C)(C=C)O)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N
10.1016/j.ymben.2011.09.005,Engineering topology and kinetics of sucrose metabolism in Saccharomyces cerevisiae for improved ethanol yield,Metabolic Engineering,5.0,CEN.PK113-7D,Saccharomyces cerevisiae,Sucrose,Ethanol,,,,30.0,Synthetic Medium,chemostat,Aerobic,,"[integrated,oe, del]","[SUC2, AGT1]",['suc2'],['agt1'],[],10.1016.j.ymben.2011.09.005,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1111/j.1742-4658.2008.06343.x,Engineering triterpene production in Saccharomyces cerevisiae-beta-amyrin synthase from Artemisia annua,FEBS,,BY4742,Saccharomyces cerevisiae,Glucose,Beta-amyrin,ug/mL-culture,6.0,0.0,30.0,SC,nbflask,Aerobic,,"[oe,plasmid,terminated, amplified,integrated,oe,truncated, integrated,oe]","[Beta-amyrin synthase, 3-hydroxy-3-methylglutaryl-coenzyme A reductase, ERG7]","['Beta-amyrin synthase', '3-hydroxy-3-methylglutaryl-coenzyme A reductase', 'ERG7']",[],[],10.1111.j.1742-4658.2008.06343.x,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,JFSHUTJDVKUMTJ-QHPUVITPSA-N
10.1002/bit.25356,Enhanced Production of Fatty Alcohols by Engineering the TAGs Synthesis Pathway in Saccharomyces cerevisiae,Biotechnology and Bioengineering,,BY4741,Saccharomyces cerevisiae,Galactose,,,,22.0,30.0,YNB,tube,Aerobic,,"[del, oe,plasmid]","[dga1, fatty acyl-CoA reductase]",[],['dga1'],[],10.1002.bit.25356,,
10.1016/j.ymben.2012.09.003,Enhanced xylitol production through simultaneous co-utilization of cellobiose and xylose by engineered Saccharomyces cerevisiae,Metabolic Engineering,6.0,D452-2,Saccharomyces cerevisiae,"Glucose,Cellobiose",Xylitol,g/L,40.0,20.0,30.0,YP,bioreactor,Aerobic,100.0,"[integrated,oe,terminated, oe,plasmid, oe,plasmid]","[D-xylose reductase, cellobiose transporter-1, beta-glucosidase]",[],[],[],10.1016.j.ymben.2012.09.003,C(C(C(C(CO)O)O)O)O,HEBKCHPVOIAQTA-NGQZWQHPSA-N
10.1016/j.ymben.2009.07.001,Enhancing sesquiterpene production in Saccharomyces cerevisiae through in silico driven metabolic engineering,Metabolic Engineering,5.0,CEN.MS1-10C T1 x CEN.PK113-13D,Saccharomyces cerevisiae,Galactose,cubebol,mg/L,8.0,3.2,30.0,Minimal,bioreactor,Aerobic,,"[del, integrated,oe, oe,plasmid, oe,plasmid,truncated]","[gdh1, gdh2, cubebol synthase, 3-hydroxy-3-methylglutaryl-coenzyme A reductase]",['gdh2'],['gdh1'],[],10.1016.j.ymben.2009.07.001,CC1CCC(C2C13C2C(CC3)(C)O)C(C)C,KONGRWVLXLWGDV-BYGOPZEFSA-N
10.1016/j.ymben.2014.10.003,Establishing a synthetic pathway for high-level production of 3-hydroxypropionic acid in Saccharomyces cerevisiae via beta-alanine,Metabolic Engineering,5.0,CEN.PK,Saccharomyces cerevisiae,Glucose,,g/L,13.7,0.0,30.0,Minimal,,Aerobic,,"[amplified,integrated,codonoptimized,oe, amplified,integrated,codonoptimized,oe, amplified,integrated,codonoptimized,oe, amplified,integrated,oe, amplified,integrated,oe, amplified,integrated,oe]","[beta-alanine-pyruvate aminotransferase, 3-hydroxypropanoate dehydrogenase, aspartate decarboxylase, aspartate aminotransferase, pyruvate carboxylases, pyruvate carboxylases]",[],[],[],10.1016.j.ymben.2014.10.003,C1=CC(=C(N=C1)C=NNC(=S)N)O,ISFBDLBZPVCEKD-ONNFQVAWSA-N
10.1099/mic.0.2007/007856-0,Ethanol production from xylose by recombinant Saccharomyces cerevisiae expressing proteinengineered NADH-preferring xylose reductase from Pichia stipitis,Microbiology,5.5,D452-2,Saccharomyces cerevisiae,"Glucose, Xylose",ethanol,g/L,12.0,9.0,30.0,YNB,bioreactor,Microaerobic,,"[aa_snps,oe,plasmid,terminated, oe,plasmid,terminated]","[D-xylose reductase, ENZRXN-21721]","['D-xylose reductase', 'ENZRXN-21721']",[],[],10.1099.mic.0.2007.007856-0,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1016/j.ymben.2008.06.006,Ethylene production by metabolic engineering of the yeast Saccharomyces cerevisiae,Metabolic Engineering,5.0,w303-1A,Saccharomyces cerevisiae,Glucose,ethylene,ug/hr-g biomass,,0.0,30.0,YNB,bioreactor,Aerobic,890.0,"[oe,plasmid]",[EFE],['efe'],[],[],10.1016.j.ymben.2008.06.006,C=C,VGGSQFUCUMXWEO-UHFFFAOYSA-N
10.1128/AEM.69.4.1990-1998.2003,Evolutionary Engineering of Saccharomyces cerevisiae for Anaerobic Growth on Xylose,Applied and Environmental Microbiology,5.0,CEN.PK 113-7A,Saccharomyces cerevisiae,Xylose,biomass,hr^-1,0.064,0.016,30.0,YNB,bottle,Anaerobic,0.5,"[integrated,oe,terminated, del, integrated,oe,terminated, integrated,oe,terminated]","[D-xylose reductase, SUC2, xylulose kinase, xylitol dehydrogenase]","['D-xylose reductase', 'xylulose kinase', 'xylitol dehydrogenase']",['SUC2'],[],10.1128.AEM.69.4.1990-1998.2003,,
10.1073/pnas.1409523111,Evolution-guided optimization of biosynthetic pathways,PNAS,,EcNR2,Escherichia coli,Glucose,Glucaric acid,mg/L,1.2,0.05,30.0,LB,nbflask,Aerobic,,"[protein_fusion,sensor, del, oe,plasmid, codonoptimized,oe,plasmid, oe,plasmid, del]","[CdaR, garK, myo-inositol oxygenase, INO1, uronate dehydrogenase, none]","['myo-inositol oxygenase', 'INO1', 'uronate dehydrogenase']","['garK', 'none']",['CdaR'],10.1073.pnas.1409523111,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,DSLZVSRJTYRBFB-LLEIAEIESA-N
10.1371/journal.pone.0052086,Fumaric Acid Production in Saccharomyces cerevisiae by In Silico Aided Metabolic Engineering,PLoS ONE,5.0,CEN.PK2-1C,Saccharomyces cerevisiae,Glucose,fumaric acid,mg/L,1675.0,0.0,30.0,Minimal,nbflask,Aerobic,,"[del, oe,plasmid, oe,plasmid]","[FUM1, pyruvate carboxylase, SFC1]","['pyruvate carboxylase', 'SFC1']",['FUM1'],[],10.1371.journal.pone.0052086,C(=CC(=O)O)C(=O)O,VZCYOOQTPOCHFL-OWOJBTEDSA-N
10.1016/j.jbiotec.2012.01.022,Genetic engineering to enhance the Ehrlich pathway and alter carbon flux for increased isobutanol production from glucose by Saccharomyces cerevisiae,Journal of Biotechnology,,YPH499,Saccharomyces cerevisiae,Glucose,isobutanol,mg/L,143.0,11.0,30.0,YNB,bottle,Microaerobic,6.6,"[oe,plasmid, oe,plasmid, oe,plasmid, del]","[ADH6, kivD, acetolactate synthase, PDC1]","['ADH6', 'kivD', 'acetolactate synthase']",['PDC1'],[],10.1016.j.jbiotec.2012.01.022,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
10.1007/s10295-013-1269-3,Genome-scale modeling enables metabolic engineering of Saccharomyces cerevisiae for succinic acid production,Journal of Industrial Microbiology and Biotechnology,5.0,CEN.PK113-7D,Saccharomyces cerevisiae,Glucose,succinate,Cmol/g-DCW-hr,1.6,0.0,30.0,Defined (given in paper),bioreactor,Anaerobic,0.02,[del],[DIC1],[],['DIC1'],[],10.1007.s10295-013-1269-3,C(CC(=O)[O-])C(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L
10.1016/j.ymben.2011.05.001,Harnessing yeast subcellular compartments for the production of plant terpenoids,Metabolic Engineering,,BDXe,Saccharomyces cerevisiae,Glucose,valencene,ug/L,,200.0,30.0,SD,,Aerobic,,"[integrated,oe,truncated, integrated,oe,compartmentalization, integrated,oe,compartmentalization, integrated,oe,compartmentalization]","[3-hydroxy-3-methylglutaryl-coenzyme A reductase, farnesyl diphosphate synthase, valencene synthase, valencene synthase]",[],[],[],10.1016.j.ymben.2011.05.001,CC1CCC=C2C1(CC(CC2)C(=C)C)C,QEBNYNLSCGVZOH-NFAWXSAZSA-N
10.1128/AEM.02759-06,High-Level Production of Beta-Carotene in Saccharomyces cerevisiae by Successive Transformation with Carotenogenic Genes from Xanthophyllomyces dendrorhous,Applied and Environmental Microbiology,,CEN.PK 113-6B,Saccharomyces cerevisiae,Glucose,beta-carotene,mg/g CDW,5.9,0.5,30.0,YNB,nbflask,Aerobic,,"[integrated,oe,terminated, integrated,oe,terminated, amplified,integrated,oe,terminated, integrated,nuc_snps,oe,terminated, integrated,oe,terminated,truncated]","[crtY, crtB, crtI, crtE, 3-hydroxy-3-methylglutaryl-coenzyme A reductase]","['crtY', 'crtB', 'crtI', 'crtE', '3-hydroxy-3-methylglutaryl-coenzyme A reductase']",[],[],10.1128.AEM.02759-06,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,OENHQHLEOONYIE-JLTXGRSLSA-N
10.1271/bbb.90082,Improvement of Stearidonic Acid Production in Oleaginous Saccharomyces cerevisiae,"Bioscience, Biotechnology, and Biochemistry",,BY4741,Saccharomyces cerevisiae,Glucose,Stearidonic Acid,mg/L,44.0,0.0,30.0,YNB,nbflask,Aerobic,,"[del, oe,plasmid, oe,plasmid, oe,plasmid]","[SNF2, DGA1, LEU2, linoleoyl-CoA desaturase]","['DGA1', 'LEU2', 'linoleoyl-CoA desaturase']",['SNF2'],[],10.1271.bbb.90082,CCC=CCC=CCC=CCC=CCCCCC(=O)O,JIWBIWFOSCKQMA-LTKCOYKYSA-N
10.1128/AEM.71.12.8249-8256.2005,Improvement of Xylose Uptake and Ethanol Production in Recombinant Saccharomyces cerevisiae through an Inverse Metabolic Engineering Approach,Applied and Environmental Microbiology,,YSX3,Saccharomyces cerevisiae,Glucose,ethanol,g/g CDW,2.25,1.25,30.0,Synthetic Complete,nbflask,Microaerobic,,"[integrated,oe, integrated,oe, integrated,oe, oe,plasmid]","[D-xylose reductase, xylitol dehydrogenase, xylulose kinase, TAL1]","['D-xylose reductase', 'xylitol dehydrogenase', 'xylulose kinase', 'TAL1']",[],[],10.1128.AEM.71.12.8249-8256.2005,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1016/j.ymben.2005.09.007,In silico aided metabolic engineering of Saccharomyces cerevisiae for improved bioethanol production,Metabolic Engineering,5.0,CEN.PK,Saccharomyces cerevisiae,"Glucose, Xylose",ethanol,,,,30.0,Minimal,bioreactor,Anaerobic,0.36,"[integrated,oe, integrated,oe, integrated,oe, oe,plasmid]","[D-xylose reductase, xylitol dehydrogenase, xylulose kinase, gapN]","['D-xylose reductase', 'xylitol dehydrogenase', 'xylulose kinase', 'gapN']",[],[],10.1016.j.ymben.2005.09.007,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1186/1475-2859-12-119,Increased isobutanol production in Saccharomyces cerevisiae by eliminating competing pathways and resolving cofactor imbalance,Microbial Cell Factories,,BY4741,Saccharomyces cerevisiae,Glucose,isobutanol,mg/L,,20.0,30.0,YP,flask,Microaerobic,,"[del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid,compartmentalization, oe,plasmid,compartmentalization, oe,plasmid,compartmentalization, oe,plasmid]","[lpd1, kivD, ADH6, acetolactate synthase, ILV5, ILV3, acetolactate synthase, MAE1]","['kivd', 'adh6', 'ilv5', 'ilv3', 'mae1']",['lpd1'],[],10.1186.1475-2859-12-119,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
10.1016/j.ymben.2011.06.001,Increasing free-energy (ATP) conservation in maltose-grown Saccharomyces cerevisiae by expression of a heterologous maltose phosphorylase,Metabolic Engineering,5.0,CEN.PK102-3A,Saccharomyces cerevisiae,Maltose,biomass,,,,30.0,Verduyn,chemostat,Anaerobic,0.85,"[del, del, del, del, del, del, integrated,oe,terminated, codonoptimized,oe,plasmid,terminated, codonoptimized,oe,plasmid,terminated]","[MAL1, MAL21, MAL31, MAL41, MPH2, MPH3, MAL11, maltose phosphorylase, pgmB]","['MAL11', 'maltose phosphorylase', 'pgmB']","['MAL1', 'MAL21', 'MAL31', 'MAL41', 'MPH2', 'MPH3']",[],10.1016.j.ymben.2011.06.001,,
10.1038/82400,Increasing galactose consumption by Saccharomyces cerevisiae through metabolic engineering of the GAL gene regulatory network,Nature Biotechnology,5.0,CENPK113-5D,Saccharomyces cerevisiae,Galactose,biomass,mmol substrate/g-CDW hr^-1,4.25,3.01,30.0,Minimal,bioreactor,Aerobic,0.17,"[del, del, del]","[GAL6, GAL80, MIG1]",[],"['GAL6', 'GAL80', 'MIG1']",[],10.1038.82400,,
10.1371/journal.pone.0054144,Industrial Systems Biology of Saccharomyces cerevisiae Enables Novel Succinic Acid Cell Factory,PLoS ONE,5.0,CEN.PK113-5D,Saccharomyces cerevisiae,Glucose,succinate,g/L,0.9,0.03,30.0,Minimal,bioreactor,Aerobic,0.05,"[del, oe,plasmid,terminated, del, del]","[SDH3, ICL1, SER3, SER33]",['ICL1'],"['SDH3', 'SER3', 'SER33']",[],10.1371.journal.pone.0054144,C(CC(=O)[O-])C(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L
10.1111/1567-1364.12028,Isobutanol production from D-xylose by recombinant Saccharomyces cerevisiae,FEMS Yeast Research,,CEN.PK2-1C,Saccharomyces cerevisiae,Xylose,isobutanol,mg/L,1.36,0.0,30.0,YNB,nbflask,Aerobic,0.16,"[oe,plasmid, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid,compartmentalization, codonoptimized,oe,plasmid,compartmentalization, codonoptimized,oe,plasmid,compartmentalization, oe,plasmid, codonoptimized,oe,plasmid]","[ARO10, ADH2, xylulose kinase, acetolactate synthase, ILV5, ILV3, TAL1, xylA]","['ARO10', 'ADH2', 'xylulose kinase', 'acetolactate synthase', 'ILV5', 'ILV3', 'TAL1', 'xylA']",[],[],10.1111.1567-1364.12028,CC(C)CO,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
10.1111/j.1365-2672.2012.05319.x,Isoprene hydrocarbons production upon heterologous transformation of Saccharomyces cerevisiae,Journal of Applied Microbiology,,20B-12,Saccharomyces cerevisiae,Galactose,isoprene,,,,30.0,YP,nbflask,Microaerobic,,"[amplified,integrated,oe,terminated]",[ispS],['ispS'],[],[],10.1111.j.1365-2672.2012.05319.x,CC(=C)C=C,RRHGJUQNOFWUDK-UHFFFAOYSA-N
10.1186/s13068-014-0126-6,Leveraging transcription factors to speed cellobiose fermentation by Saccharomyces cerevisiae,Biotechnology for Biofuels,,BY4742,Saccharomyces cerevisiae,Cellobiose,biomass,,,,30.0,Optimal Minimal,nbflask,Anaerobic,,"[del, oe,plasmid, oe,plasmid]","[HAP4, cellodextrin transporter, beta-glucosidase]","['cellodextrin transporter', 'beta-glucosidase']",['HAP4'],[],10.1186.s13068-014-0126-6,,
10.1002/yea.1638,Identification of common traits in improved xylose-growing Saccharomyces cerevisiae for inverse metabolic engineering,Yeast,5.5,BY4741,Saccharomyces cerevisiae,"Glucose, Xylose",biomass,hr^-1,0.033,0.026,30.0,2xJeppsson minimal,chemostat,Aerobic,,"[integrated,oe, integrated,oe, integrated,oe, oe,plasmid,terminated]","[D-xylose reductase, xylitol dehydrogenase, xylulose kinase, SOL3]","['D-xylose reductase', 'xylitol dehydrogenase', 'xylulose kinase', 'SOL3']",[],[],10.1002.yea.1638,,
10.1007/s00253-012-4298-3,Implementation of a transhydrogenase-like shunt to counter redox imbalance during xylose fermentation in Saccharomyces cerevisiae,Applied Biotechnology and Microbiology,,YPH499,Saccharomyces cerevisiae,Xylose,ethanol,g/g CDW hr^-1,,0.53,30.0,YP,bottle,Anaerobic,0.38,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[D-xylose reductase, xylitol dehydrogenase, xylulose kinase, MAE1]",['mae1'],[],[],10.1007.s00253-012-4298-3,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1002/bit.22988,Improved Galactose Fermentation of Saccharomyces cerevisiae Through Inverse Metabolic Engineering,Biotechnology and Bioengineering,,CEN.PK2-1D,Saccharomyces cerevisiae,"Glucose, Galactose",ethanol,g/L,15.0,10.0,30.0,Synthetic Complete,nbflask,Microaerobic,,"[oe,plasmid]",[SNR84],['SNR84'],[],[],10.1002.bit.22988,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1002/bit.24888,Improved Polyhydroxybutyrate Production by Saccharomyces cerevisiae Through the Use of the Phosphoketolase Pathway,Biotechnology and Bioengineering,6.5,CEN.PK113-11C,Saccharomyces cerevisiae,Glucose,PHB,mg/L,,30.0,30.0,YNB,flask,Anaerobic,56.4,"[codonoptimized,oe,plasmid,terminated, codonoptimized,oe,plasmid,terminated, oe,plasmid,terminated, codonoptimized,oe,plasmid, oe,plasmid, aa_snps,codonoptimized,oe,plasmid]","[phaA, phaB, phaC, xylulose-5-phosphate phosphoketolase, ackA, acs]","['phaa', 'phab', 'phac', 'acs']",[],[],10.1002.bit.24888,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N
10.1128/AEM.00712-14,Improved Production of a Heterologous Amylase in Saccharomyces cerevisiae by Inverse Metabolic Engineering,Applied and Environmental Microbiology,6.0,CEN.PK530-1C,Saccharomyces cerevisiae,"Glucose, Starch",amylase,U Amylase/g CDW,950.0,250.0,30.0,YP,bioreactor,Aerobic,0.17,"[aa_snps,integrated]",[VTA1],[],[],['VTA1'],10.1128.AEM.00712-14,,
10.1186/1475-2859-9-84,Improved vanillin production in baker's yeast through in silico design,Microbial Cell Factories,5.0,X2180-1A,Saccharomyces cerevisiae,Glucose,vanillin,mg/L,500.0,45.0,30.0,Minimal,chemostat,Aerobic,5.6,"[integrated,oe, integrated,codonoptimized,oe, integrated,codonoptimized,oe, integrated,codonoptimized,oe, integrated,oe, del, del]","[3-dehydroshikimate dehydratase, aryl carboxylic acid reductase, phosphopantetheine transferase, O-methyltransferase, UDP-glycosyltransferase, PDC1, BGL1]",[],['pdc1'],[],10.1186.1475-2859-9-84,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N
10.1128/AEM.00683-06,Improvement of Lactic Acid Production in Saccharomyces cerevisiae by Cell Sorting for High Intracellular pH,Applied and Environmental Microbiology,,CEN.PK RWB837,Saccharomyces cerevisiae,Glucose,lactic acid,g/L,43.0,18.0,28.0,YNB,bflask,Aerobic,,"[oe,plasmid]",[ldh],['ldh'],[],[],10.1128.AEM.00683-06,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N
10.1371/journal.pone.0014763,Linking Genotype and Phenotype of Saccharomyces cerevisiae Strains Reveals Metabolic Engineering Targets and Leads to Triterpene Hyper-Producers,PLoS ONE,5.0,CEN.PK 113- 7D,Saccharomyces cerevisiae,Glucose,Beta-amyrin,mg/L,4.0,0.6,30.0,SC,bioreactor,Aerobic,,"[nuc_snps,oe,plasmid,terminated, nuc_snps,oe,plasmid,terminated, nuc_snps,oe,plasmid,terminated, nuc_snps,oe,plasmid,terminated]","[&beta;-amyrin synthase, ERG8, ERG9, HFA1]","['&beta;-amyrin synthase', 'ERG8', 'ERG9', 'HFA1']",[],[],10.1371.journal.pone.0014763,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C)C,JFSHUTJDVKUMTJ-QHPUVITPSA-N
10.1128/AEM.02591-07,"Malic Acid Production by Saccharomyces cerevisiae: Engineering of Pyruvate Carboxylation, Oxaloacetate Reduction, and Malate Export",Applied and Environmental Microbiology,6.0,CEN.PK 113-7D,Saccharomyces cerevisiae,Glucose,malate,mM,220.0,5.0,30.0,Minimal,nbflask,Aerobic,,"[del, del, del, oe,plasmid, oe,plasmid,compartmentalization,truncated, oe,plasmid]","[PDC1, PDC5, PDC6, PYC2, MDH3, MAE1]","['PYC2', 'MDH3', 'MAE1']","['PDC1', 'PDC5', 'PDC6']",[],10.1128.AEM.02591-07,C(C(C(=O)O)O)C(=O)O,BJEPYKJPYRNKOW-UHFFFAOYSA-N
10.1016/j.ymben.2013.01.003,Metabolic engineering for enhanced fatty acids synthesis in Saccharomyces cerevisiae,Metabolic Engineering,,BY4741,Saccharomyces cerevisiae,Glucose,Fatty Acids,ug/10^8 cells,,120.0,30.0,YPD,flask,Aerobic,,"[codonoptimized,oe,plasmid, del]","[ATP-citrate lyase, IDH1]",[],['idh1'],[],10.1016.j.ymben.2013.01.003,,
10.1128/AEM.70.5.2892-2897.2004,Metabolic Engineering of a Phosphoketolase Pathway for Pentose Catabolism in Saccharomyces cerevisiae,Applied and Environmental Microbiology,,CEN.PK113-1C,Saccharomyces cerevisiae,"Glucose, Xylose",ethanol,g/g CDW hr^-1,0.17,0.12,30.0,Minimal,bottle,Anaerobic,0.39,"[del, del, integrated,oe, integrated,oe, integrated,oe, oe,plasmid, oe,plasmid]","[ALD6, SUC2, D-xylose reductase, xylitol dehydrogenase, Xylulose kinase, pta, acetaldehyde dehydrogenase]","['D-xylose reductase', 'xylitol dehydrogenase', 'Xylulose kinase', 'pta', 'acetaldehyde dehydrogenase']","['ALD6', 'SUC2']",[],10.1128.AEM.70.5.2892-2897.2004,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1016/j.femsyr.2004.09.010,Metabolic engineering of a xylose-isomerase-expressing Saccharomyces cerevisiae strain for rapid anaerobic xylose fermentation,FEMS Yeast Research,5.0,CEN.PK102-3A,Saccharomyces cerevisiae,"Glucose, Xylose",ethanol,g substrate/g CDW hr^-1,,0.34,30.0,Minimal,,Anaerobic,,"[integrated,oe, del, integrated,oe, integrated,oe, integrated,oe, oe,plasmid, oe,plasmid]","[TAL1, GRE3, TKL1, RPE1, RKI1, xylA, xylulose kinase]","['tal1', 'tkl1', 'rpe1', 'rki1', 'xyla']",['gre3'],[],10.1016.j.femsyr.2004.09.010,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1128/AEM.68.6.2814-2821.2002,Metabolic Engineering of Glycerol Production in Saccharomyces cerevisiae,Applied and Environmental Microbiology,5.0,CEN PK113-7D,Saccharomyces cerevisiae,Glucose,glycerol,g/L,219.0,0.0,30.0,2xMinimal,bioreactor,Aerobic,83.0,"[del, del, del, del]","[TPI1, NDE1, NDE2, GUT2]",[],"['TPI1', 'NDE1', 'NDE2', 'GUT2']",[],10.1128.AEM.68.6.2814-2821.2002,C(C(CO)O)O,PEDCQBHIVMGVHV-UHFFFAOYSA-N
10.1002/bit.23129,Metabolic Engineering of Monoterpene Synthesis in Yeast,Biotechnology and Bioengineering,,Y21258,Saccharomyces cerevisiae,Glucose,geraniol,mg/L,5.366,0.01,30.0,YNB,nbflask,Aerobic,,"[aa_snps,oe,plasmid,terminated, del, oe,plasmid,terminated]","[ERG20, ERG20, Geraniol synthase]","['ERG20', 'Geraniol synthase']",['ERG20'],[],10.1002.bit.23129,CC(=CCCC(=CCO)C)C,GLZPCOQZEFWAFX-JXMROGBWSA-N
