paper number,Title,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,Check,feedback,Check type
26.0,Engineering Saccharomyces cerevisiae for production of the valuable monoterpene d-limonene during Chinese Baijiu fermentation,10.1007.s10295-020-02284-6,AY12α-L4,Saccharomyces cerevisiae,d-limonene (d-limonene),6.97 mg/L,Chinese Baijiu,Glucose,10%,Liquid state fermentation,6.0,3 days,30°C,,GAL1,CYC1;GGGGS;GGGS;LS;NDPS1;TCYC;TEF1;tNDPS1,CYC1 (S. cerevisiae);GGGGS (unknown);GGGS (unknown);LS (Citrus limon);NDPS1 (Solanum lycopersicum);TCYC;tLS (Citrus limon);tNDPS1 (Solanum lycopersicum),,,
26.0,Engineering Saccharomyces cerevisiae for production of the valuable monoterpene d-limonene during Chinese Baijiu fermentation,10.1007.s10295-020-02284-6,AY12α-L4,Saccharomyces cerevisiae,d-limonene (d-limonene),6.97 mg/L,Chinese Baijiu,Glucose,10%,Liquid state fermentation,6.0,3 days,30°C,,GAL1,CYC1;GGGGS;GGGS;LS;NDPS1;TCYC;TEF1;tNDPS1,CYC1 (S. cerevisiae);GGGGS (unknown);GGGS (unknown);LS (Citrus limon);NDPS1 (Solanum lycopersicum);TCYC;tLS (Citrus limon);tNDPS1 (Solanum lycopersicum),,,
,,,,,,,,,,,,,,,,,,,,
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-05,S. cerevisiae,linalool (linalool),37.39 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,72 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata);t67OMcLISE343D/E352H (M. citrata),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-05,S. cerevisiae,linalool (linalool),53.14 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,96 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata);t67OMcLISE343D/E352H (M. citrata),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-05,S. cerevisiae,linalool (linalool),53.14 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,96 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata);t67OMcLISE343D/E352H (M. citrata),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-05,S. cerevisiae,linalool (linalool),37.39 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,72 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata);t67OMcLISE343D/E352H (M. citrata),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-04,S. cerevisiae,linalool (linalool),36.48 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,96 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-03,S. cerevisiae,linalool (linalool),3.32 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,72 h,30°C,YLin-02,GAL80,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);OAaLIS (Actinidia arguta);ObLIS (Streptomyces clavuligerus);bLIS (Streptomyces clavuligerus);t2OAaLIS (Actinidia arguta);t67OMcLIS (M. citrata);tOAaLIS (Actinidia arguta),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-03,S. cerevisiae,linalool (linalool),3.32 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,72 h,30°C,YLin-02,GAL80,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);OAaLIS (Actinidia arguta);ObLIS (Streptomyces clavuligerus);bLIS (Streptomyces clavuligerus);t2OAaLIS (Actinidia arguta);t67OMcLIS (M. citrata);tOAaLIS (Actinidia arguta),,,yes
27.0,Improved linalool production in Saccharomyces cerevisiae by combining directed evolution of linalool synthase and overexpression of the complete mevalonate pathway,10.1016.j.bej.2020.107655,YLin-04,S. cerevisiae,linalool (linalool),36.48 mg/L,YPD medium,glucose,2% (w/v),"shake flask, batch culture",5.0,96 h,30°C,BY4741-C04,,ERG20;ERG20F96W/N127W;IDI1;tHMG1,AaLIS (Actinidia arguta);bLIS (Streptomyces clavuligerus);t67McLIS (M. citrata);t67OMcLIS (M. citrata),,,yes
,,,,,,,,,,,,,,,,,,,,
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ17,Saccharomyces cerevisiae,limonene (limonene),165.34 mg/L,YPD medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ10,Saccharomyces cerevisiae,limonene (limonene),117.81 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,GDH1,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ11,Saccharomyces cerevisiae,limonene (limonene),124.26 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,GDH2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ11,Saccharomyces cerevisiae,limonene (limonene),124.26 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,GDH2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ17,Saccharomyces cerevisiae,limonene (limonene),165.34 mg/L,YPD medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ10,Saccharomyces cerevisiae,limonene (limonene),117.81 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,GDH1,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ13,Saccharomyces cerevisiae,limonene (limonene),229.10 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,MLS1,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ04,Saccharomyces cerevisiae,limonene (limonene),40.01 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02;LMZ03,,ACS2;ADH2;ALD6;CltLS2;PAH1;ROX1;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ07,Saccharomyces cerevisiae,limonene (limonene),55.49 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02;LMZ03,,CIT2;CltLS2;PAH1;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ07,Saccharomyces cerevisiae,limonene (limonene),55.49 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02;LMZ03,,CIT2;CltLS2;PAH1;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ13,Saccharomyces cerevisiae,limonene (limonene),229.10 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02,MLS1,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ12,Saccharomyces cerevisiae,limonene (limonene),127.10 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ04,Saccharomyces cerevisiae,limonene (limonene),40.01 mg/L,SC medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,LMZ02;LMZ03,,ACS2;ADH2;ALD6;CltLS2;PAH1;ROX1;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ12,Saccharomyces cerevisiae,limonene (limonene),1099.01 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),0.04 g/g,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,168 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),0.04 g/g,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,168 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),1446.56 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),1446.56 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),2.23 g/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,168 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ12,Saccharomyces cerevisiae,limonene (limonene),127.10 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ01,Saccharomyces cerevisiae,limonene (limonene),100.11 mg/L,YPD medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,S. cerevisiae yCS1;yCS1,,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ01,Saccharomyces cerevisiae,limonene (limonene),100.11 mg/L,YPD medium,glucose,20 g/L,shake flask,not specified,48 h,30°C,S. cerevisiae yCS1;yCS1,,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ01,Saccharomyces cerevisiae,limonene (limonene),121.87 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,10 rounds of serial subcultures,not specified,S. cerevisiae yCS1;yCS1,,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ19,Saccharomyces cerevisiae,limonene (limonene),2.23 g/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,168 h,not specified,LMZ17,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ01,Saccharomyces cerevisiae,limonene (limonene),121.87 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,10 rounds of serial subcultures,not specified,S. cerevisiae yCS1;yCS1,,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
28.0,Combinatorial engineering of Saccharomyces cerevisiae for improving limonene production,10.1016.j.bej.2021.108155,LMZ12,Saccharomyces cerevisiae,limonene (limonene),1099.01 mg/L,YPD medium,ethanol,7-time supplement of total 45 g/L,shake-flask fed-batch fermentation,not specified,120 h,not specified,LMZ02,CIT2,CltLS2;SeACSL641P;SlNPPS,CltLS2 (Citrus limon);SlNPPS (Solanum lycopersicum),,,yes
,,,,,,,,,,,,,,,,,,,,
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG9E,Saccharomyces cerevisiae,geraniol (geraniol),93.8 ± 1.0 mg/L (38.7 ± 0.6 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,SG3,,ERG20WW;GES;IPK;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG9E,Saccharomyces cerevisiae,geraniol (geraniol),93.8 ± 1.0 mg/L (38.7 ± 0.6 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,SG3,,ERG20WW;GES;IPK;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG6I,Saccharomyces cerevisiae,geraniol (geraniol),67.1 ± 2.4 mg/L (26.7 ± 0.4 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,,,IDI1;IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG6I,Saccharomyces cerevisiae,geraniol (geraniol),67.1 ± 2.4 mg/L (26.7 ± 0.4 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,,,IDI1;IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG3,Saccharomyces cerevisiae,geraniol (geraniol),54.9 ± 1.3 mg/L (20.3 ± 0.3 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D;SG1,,GES;IPK;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG1,Saccharomyces cerevisiae,geraniol (geraniol),16.9 ± 0.2 mg/L (7.3 ± 0.2 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,GES;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG3,Saccharomyces cerevisiae,geraniol (geraniol),54.9 ± 1.3 mg/L (20.3 ± 0.3 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D;SG1,,GES;IPK;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG12,Saccharomyces cerevisiae,geraniol (geraniol),156.2 ± 6.6 mg/L (62.1 ± 1.2 mg/g DCW),YNB medium,molasses,20 g/L,shake flask,5,24 h,30 ℃,,,ERG20WW;IDI1;IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG12,Saccharomyces cerevisiae,geraniol (geraniol),156.2 ± 6.6 mg/L (62.1 ± 1.2 mg/g DCW),YNB medium,molasses,20 g/L,shake flask,5,24 h,30 ℃,,,ERG20WW;IDI1;IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG2,Saccharomyces cerevisiae,geraniol (geraniol),3.5 ± 0.2 mg/g DCW,YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG2,Saccharomyces cerevisiae,geraniol (geraniol),3.5 ± 0.2 mg/g DCW,YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG2,Saccharomyces cerevisiae,geraniol (geraniol),15.3 ± 0.7 mg/g DCW,YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG2,Saccharomyces cerevisiae,geraniol (geraniol),15.3 ± 0.7 mg/g DCW,YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,IPK,,,,yes
29.0,Diverting mevalonate pathway metabolic flux leakage in Saccharomyces cerevisiae for monoterpene geraniol production from cane molasses,10.1016.j.bej.2022.108398,SG1,Saccharomyces cerevisiae,geraniol (geraniol),16.9 ± 0.2 mg/L (7.3 ± 0.2 mg/g DCW),YNB medium,glucose,5%,shake flask,5,24 h,30 ℃,S. cerevisiae CEN.PK2–1D,,GES;ObGES,IPK (Methanothermobacter thermautotrophicus),,,yes
,,,,,,,,,,,,,,,,,,,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),21.01 mg/L,batch fermentation with 4 g/L pyruvate,pyruvate,4 g/L,2 L fermenter,5.0,72 h,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,IDI的敲除好像不对呢,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC108,Saccharomyces,linalool (linalool),2.69 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742-MC-01,DPP1;LPP1,ERG20;ERG20F96W-N127W;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,yes
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC114,Saccharomyces,linalool (linalool),2.2 times higher than 2.69 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC114,Saccharomyces,linalool (linalool),2.2 times higher than 2.69 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),7.61 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),23.45 mg/L,batch fermentation with 70 mg/L mevalonolactone,mevalonolactone,70 mg/L,2 L fermenter,5.0,72 h,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),23.45 mg/L,batch fermentation with 70 mg/L mevalonolactone,mevalonolactone,70 mg/L,2 L fermenter,5.0,72 h,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),21.01 mg/L,batch fermentation with 4 g/L pyruvate,pyruvate,4 g/L,2 L fermenter,5.0,72 h,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC216,Saccharomyces,linalool (linalool),13.60 mg/L,SS-URA with 70 mg/L mevalonolactone,mevalonolactone,70 mg/L,shake flask,5.0,3 days,30 °C,BY4742;BY4742-MC-02,DPP1;IDI1;LPP1,ERG20;ERG20F96W-N127W;IDI1;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,
30.0,High-level production of linalool by engineered Saccharomyces cerevisiae harboring dual mevalonate pathways in mitochondria and cytoplasm,10.1016.j.enzmictec.2019.109462,YMC108,Saccharomyces,linalool (linalool),2.69 mg/L,SS-URA,sucrose,2% D-sucrose,shake flask,5.0,3 days,30 °C,BY4742-MC-01,DPP1;LPP1,ERG20;ERG20F96W-N127W;LIS;tHMG1,ERG20 (S. cerevisiae S288C);ERG20F96W-N127W (S. cerevisiae S288C);LIS (C. osmophloeum),,,yes
