paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,parent strain_x,knock out gene_x,overexpress gene_x,heterologous gene_x,parent strain_y,knock out gene_y,overexpress gene_y,heterologous gene_y,knockout gene
,,,,,,,,,,,,,,,,,,,,,,,,,
p96,10.1002.bit.22984,W3110,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),0.52 ± 0.5 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,none,none,P450 PMO R2,,,,,
p96,10.1002.bit.22984,NdhNuo,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),0.55 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,"Δndh, ΔnuoA-N",none,P450 PMO R2,W3110,Dndh;DnuoA-N;ndh,,,
p96,10.1002.bit.22984,NdhAdhLdh,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),1.71 ± 0.17 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,"Δndh, ΔadhE, Δldh",none,P450 PMO R2,W3110,DadhE;Dldh;ndh,,,
p96,10.1002.bit.22984,NdhAdhLdhPtaAckA,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),0.71 ± 0.11 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,"Δndh, ΔadhE, Δldh, Δpta, ΔackA",none,P450 PMO R2,W3110,DadhE;Dldh;ackA;ndh;pta,,,
p96,10.1002.bit.22984,W3110,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),0.52 ± 0.5 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,none,none,dcP450 PMO R2,,,,,
p96,10.1002.bit.22984,Zwf,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),0.65 ± 0.12 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,Δzwf,none,dcP450 PMO R2,W3110,Zwf,,,
p96,10.1002.bit.22984,Pgi,Escherichia coli,propanol (1- and 2-propanol) (propanol (1- and 2-propanol)),1.42 ± 0.18 mmol/g cdw,nitrogen-free minimal medium,glucose,0.5 (±0.2) mM,100 mL fermentor with glucose feeding at 30-min intervals,not specified,2 h,25°C,,,,,W3110,Δpgi,none,dcP450 PMO R2,W3110,Dpgi,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),71.7 ± 3.74 mg L⁻¹,Production medium + 60 mM sodium propionate + 60 mM disodium methylmalonate,"Propionate, Methylmalonate",60 mM each,3 mL in 16 mm × 100 mm culture tubes (shake-flask),7.60,72 h,22°C,,,,,BAP1,,,"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),97.9 ± 7.32 mg L⁻¹,Production medium + 60 mM sodium propionate + 60 mM disodium methylmalonate,"Propionate, Methylmalonate",60 mM each,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,mce (S. coelicolor A3(2) methylmalonyl-CoA epimerase),"DEBS complex (eryA1, eryA2, eryA3), matBC (R. trifolii malonyl-CoA synthetase and dicarboxylate carrier protein)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),61.1 ± 2.18 mg L⁻¹,Production medium + 60 mM sodium propionate + 60 mM disodium methylmalonate,"Propionate, Methylmalonate",60 mM each,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,matBC-mce (R. trifolii matBC + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,TB3,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),101.0 ± 7.5 mg L⁻¹,Production medium + 60 mM sodium propionate,Propionate,60 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,TB3,ygfH,,"DEBS complex (eryA1, eryA2, eryA3)",BAP1,ygfH,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,TB3,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),58.6 ± 1.19 mg L⁻¹,Production medium + 60 mM sodium propionate,Propionate,60 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,TB3,ygfH,mce (S. coelicolor A3(2) methylmalonyl-CoA epimerase),"DEBS complex (eryA1, eryA2, eryA3)",BAP1,ygfH,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,TB3,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),33.1 ± 7.4 mg L⁻¹,Production medium + 60 mM sodium propionate,Propionate,60 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,TB3,ygfH,matBC-mce (R. trifolii matBC + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",BAP1,ygfH,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAB2,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),3.39 ± 0.74 mg L⁻¹,Production medium + 20 mM disodium methylmalonate,Methylmalonate,20 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAB2 (ygf operon deletion mutant of BAP1),ygfDGH (part of ygf operon),matBC-mce (R. trifolii matBC + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",BAP1(araBAD:tet),ygf operon,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),0.32 ± 0.11 mg L⁻¹,Production medium + 20 mM disodium methylmalonate,Methylmalonate,20 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,,"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),1.27 ± 0.29 mg L⁻¹,Production medium + 20 mM disodium methylmalonate,Methylmalonate,20 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,matBC-mce (R. trifolii matBC + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),0.1 mg L⁻¹,Production medium,,,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,,"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),0.1 mg L⁻¹,Production medium + 20 mM succinate,Succinate,20 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,sbm-mce (E. coli sbm + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),0.1 mg L⁻¹,Production medium + 20 mM propionate,Propionate,20 mM,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,sbm-mce (E. coli sbm + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),73.4 ± 2.0 mg L⁻¹,Production medium + 20 mM propionate + 20 mM succinate,"Propionate, Succinate",20 mM each,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,sbm-mce (E. coli sbm + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
p97,10.1002.bit.23069,BAP1,Escherichia coli,6-deoxyerythronolide B (6-dEB) (6-deoxyerythronolide B),96.4 ± 5.6 mg L⁻¹,Production medium + 20 mM propionate + 20 mM succinate,"Propionate, Succinate",20 mM each,15 mL in 125 mL Erlenmeyer flasks (shake-flask),7.60,120 h,22°C,,,,,BAP1,,sbm-mce (E. coli sbm + S. coelicolor mce),"DEBS complex (eryA1, eryA2, eryA3)",E. coli BAP1,,,eryA1 (Saccharopolyspora erythraea);eryA2 (Saccharopolyspora erythraea);eryA3 (Saccharopolyspora erythraea),
,,,,,,,,,,,,,,,,,,,,,,,,,
p98,10.1002.bit.23259,H,Escherichia coli,Hydrogen (Hydrogen),6.19 mmol H₂ mol⁻¹ glucose,M63A,Glucose,7.5 g L⁻¹,60-mL serum vials (sealed with rubber septa),Not specified,26 h,25°C,,,,,E. coli BL21(DE3),,,hydAEFG (from C. acetobutylicum),E. coli BL21(DE3),,hydA;hydAEFG,,
p98,10.1002.bit.23259,HFdY,Escherichia coli,Hydrogen (Hydrogen),9.40 mmol H₂ mol⁻¹ glucose,M63A,Glucose,7.5 g L⁻¹,60-mL serum vials (sealed with rubber septa),Not specified,26 h,25°C,,,,,H,,,"fdxA (C. pasteurianum), yumC (B. subtilis)",H,,fdxA;hydA;hydAEFG;yumC,,
p98,10.1002.bit.23259,HFdYg,Escherichia coli,Hydrogen (Hydrogen),"14.08 mmol H₂ mol⁻¹ glucose (2.25-fold vs H, 1.48-fold vs HFdY)",M63A,Glucose,7.5 g L⁻¹,60-mL serum vials (sealed with rubber septa),Not specified,26 h,25°C,,,,,HFdY,,glpX,"fdxA, yumC",H,,fdxA;glpX;hydA;hydAEFG;yumC,,
p98,10.1002.bit.23259,HFdYgz,Escherichia coli,Hydrogen (Hydrogen),"21.76 mmol H₂ mol⁻¹ glucose (3.5-fold vs H, 2.32-fold vs HFdY)",M63A,Glucose,7.5 g L⁻¹,60-mL serum vials (sealed with rubber septa),Not specified,26 h,25°C,,,,,HFdYg,,"zwf, glpX","fdxA, yumC",H,,fdxA;glpX;hydA;hydAEFG;yumC;zwf,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p99,10.1002.bit.24868,CWF4,,fumaric acid (fumaric acid),1.45 g/L,MR medium,glucose,15 g/L,"300 mL baffled flask, batch",7.0,24 h,37°C,,,,,E. coli W3110,"iclR, fumC, fumA, fumB",ppc,-,,adhE;frdABCD;fumA;fumB;fumC;iclR,,,
p99,10.1002.bit.24868,CWF41,,fumaric acid (fumaric acid),4.09 g/L,MR medium,glucose,15 g/L,"300 mL baffled flask, batch",7.0,24 h,37°C,,,,,CWF4,"iclR, fumC, fumA, fumB",ppc,-,CWF4,adhE;frdABCD;fumA;fumB;fumC;iclR,PPC,,
p99,10.1002.bit.24868,CWF51,,fumaric acid (fumaric acid),4.9 g/L,MR medium,glucose,15 g/L,"300 mL baffled flask, batch",7.0,24 h,37°C,,,,,CWF41,"iclR, fumC, fumA, fumB, arcA",ppc,-,CWF41,adhE;arcA;frdABCD;fumA;fumB;fumC;iclR,PPC,,
p99,10.1002.bit.24868,CWF61,,fumaric acid (fumaric acid),5.35 g/L,MR medium,glucose,15 g/L,"300 mL baffled flask, batch",7.0,24 h,37°C,,,,,CWF51,"iclR, fumC, fumA, fumB, arcA, ptsG",ppc,-,CWF51,adhE;arcA;frdABCD;fumA;fumB;fumC;iclR;ptsG,PPC,,
p99,10.1002.bit.24868,CWF81,,fumaric acid (fumaric acid),5.85 g/L,MR medium,glucose,15 g/L,"300 mL baffled flask, batch",7.0,24 h,37°C,,,,,CWF61,"iclR, fumC, fumA, fumB, arcA, ptsG, aspA",ppc,-,CWF61,adhE;arcA;aspA;frdABCD;fumA;fumB;fumC;iclR;ptsG,PPC,,
p99,10.1002.bit.24868,CWF611,,fumaric acid (fumaric acid),not specified,MR medium,glucose,20 g/L,"6.6-L jar fermentor, batch",7.0,27 h,37°C,,,,,CWF61,"iclR, fumC, fumA, fumB, arcA, ptsG, lacI",ppc,-,CWF61,adhE;arcA;frdABCD;fumA;fumB;fumC;iclR;ptsG,PPC,,
p99,10.1002.bit.24868,CWF811,,fumaric acid (fumaric acid),not specified,MR medium,glucose,20 g/L,"6.6-L jar fermentor, batch",7.0,27 h,37°C,,,,,CWF81,"iclR, fumC, fumA, fumB, arcA, ptsG, lacI, aspA",ppc,-,CWF81,adhE;arcA;aspA;frdABCD;fumA;fumB;fumC;iclR;lacI;ptsG,PPC,,
p99,10.1002.bit.24868,CWF812,,fumaric acid (fumaric acid),7.85 g/L,MR medium,glucose,20 g/L,"6.6-L jar fermentor, batch",7.0,<20 h,37°C,,,,,CWF811,"iclR, fumC, fumA, fumB, arcA, ptsG, galP (promoter replaced with trc), lacI, aspA",ppc,-,CWF811,adhE;arcA;aspA;frdABCD;fumA;fumB;fumC;iclR;lacI;ptsG,PPC,galP (E. coli W3110),
p99,10.1002.bit.24868,CWF811,,fumaric acid (fumaric acid),26.2 g/L,MR medium,glucose,72.5 g/L,"6.6-L jar fermentor, fed-batch",7.0,104 h,37°C,,,,,CWF81,"iclR, fumC, fumA, fumB, arcA, ptsG, lacI, aspA",ppc,-,CWF81,adhE;arcA;aspA;frdABCD;fumA;fumB;fumC;iclR;lacI;ptsG,PPC,,
p99,10.1002.bit.24868,CWF812,,fumaric acid (fumaric acid),28.2 g/L,MR medium,glucose,72.5 g/L,"6.6-L jar fermentor, fed-batch",7.0,63 h,37°C,,,,,CWF811,"iclR, fumC, fumA, fumB, arcA, ptsG, galP (promoter replaced with trc), lacI, aspA",ppc,-,CWF811,adhE;arcA;aspA;frdABCD;fumA;fumB;fumC;iclR;lacI;ptsG,PPC,galP (E. coli W3110),
,,,,,,,,,,,,,,,,,,,,,,,,,
p100,10.1002.bit.25123,"M7, M8",budding yeast,"amorpha-4,11-diene (amorpha-4,11-diene)",6-fold increase over parental strains (approx. 64 mg/L caryophyllene equivalents for best producer),SD medium with leucine dropout,galactose,2%,14 mL sterile tubes (small-scale fermentation),not specified,5 days,30°C,S. cerevisiae BY4742,none mentioned,"erg10, erg13, thmg1, erg12 (confirmed by qPCR in M3-2nd; M7/M8 showed integration of thmg1)","pRS425ADS (amorpha-4,11-diene synthase from A. annua)",,,,,,,,,
p100,10.1002.bit.25123,M3-2nd (best producer from yellowish colony batch),budding yeast,"amorpha-4,11-diene (amorpha-4,11-diene)",>13-fold increase over parental strains (~64 mg/L caryophyllene equivalents),SD medium with leucine dropout,galactose,2%,14 mL sterile tubes (small-scale fermentation),not specified,5 days,30°C,S. cerevisiae BY4742,none mentioned,"erg10, erg13, thmg1, erg12 (confirmed by qPCR)","pRS425ADS (amorpha-4,11-diene synthase from A. annua)",,,,,,,,,
p100,10.1002.bit.25123,Parental strain (BY4742::YB/I),budding yeast,"amorpha-4,11-diene (amorpha-4,11-diene)",baseline (reference),SD medium with leucine dropout,galactose,2%,14 mL sterile tubes (small-scale fermentation),not specified,5 days,30°C,S. cerevisiae BY4742,none mentioned,"crtYB, crtI (carotenoid biosynthesis genes)","pRS425ADS (amorpha-4,11-diene synthase from A. annua)",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p101,10.1002.bit.25198,F1,E. coli,α-farnesene (alpha-farnesene),0.13 g/L (400-fold increase over F0),2× TY medium,glycerol,2%,shake flask,not specified,48 h post induction,30°C,,,,,E. coli BL21(DE3),none,"pMH1, pFZ81, ispA, afs",afs (a-farnesene synthase from Malus x domestica),E. coli F0,,afs;erg13;erg8;idi;ispA;tHMG1,a-farnesene synthase (Malus x domestica),
p101,10.1002.bit.25198,F2,E. coli,α-farnesene (alpha-farnesene),decreased,2× TY medium,glycerol,2%,shake flask,not specified,48 h post induction,30°C,,,,,E. coli BL21(DE3),none,ERG13,afs (a-farnesene synthase from Malus x domestica),F1,,afs;erg13;erg8;idi;ispA;tHMG1,a-farnesene synthase (Malus x domestica);erg13 (Saccharomyces cerevisiae),
p101,10.1002.bit.25198,F3,E. coli,α-farnesene (alpha-farnesene),decreased,2× TY medium,glycerol,2%,shake flask,not specified,48 h post induction,30°C,,,,,E. coli BL21(DE3),none,ERG8,afs (a-farnesene synthase from Malus x domestica),F1,,afs;erg13;erg8;idi;ispA;tHMG1,a-farnesene synthase (Malus x domestica);erg8 (Saccharomyces cerevisiae),
p101,10.1002.bit.25198,F4,E. coli,α-farnesene (alpha-farnesene),1.1 g/L,2× TY medium,glycerol,2%,shake flask,not specified,96 h post induction,30°C,,,,,E. coli BL21(DE3),none,Idi,afs (a-farnesene synthase from Malus x domestica),F1,,afs;erg13;erg8;idi;ispA;tHMG1,a-farnesene synthase (Malus x domestica);idi (E. coli),
,,,,,,,,,,,,,,,,,,,,,,,,,
p102,10.1002.bit.25239,YPH499,Saccharomyces cerevisiae,fatty acids (fatty acids),48 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,wild-type,none,none,none,,,,,
p102,10.1002.bit.25239,DG001,Saccharomyces cerevisiae,fatty acids (fatty acids),66 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,YPH499,FAA1,none,none,YPH499,FAA1,,,
p102,10.1002.bit.25239,DG003,Saccharomyces cerevisiae,fatty acids (fatty acids),81 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,YPH499,"FAA1, FAA4",none,none,YPH499,FAA1;FAA4,,,
p102,10.1002.bit.25239,XL121,Saccharomyces cerevisiae,fatty acids (fatty acids),106 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,YPH499,"FAA1, FAA4, POX1",none,none,DG003,FAA1;FAA4;POX1,,,
p102,10.1002.bit.25239,XL122,Saccharomyces cerevisiae,fatty acids (fatty acids),124 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,XL121,none,eutE,none,XL121,FAA1;FAA4;POX1,eutE,,
p102,10.1002.bit.25239,DG005,Saccharomyces cerevisiae,fatty acids (fatty acids),~140 mg/L,SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,DG001,ADH1,none,none,DG001,ADH1;FAA1,,,
p102,10.1002.bit.25239,XL123,Saccharomyces cerevisiae,fatty acids (fatty acids),not increased (similar to XL121),SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,XL121,none,ADH2 + eutE,none,XL121,FAA1;FAA4;POX1,ADH2;eutE,,
p102,10.1002.bit.25239,XL124,Saccharomyces cerevisiae,fatty acids (fatty acids),slightly increased (vs. XL121),SC-URA / minimal media,glucose,20 g/L,"500-mL Erlenmeyer flask, batch",6.5,"3-4 days (preculture), 200 mL culture",30°C,,,,,XL121,none,adhE,none,XL121,FAA1;FAA4;POX1,adhE,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p103,10.1002.bit.25488,SP1,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),"24.2 g/L (TEF1), 25.6 g/L (PGK1), 27.6 g/L (CCW12)",YSC-URA medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,CEN.PK2-1D,PDC1,"LDH (under TEF1, PGK1, or CCW12 promoter)",LDH from *Pelodiscus sinensis*,CEN.PK2-1D,pdc1,,,
p103,10.1002.bit.25488,SP2,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),35 g/L,YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,CEN.PK2-1D,"PDC1, CYB2, GPD1","LDH (P_PGK1-ldh at PDC1/CYB2 sites, P_CCW12-ldh at GPD1 site)",LDH from *Pelodiscus sinensis*,SP1,cyb2;gpd1;pdc1,PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP3,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),35 g/L,YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,SP2,none,LDH (P_CCW12-ldh),LDH from *Pelodiscus sinensis*,SP2,cyb2;gpd1;pdc1,CCW12;PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP4,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),26.6 g/L (24% decrease vs SP2),YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,SP2,NDE1,none,LDH from *Pelodiscus sinensis*,SP2,cyb2;gpd1;nde1;pdc1,PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP5,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),35.8 g/L,YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,SP4,none,LDH (P_CCW12-ldh),LDH from *Pelodiscus sinensis*,SP4,cyb2;gpd1;nde1;pdc1,CCW12;PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP6,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),36.4 g/L,YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,SP5,NDE2,none,LDH from *Pelodiscus sinensis*,SP5,cyb2;gpd1;nde1;nde2;pdc1,CCW12;PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP7,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),37.8 g/L,YP medium with 8% (v/v) glucose,glucose,8% (v/v),"250 mL flask, batch",not specified,30 h,30°C,,,,,SP5,NDE2,LDH (P_CCW12-ldh),LDH from *Pelodiscus sinensis*,SP6,cyb2;gpd1;nde1;nde2;pdc1,CCW12;PGK1;ldh,LDH (Pelodiscus sinensis),
p103,10.1002.bit.25488,SP7,Saccharomyces cerevisiae,L-lactic acid (L-lactic acid),117 g/L,"Modified YP medium: 60 g/L glucose, 20 g/L yeast extract, 20 g/L peptone",glucose,700 g/L in feed solution (maintained at 20–30 g/L residual),"2-L jar fermentor, fed-batch",3.5 (controlled after 24 h),72 h (total fermentation time),30°C,,,,,SP5,NDE2,LDH (P_CCW12-ldh),LDH from *Pelodiscus sinensis*,SP6,cyb2;gpd1;nde1;nde2;pdc1,CCW12;PGK1;ldh,LDH (Pelodiscus sinensis),
,,,,,,,,,,,,,,,,,,,,,,,,,
p104,10.1002.bit.25683,SCIST04-06,Saccharomyces cerevisiae,a-farnesene (alpha-farnesene),6 mg/L,minimal media,glucose,20 g/L,"shake flask, batch",5.0,48 h,30 °C,,,,,S. cerevisiae CEN.PK113-5D,none,tHMG1,a-farnesene synthase from *Malus domestica*,CEN.PK113-5D,,tHMG1,farnesene synthases (M. domestica),
p104,10.1002.bit.25683,SCIST04-06,Saccharomyces cerevisiae,b-farnesene (beta-farnesene),4.5 mg/L,minimal media,glucose,20 g/L,"shake flask, batch",5.0,48 h,30 °C,,,,,S. cerevisiae CEN.PK113-5D,none,tHMG1,b-farnesene synthase from *Clausena junos*,CEN.PK113-5D,,tHMG1,farnesene synthases (M. domestica),
p104,10.1002.bit.25683,SCIST04-06,Saccharomyces cerevisiae,b-farnesene (beta-farnesene),3.5 mg/L,minimal media,glucose,20 g/L,"shake flask, batch",5.0,48 h,30 °C,,,,,S. cerevisiae CEN.PK113-5D,none,tHMG1,b-farnesene synthase from *Artemisia annua*,CEN.PK113-5D,,tHMG1,farnesene synthases (M. domestica),
p104,10.1002.bit.25683,SCIST07-12,Saccharomyces cerevisiae,a-farnesene (alpha-farnesene),~170 mg/L,minimal media,glucose,"20 g/L (initial), fed-batch","2.5 L Applikon bioreactor, RQ-controlled exponential fed-batch",5.0,~72 h (feed phase),30 °C,,,,,SCICK16 / SCIGS22,"PHXT1-ERG9, dpp1Δ, lpp1Δ (SCIST07-09); PHXT1-ERG9, dpp1Δ, lpp1Δ, ERG20Δ, GDH2Δ, gdh1Δ (SCIST10-12)",tHMG1,a-farnesene synthase from *Malus domestica*,SCICK16,ERG9;dpp1;lpp1,tHMG1,"farnesene synthases (M. domestica, C. junos, A. annua)",
p104,10.1002.bit.25683,SCIST07-12,Saccharomyces cerevisiae,b-farnesene (beta-farnesene),~160 mg/L,minimal media,glucose,"20 g/L (initial), fed-batch","2.5 L Applikon bioreactor, RQ-controlled exponential fed-batch",5.0,~72 h (feed phase),30 °C,,,,,SCICK16 / SCIGS22,"PHXT1-ERG9, dpp1Δ, lpp1Δ (SCIST07-09); PHXT1-ERG9, dpp1Δ, lpp1Δ, ERG20Δ, GDH2Δ, gdh1Δ (SCIST10-12)",tHMG1,b-farnesene synthase from *Clausena junos*,SCICK16,ERG9;dpp1;lpp1,tHMG1,"farnesene synthases (M. domestica, C. junos, A. annua)",
