paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,ethanol (ethanol),0.59 compared to 0.25 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,ethanol (ethanol),2.4 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,ethanol (ethanol),3.4 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,P. stipitis CBS 6054,Saccharomyces cerevisiae,ethanol (ethanol),3.7 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,P. stipitis CBS 6054,Saccharomyces cerevisiae,glycerol (glycerol),0.04 g glycerol g biomass−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,yes
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,glycerol (glycerol),0.26 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,yes
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,glycerol (glycerol),1.1 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,xylitol (xylitol),0.07 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,xylitol (xylitol),0.14 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,xylitol (xylitol),0.59 compared to 0.25 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,xylitol (xylitol),2.5 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,xylitol (xylitol),4.5 g l−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
,,,,,,,,,,,,,,,,,
P33,10.1016.S1567-1356(03)00155-7,CEN.PK448,Saccharomyces cerevisiae,biomass (biomass),0.08 g g−1 glucose,aerobic batch fermentation on glucose,glucose,not specified,shake flask,6.5,12-24 h,30°C,,GDH1,,,yes
P33,10.1016.S1567-1356(03)00155-7,CEN.PK448,Saccharomyces cerevisiae,biomass (biomass),0.12 g g−1 glucose,chemostat cultivation at 0.1 h−1,glucose,not specified,Applikon fermenter,5,not specified,30°C,,GDH1,,,yes
P33,10.1016.S1567-1356(03)00155-7,CEN.MS5-3A,Saccharomyces cerevisiae,biomass (biomass),0.39 g g−1 glucose,chemostat cultivation at 0.1 h−1,glucose,not specified,Applikon fermenter,5,not specified,30°C,,,GLN1;GLT1,,yes
P33,10.1016.S1567-1356(03)00155-7,CEN.MS6-1A,Saccharomyces cerevisiae,biomass (biomass),0.52 g g−1 glucose,chemostat cultivation at 0.1 h−1,glucose,not specified,Applikon fermenter,5,not specified,30°C,CEN.PK113-7D,GLR1,,,yes
P33,10.1016.S1567-1356(03)00155-7,CEN.MS6-1A,Saccharomyces cerevisiae,ethanol (ethanol),0.35 g ethanol g−1 glucose,aerobic batch fermentation on glucose,glucose,not specified,shake flask,6.5,12-24 h,30°C,CEN.PK113-7D,GLR1,,,yes
P33,10.1016.S1567-1356(03)00155-7,CEN.MS6-1A,Saccharomyces cerevisiae,glycerol (glycerol),0.058 g glycerol g−1 glucose,aerobic batch fermentation on glucose,glucose,not specified,shake flask,6.5,12-24 h,30°C,CEN.PK113-7D,GLR1,,,yes
,,,,,,,,,,,,,,,,,
P34,10.1016.S1875-5364(20)60005-X,DL-A008,Escherichia coli,astaxanthin (astaxanthin),0.88 g•L −1,not specified,glycerol,32 g•L −1,fed-batch fermentation,7,66 h,30 °C,DL-A001;RBS54,crtX,crtEXYIB;crtW;crtW*-crtZ;crtZ,crtW (Brevundimonas sp. SD212),yes
P34,10.1016.S1875-5364(20)60005-X,YL-A004,Escherichia coli,astaxanthin (astaxanthin),1.83 mg•g −1 cdw,not specified,not specified,not specified,shake-flask fermentation,not specified,24 h,30 °C,YL-CAR002;YL-Z004,crtX,crtEXYIB;crtW;crtZ,crtW (Brevundimonas sp. SD212),yes
P34,10.1016.S1875-5364(20)60005-X,RBS54,Escherichia coli,astaxanthin (astaxanthin),3.46 mg•g −1 cdw,not specified,not specified,not specified,shake-flask fermentation,not specified,24 h,30 °C,YL-A004,crtX,crtEXYIB;crtW;crtW*-crtZ;crtZ,crtW (Brevundimonas sp. SD212),yes
P34,10.1016.S1875-5364(20)60005-X,YL-CAR002,Escherichia coli,β-carotene (β-carotene),30 mg•g −1 cdw,Luria broth with 20 g•L −1 glycerol,glycerol,20 g•L −1,shake-flask fermentation,not specified,24 h,30 °C,CAR005,crtX,crtEXYIB,,yes
,,,,,,,,,,,,,,,,,
P35,10.1016.j.bej.2009.04.008,B. subtilis PK-P,Bacillus subtilis,riboflavin (riboflavin),0.031 g riboflavin g-1 glucose,minimal medium,glucose,100 g l-1,"shake flask, batch culture",not specified,not specified,41°C,B. subtilis PK,,purD;purF;purH;purM;purN,,yes
,,,,,,,,,,,,,,,,,
P36,10.1016.j.bej.2019.03.011,GSK1,Saccharomyces cerevisiae,ergosterol (ergosterol),5.6 mgL^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,INVSc1,,TCYC1;βAS,βAS (Glycyrrhiza glabra),yes
P36,10.1016.j.bej.2019.03.011,GSK1,Saccharomyces cerevisiae,β-amyrin (β-amyrin),2.7 mg L^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,INVSc1,,TCYC1;βAS,βAS (Glycyrrhiza glabra),yes
P36,10.1016.j.bej.2019.03.011,GSK1,Saccharomyces cerevisiae,β-amyrin (β-amyrin),3.1 mg L^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,INVSc1,,TCYC1;βAS,βAS (Glycyrrhiza glabra),yes
P36,10.1016.j.bej.2019.03.011,GSK6,Saccharomyces cerevisiae,β-amyrin (β-amyrin),10.86 mg L^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,GSK4;GSK5,HMG1,AUR1;EGR20;ERG1;ERG20;ERG9;HMG1;IDI;PTDH3;PTPI1;SQE;TADH2;TCYC1;TENO2;TFBA1;TMRH4;tHMG1;βAS,AUR1 (not specified);HMG1 (S. cerevisiae);tHMG1;βAS,no
P36,10.1016.j.bej.2019.03.011,GSK3,Saccharomyces cerevisiae,β-amyrin (β-amyrin),4.25 mg L^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,GSK2;INVSc1,,ERG1;SQE;TCYC1;TFBA1;βAS,βAS (Glycyrrhiza glabra),yes
P36,10.1016.j.bej.2019.03.011,GSK4,Saccharomyces cerevisiae,β-amyrin (β-amyrin),8.52 mg L^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,GSK3;INVSc1,,AUR1;EGR20;ERG1;ERG20;ERG9;IDI;PTDH3;PTPI1;SQE;TADH2;TCYC1;TENO2;TFBA1;TMRH4;βAS,AUR1 (not specified);βAS (Glycyrrhiza glabra),yes
P36,10.1016.j.bej.2019.03.011,GSK5,Saccharomyces cerevisiae,β-amyrin (β-amyrin),9.06 mgL^-1,YPD broth,Glucose,2% (w/v),"Shake flask, aerobic conditions",30 °C,5 days,200 rpm,GSK4,,AUR1;EGR20;ERG1;ERG20;ERG9;HMG1;IDI;PTDH3;PTPI1;SQE;TADH2;TCYC1;TENO2;TFBA1;TMRH4;βAS,AUR1 (not specified);βAS,yes
,,,,,,,,,,,,,,,,,
P37,10.1016.j.bej.2022.108528,BSJ03,Bacillus,fengycin (fengycin),11.53 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,,P fen;degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ00,Bacillus,fengycin (fengycin),121.20 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,,,degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ00,Bacillus,fengycin (fengycin),76.34 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,,,degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ02,Bacillus,fengycin (fengycin),137.05 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,,P ylb;degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ022,Bacillus,fengycin (fengycin),142.92 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ02,fadB,P ylb;degQ;sfp;yhfL,,yes
P37,10.1016.j.bej.2022.108528,BSJ04,Bacillus,fengycin (fengycin),146.22 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,fadB,degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ021,Bacillus,fengycin (fengycin),156.71 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ02,fadB,P ylb;degQ;sfp,,yes
P37,10.1016.j.bej.2022.108528,BSJ05,Bacillus,fengycin (fengycin),170.12 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,,degQ;sfp;yhfL,,yes
P37,10.1016.j.bej.2022.108528,BSJ06,Bacillus,fengycin (fengycin),184.12 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,,degQ;sfp;tesA;yngH,,yes
P37,10.1016.j.bej.2022.108528,BSJ023,Bacillus,fengycin (fengycin),258.41 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ02,fadB,P ylb;degQ;sfp;tesA;yhfL;yngH,,yes
P37,10.1016.j.bej.2022.108528,BSJ01,Bacillus,fengycin (fengycin),88.18 mg/L,fermentation medium,arabinose,20 g/L,shake flask,7,56 h,30°C,BSJ00,,P srfA;degQ;sfp,,yes
,,,,,,,,,,,,,,,,,
P38,10.1016.j.bej.2023.109026,KN4,Escherichia coli,SA (succinic acid),0.88 g/g,AM1,Glucose,50 g/L,Anaerobic bottles,6.8,96 h,37 °C,KN2,,cti;fabA;fabB;whiB,cti (Pseudomonas aeruginosa);fabB (E. coli),yes
,,,,,,,,,,,,,,,,,
P39,10.1016.j.biortech.2016.06.028,P4,Yarrowia lipolytica,a-farnesene (a-farnesene),16.50 ± 0.16 mg/L,YPD,glucose,2%,shake flask,7,5 days,30 °C,P2,,ERG20;FS;IDI;OptFS;OptFSLERG20;tHMG1,ERG20 (Y. lipolytica);ERG20LOptFS (Y. lipolytica);FS (apple peels (Malus x domestica));OptFS (Y. lipolytica),no
P39,10.1016.j.biortech.2016.06.028,P1,Yarrowia lipolytica,a-farnesene (a-farnesene),2.75 ± 0.29 mg/L,YPD,glucose,2%,shake flask,7,5 days,30 °C,P0,,ERG20;FS;IDI;OptFS;tHMG1,FS (apple peels (Malus x domestica)),no
P39,10.1016.j.biortech.2016.06.028,P3,Yarrowia lipolytica,a-farnesene (a-farnesene),21.39 ± 0.61 mg/L,PM,glucose and fructose,"0.01% Vitamin B1, 0.05% FeCL3, 1.99% glucose, and 2% fructose",shake flask,7,5 days,30 °C,P2,,ERG20;FS;IDI;OptFS;OptFSLERG20;tHMG1,FPPS (Y. lipolytica);FS (apple peels (Malus x domestica)),no
P39,10.1016.j.biortech.2016.06.028,P6,Yarrowia lipolytica,a-farnesene (a-farnesene),22.41 ± 0.22 mg/L,S2,glucose,"0.05% Yeast Extract, 0.05% (NH4)2SO4, 0.15% MgSO4 Á7H2O and 3% glucose",shake flask,7,5 days,30 °C,P2,,ERG20;FS;IDI;OptFS;tHMG1,FS (apple peels (Malus x domestica)),no
P39,10.1016.j.biortech.2016.06.028,P5,Yarrowia lipolytica,a-farnesene (a-farnesene),5.14 ± 0.61 mg/L,MP,glucose and fructose,"0.6% KH2PO4, 0.05% (NH4)2SO4, 0.5% L-Lysine, 0.5% L-Tryptopham, 0.01% Ergosterol, 0.03% Ethanolamine, 0.1% L-Asparagine, 1% L-isoleucine, 1% glucose, and 2% fructose",shake flask,7,5 days,30 °C,P2,,ERG20;FS;IDI;OptFS;OptFSLERG20;tHMG1,FPPS (Y. lipolytica);FS (apple peels (Malus x domestica)),no
P39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,a-farnesene (a-farnesene),57.08 ± 1.43 mg/L,PM,glucose and fructose,"0.01% Vitamin B1, 0.05% FeCL3, 1.99% glucose, and 2% fructose",1.5 L fermenter,7,5 days,30 °C,P6;Po1h,,ERG20;FS;IDI;OptFS;tHMG1,FS (apple peels (Malus x domestica)),yes
P39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,biomass (biomass),7.65 ± 1.40 g/L,PM,glucose and fructose,"0.01% Vitamin B1, 0.05% FeCL3, 1.99% glucose, and 2% fructose",1.5 L fermenter,7,5 days,30 °C,P6;Po1h,,ERG20;FS;IDI;OptFS;tHMG1,FS (apple peels (Malus x domestica)),yes
P39,10.1016.j.biortech.2016.06.028,P2,Yarrowia lipolytica,a-farnesene (a-farnesene),6.12 ± 0.32 mg/L,YPD,glucose,2%,shake flask,7,5 days,30 °C,P1,,ERG20;FS;IDI;OptFS;tHMG1,FS (apple peels (Malus x domestica)),no
,,,,,,,,,,,,,,,,,
P41,10.1016.j.biortech.2023.129540,ARG12,Escherichia coli,L-arginine (L-arginine),0.43g/g,Betaine-supplemented fermentation medium,Glucose,10g/L,Fed-batch fermenter with initial working volume of 3 L,Not mentioned,Not mentioned,37℃,,,,,yes
P41,10.1016.j.biortech.2023.129540,ARG12,Escherichia coli,L-arginine (L-arginine),110g/L,Betaine-supplemented fermentation medium,Glucose,10g/L,Fed-batch fermenter with initial working volume of 3 L,Not mentioned,Not mentioned,37℃,,,,,yes
P41,10.1016.j.biortech.2023.129540,ARGp2,Escherichia coli,L-arginine (L-arginine),0.37g/L,Betaine-free fermentation medium,Glucose,10g/L,96 deep-well plate fermentation,Not mentioned,Not mentioned,Not mentioned,,,,,no
P41,10.1016.j.biortech.2023.129540,ARGp15,Escherichia coli,L-arginine (L-arginine),0.66g/L,Betaine-free fermentation medium,Glucose,10g/L,96 deep-well plate fermentation,Not mentioned,Not mentioned,Not mentioned,,,,,no
P41,10.1016.j.biortech.2023.129540,ARGs1,Escherichia coli,L-arginine (L-arginine),29.8g/L,Betaine-free fermentation medium,Glucose,10g/L,Shake flask fermentation,Not mentioned,28h,37℃,,,,,no
P41,10.1016.j.biortech.2023.129540,ARGs2,Escherichia coli,L-arginine (L-arginine),28.7g/L,Betaine-free fermentation medium,Glucose,10g/L,Shake flask fermentation,Not mentioned,28h,37℃,,,,,no
P41,10.1016.j.biortech.2023.129540,ARGs3,Escherichia coli,L-arginine (L-arginine),31.2g/L,Betaine-free fermentation medium,Glucose,10g/L,Shake flask fermentation,Not mentioned,28h,37℃,,,,,no
P41,10.1016.j.biortech.2023.129540,ARGs4,Escherichia coli,L-arginine (L-arginine),31.9g/L,Betaine-free fermentation medium,Glucose,10g/L,Shake flask fermentation,Not mentioned,28h,37℃,,,,,no
,,,,,,,,,,,,,,,,,
P42,10.1016.j.biortech.2023.130145,S7,E.coli,MCFA (medium-chain fatty acids),1.17g/L,soy whey,soy whey sugars,intrinsic,shake flask,7,20h,37°C,S4,EIICBGLC;galP;gltA;lacY;ldhA;mglCAB;pflB;poxB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S8,E.coli,MCFA (medium-chain fatty acids),16.42g/L,soy whey,glucose fed-batch,20g/L glucose,"3-L bioreactor, fed-batch",7,20h,-,S7,EIICBGLC;galP;gltA;lacY;ldhA;mglCAB;pflB;poxB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S8,E.coli,MCFA (medium-chain fatty acids),3.25g/L,soy whey,soy whey sugars,intrinsic,shake flask,7,40h,30°C,S7,EIICBGLC;galP;gltA;lacY;ldhA;mglCAB;pflB;poxB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S8,E.coli,MCFA (medium-chain fatty acids),4.72g/L,soy whey,2.5g/L methanol,intrinsic &amp; supplement,shake flask,7,-,-,S7,EIICBGLC;galP;gltA;lacY;ldhA;mglCAB;pflB;poxB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S8,E.coli,MCFA (medium-chain fatty acids),8.20g/L,soy whey,soy whey sugars,intrinsic,"3-L bioreactor, batch",7,20h,-,S7,EIICBGLC;galP;gltA;lacY;ldhA;mglCAB;pflB;poxB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S2,E.coli,MCFA (medium-chain fatty acids),377.52mg/L,soy whey,soy whey sugars,intrinsic,shake flask,7,40h,30°C,C3,EIICBGLC;galP;lacY;mglCAB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
P42,10.1016.j.biortech.2023.130145,S4,E.coli,MCFA (medium-chain fatty acids),547.17mg/L,soy whey,soy whey sugars,intrinsic,shake flask,7,-,-,S2,EIICBGLC;galP;lacY;mglCAB,Bs_Mdh;Cb_Fdh;EGFP;Ec_YdiI;Eg_Ter;FalDH;P3;Re_BktB;Se_FadB;Se_fadB;galP;r-BOX;sucrase;α-galactosidase,Ec_yidI (Escherichia coli);Eg_ter (Euglena gracilis);Re_bktB (Ralstonia eutropha);Se_fadB (Salmonella enterica);frmA (not specified);frmB (not specified),yes
,,,,,,,,,,,,,,,,,
P43,10.1016.j.cels.2023.10.005,WL4PL3,Escherichia coli,4HPLA (4-hydroxyphenyllactate),"1,158.9 mg/L",MR medium,Glucose,20 g/L,Fed-batch,7,48h,37°C,E.coli W3110;WL4PL2,pykF,aspC;eno;fbaA;gltA;pck;pgi;ppsA;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WL4PL3,Escherichia coli,D-panthenol (D-panthenol),13.25 g/L,Fed-batch + Malate,Glucose+Malate,20 g/L+Not specified,Fed-batch,7,48h,37°C,E.coli W3110;WL4PL2,pykF,aspC;eno;fbaA;gltA;pck;pgi;ppsA;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WL4PL1,Escherichia coli,4HPLA (4-hydroxyphenyllactate),1.5 g/L,MR medium,Glucose,20 g/L,Fed-batch,7,48h,37°C,E.coli W3110;E.coli WLRB,,,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WL4PL2,Escherichia coli,4HPLA (4-hydroxyphenyllactate),4.8 g/L,MR medium,Glucose,20 g/L,Fed-batch,7,48h,37°C,E.coli W3110;WL4PL1,,aspC;eno;fbaA;gltA;pck;pgi;ppsA;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WL4PL2,Escherichia coli,4HPLA (4-hydroxyphenyllactate),840.8 mg/L,Flask,Glucose,Not specified,-,-,48h,37°C,E.coli W3110;WL4PL1,,aspC;eno;fbaA;gltA;pck;pgi;ppsA;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WLPAN3,Escherichia coli,D-panthenol (D-panthenol),10.3 g/L,Fed-batch,Glucose,20 g/L,Fed-batch,7,48h,37°C,E.coli W3110;WLPAN1,icd;tyrB;tyrR,acnB;ansB;aspC;carM;ilvBN;ilvBNmut;panDBC;pck;ppsA;sfp,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WLPAN2,Escherichia coli,D-panthenol (D-panthenol),177.6 mg/L,Flask,Glucose,Not specified,-,-,48h,37°C,E.coli W3110;WLPAN1,tyrB;tyrR,acnB;ansB;aspC;carM;eno;fbaA;gltA;ilvBN;ilvBNmut;panDBC;pck;pgi;ppsA;sfp;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WLPAN2,Escherichia coli,D-panthenol (D-panthenol),383.6 mg/L,Flask,MR medium,20 g/L,-,7,48h,37°C,E.coli W3110;WLPAN1,tyrB;tyrR,acnB;ansB;aspC;carM;eno;fbaA;gltA;ilvBN;ilvBNmut;panDBC;pck;pgi;ppsA;sfp;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WLPAN2,Escherichia coli,D-panthenol (D-panthenol),4.1 g/L,Fed-batch,Glucose,20 g/L,Fed-batch,7,48h,37°C,E.coli W3110;WLPAN1,tyrB;tyrR,acnB;ansB;aspC;carM;eno;fbaA;gltA;ilvBN;ilvBNmut;panDBC;pck;pgi;ppsA;sfp;tpiA,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,WLPAN1,Escherichia coli,D-panthenol (D-panthenol),27.5 mg/L,Flask,MR medium,20 g/L,-,7,48h,37°C,E.coli W3110;E.coli WL3110,tyrB;tyrR,acnB;ansB;aspC;carM;ilvBN;ilvBNmut;panDBC;pck;ppsA;sfp,carM (Mycobacterium marinum);panDBC (Corynebacterium glutamicum);sfp (B.subtilis),yes
P43,10.1016.j.cels.2023.10.005,XQSAGP,Escherichia coli,putrescine (putrescine),63.7 g/L,Fed-batch,Glucose,10 g/L,Fed-batch,7,48h,37°C,XQSAG,,carM;pyc;sfp,,yes
,,,,,,,,,,,,,,,,,
P44,10.1016.j.ces.2016.06.014,M1EG,Saccharomyces cerevisiae,squalene (squalene),15.21mg/L,YPD broth,glucose,20g/L,"shake flask, batch fermentation",6,overnight,30°C,INVSc1;WT,,ERG2;ERG20;ERG9;HMG1;IDI1,,no
P44,10.1016.j.ces.2016.06.014,M1EG,Saccharomyces cerevisiae,squalene (squalene),34mg/L,YPD broth,glucose,20g/L,"shake flask, batch fermentation",6,48h,30°C,INVSc1;WT,,ERG2;ERG20;ERG9;HMG1;IDI1,,no
,,,,,,,,,,,,,,,,,
P45,10.1016.j.enzmictec.2019.109437,BDPP101,Pseudomonas putida,mevalonate (mevalonate),0.31 g/L,M9B,"2,3-BDO",7.5 g/L,"shake flask, 200 rpm",not specified,30 h,30 °C,P. putida KT2440,,atoB;mvaE;mvaS,atoB (P. putida KT2440);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),yes
P45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),1.52 g/L,M9B,"2,3-BDO",7.5 g/L,"shake flask, 200 rpm",not specified,30 h,30 °C,BDPP101;P. putida KT2440,,atoB;mvaE;mvaES;mvaS,atoB (P. putida KT2440);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),yes
P45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),2.21 g/L,M9B,"2,3-BDO",7.5 g/L,"shake flask, 150 rpm",not specified,30 h,30 °C,BDPP101;P. putida KT2440,,atoB;mvaE;mvaES;mvaS,atoB (P. putida KT2440);mvaE (Enterococcus faecalis);mvaS (Enterococcus faecalis),yes
