paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check
p40,10.1016.j.biortech.2023.128911,,Escherichia coli," (1,3-Butanediol)",,,,,,,,,,,"atoB, tesB, yciA",,,strain
p40,10.1016.j.biortech.2023.128911,K2-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,"adhE, poxB, ldhA","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero titer
p40,10.1016.j.biortech.2023.128911,K3-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero titer
p40,10.1016.j.biortech.2023.128911,K4-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA, atoB","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero titer
p40,10.1016.j.biortech.2023.128911,K5-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA, tesB","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero titer
p40,10.1016.j.biortech.2023.128911,K6-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",257mM,M9,Glucose,Variable,Fed-batch bioreactor,7.0 ± 0.1,36h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA, yciA","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero
p40,10.1016.j.biortech.2023.128911,K7-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA, tesB, yciA","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero titer
,,,,,,,,,,,,,,,,,,
p41,10.1016.j.biortech.2023.129540,ARG12,Escherichia coli,L-arginine (L-arginine),110 g/L,"Fermentation medium containing glucose, yeast extract, KH2PO4, MgSO4, FeSO4, MnSO4, VB1, VB3, VB5, VB12, VH, and betaine",Glucose,10 g/L,"5-L fermenter, fed-batch",Not specified,36h,37℃,,Not specified,ygaY (for chromosomal integration),Not specified,Not specified,yes
p41,10.1016.j.biortech.2023.129540,ARGs1,Escherichia coli,L-arginine (L-arginine),29.8 g/L,Shake flask medium same as bioreactor medium,Glucose,Not specified,Shake flask,Not specified,28h,37℃,,ARG12,Not specified,cynX,Not specified,yes
p41,10.1016.j.biortech.2023.129540,ARGs2,Escherichia coli,L-arginine (L-arginine),28.7 g/L,Shake flask medium same as bioreactor medium,Glucose,Not specified,Shake flask,Not specified,28h,37℃,,ARG12,Not specified,cynT,Not specified,yes
p41,10.1016.j.biortech.2023.129540,ARGs3,Escherichia coli,L-arginine (L-arginine),31.2 g/L,Shake flask medium same as bioreactor medium,Glucose,Not specified,Shake flask,Not specified,28h,37℃,,ARG12,Not specified,pyrB,Not specified,yes
p41,10.1016.j.biortech.2023.129540,ARGs4,Escherichia coli,L-arginine (L-arginine),Not specified,Shake flask medium same as bioreactor medium,Glucose,Not specified,Shake flask,Not specified,28h,37℃,,ARG12,Attenuated rhaB,Not specified,Not specified,titer
p41,10.1016.j.biortech.2023.129540,ARGs5,Escherichia coli,L-arginine (L-arginine),31.9 g/L,Shake flask medium same as bioreactor medium,Glucose,Not specified,Shake flask,Not specified,28h,37℃,,ARG12,rhaB,Not specified,Not specified,yes
p41,10.1016.j.biortech.2023.129540,ARGs6,Escherichia coli,L-arginine (L-arginine),33.1 g/L (shake flask); 125 g/L (5-L fermenter),Shake flask/fermentation medium,Glucose,10 g/L,"Shake flask/5-L fermenter, fed-batch",Not specified,28h (shake flask); 36h (fermenter),37℃,,ARG12,rhaB,"cynX, cynT, pyrB",Not specified,yes
,,,,,,,,,,,,,,,,,,
p42,10.1016.j.biortech.2023.130145,C1,E.coli,MCFA (Medium-chain fatty acids),-,soy whey,"sucrose, stachyose, raffinose",unspecified,-,-,-,-,,BL21(DE3),-,"sucrase, α-galactosidase",-,titer
p42,10.1016.j.biortech.2023.130145,C2,E.coli,GFP (green fluorescent protein),-,soy whey,galactose,unspecified,-,-,-,"37°C, 30°C",,C1,-,-,EGFP,titer
p42,10.1016.j.biortech.2023.130145,C3,E.coli,- (Medium-chain fatty acids),-,soy whey,galactose,unspecified,-,-,-,"37°C, 30°C",,C2,"galP, mglCAB, lacY",-,-,titer
p42,10.1016.j.biortech.2023.130145,C4 to C6,E.coli,GFP (green fluorescent protein),unspecified,soy whey,galactose,unspecified,-,-,-,"37°C, 30°C",,C3,-,"galP (C6), mglCAB (C5), lacY (C4)",-,titer
p42,10.1016.j.biortech.2023.130145,S2,E.coli,MCFA (Medium-chain fatty acids),377.52 mg/L,soy whey,galactose,unspecified,-,7,20h,-,,C3,-,galP (under PgalP P3),r-BOX,yes
p42,10.1016.j.biortech.2023.130145,S4,E.coli,MCFA (Medium-chain fatty acids),547.17 mg/L,soy whey,galactose,unspecified,-,7,-,37°C,,S2,-,Se_fadB,r-BOX,yes
p42,10.1016.j.biortech.2023.130145,S7,E.coli,MCFA (Medium-chain fatty acids),1.17 g/L,soy whey,galactose,unspecified,-,-,-,-,,S4,"poxB, ldhA, pflB, gltA",galP (under PgalP P3),r-BOX,yes
p42,10.1016.j.biortech.2023.130145,S8,E.coli,MCFA (Medium-chain fatty acids),3.25 g/L,soy whey,"galactose, methanol",2.50 g/L methanol,-,7,15h,-,,S7,-,galP (under PgalP P3),"r-BOX, Bs_mdh, falDH, Cb_fdh",yes
,,,,,,,,,,,,,,,,,,
p43,10.1016.j.cels.2023.10.005,WLPAN1,Escherichia coli,D-panthenol (D-panthenol),"27.5 mg/L (flask), 0.3 g/L (fed-batch)",MR medium,Glucose,20 g/L,"Flask (shake flask for flask studies), Bioreactor (5L BioFlo 320)",7.00,"48h (flask), varies for fed-batch",37°C,,WL3110,,"carM, sfp, panD, panB, panC","M. marinum carM, B. subtilis sfp, C. glutamicum panD, panB, panC",yes
p43,10.1016.j.cels.2023.10.005,WLPAN2,Escherichia coli,D-panthenol (D-panthenol),"177.6 mg/L (flask), 4.1 g/L (fed-batch)",MR medium,Glucose,20 g/L,"Flask (shake flask for flask studies), Bioreactor (5L BioFlo 320)",7.00,"48h (flask), varies for fed-batch",37°C,,WLPAN1,,ilvBNmut,"M. marinum carM, B. subtilis sfp, C. glutamicum panD, panB, panC",yes
p43,10.1016.j.cels.2023.10.005,WLPAN3,Escherichia coli,D-panthenol (D-panthenol),"383.6 mg/L (flask), 10.3 g/L (fed-batch)",MR medium,Glucose,20 g/L,"Flask (shake flask for flask studies), Bioreactor (5L BioFlo 320)",7.00,"48h (flask), varies for fed-batch",37°C,,WLPAN2,,icd,"M. marinum carM, B. subtilis sfp, C. glutamicum panD, panB, panC",OE
p43,10.1016.j.cels.2023.10.005,WLPAN3 (with malate),Escherichia coli,D-panthenol (D-panthenol),13.25 g/L (fed-batch),MR medium,Glucose,20 g/L + malate,Bioreactor (5L BioFlo 320),7.00,varies for fed-batch,37°C,,WLPAN3,,"ilvBNmut, icd","M. marinum carM, B. subtilis sfp, C. glutamicum panD, panB, panC",yes
p43,10.1016.j.cels.2023.10.005,XQSAG,Escherichia coli,Putrescine (Putrescine),53.0 g/L (fed-batch),R/2 medium,Glucose,10 g/L,Bioreactor (5L BioFlo 320),6.80,varies for fed-batch,37°C,,XQ52,,"argF, glnA",,yes
p43,10.1016.j.cels.2023.10.005,XQSAGP,Escherichia coli,Putrescine (Putrescine),63.7 g/L (fed-batch),R/2 medium,Glucose,10 g/L,Bioreactor (5L BioFlo 320),6.80,varies for fed-batch,37°C,,XQSAG,,"argF, glnA",C. glutamicum pyc,yes
p43,10.1016.j.cels.2023.10.005,WL4PL1,Escherichia coli,4HPLA (4-Hydroxyphenyllactate),1.5 g/L (fed-batch),MR medium,Glucose,20 g/L,Fed-batch (5L bioreactor),7.00,varies for fed-batch,37°C,,W3110,"tyrB, tyrR","aroGfbr, tyrAfbr, fldH",,yes
p43,10.1016.j.cels.2023.10.005,WL4PL2,Escherichia coli,4HPLA (4-Hydroxyphenyllactate),4.8 g/L (fed-batch),MR medium,Glucose,20 g/L,Fed-batch (5L bioreactor),7.00,varies for fed-batch,37°C,,WL4PL1,"tyrB, tyrR","ppsA, aroGfbr, tyrAfbr, fldH",,yes
p43,10.1016.j.cels.2023.10.005,WL4PL3,Escherichia coli,4HPLA (4-Hydroxyphenyllactate),8.2 g/L (fed-batch),MR medium,Glucose,20 g/L,Fed-batch (5L bioreactor),7.00,varies for fed-batch,37°C,,WL4PL2,"tyrB, tyrR","pykF, ppsA, aroGfbr, tyrAfbr, fldH",,OE KO
,,,,,,,,,,,,,,,,,,
p44,10.1016.j.ces.2016.06.014,M1EG,Saccharomyces cerevisiae,Squalene (Squalene),"34 mg/L (without terbinafine), 119.08 mg/L (with terbinafine)",YPD broth,Glucose,20 g/L,Erlenmeyer flask; shake rotary,Not specified,48h,30°C,,Saccharomyces cerevisiae INVSc1,,"HMG1, IDI1, ERG20, ERG9",,yes
p44,10.1016.j.ces.2016.06.014,FOH-2,Saccharomyces cerevisiae,Squalene (Squalene),304.49 mg/L,YPD broth,Glucose,20 g/L,Erlenmeyer flask; shake rotary,Not specified,48h,30°C,,Saccharomyces cerevisiae INVSc1,,"ERG10, ERG13, HMG1, ERG12, MVD1, IDI1, ERG20, ERG9",,yes
,,,,,,,,,,,,,,,,,,
p45,10.1016.j.enzmictec.2019.109437,BDPP101,Pseudomonas putida,mevalonate (mevalonate),~0.31 g/L,M9 minimal medium,"2,3-BDO",7.5 g/L,"Erlenmeyer flask, batch",,30 h,30 °C,,Pseudomonas putida KT2440,,,"mvaE, mvaS (Enterococcus faecalis)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),1.52 g/L,M9 minimal medium,"2,3-BDO",7.5 g/L,"Erlenmeyer flask, batch",,30 h,30 °C,,Pseudomonas putida KT2440,,atoB,"mvaE, mvaS (Enterococcus faecalis)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),0.23 g/L,M9 minimal medium,glucose,10 g/L,"Erlenmeyer flask, batch",,12 h,30 °C,,Pseudomonas putida KT2440,,atoB,"mvaE, mvaS (Enterococcus faecalis)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),0.18 g/L,M9 minimal medium,glycerol,10.2 g/L,"Erlenmeyer flask, batch",,,30 °C,,Pseudomonas putida KT2440,,atoB,"mvaE, mvaS (Enterococcus faecalis)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),2.21 g/L,M9 minimal medium,"2,3-BDO",7.5 g/L,"Erlenmeyer flask, batch",,30 h,30 °C,,Pseudomonas putida KT2440,,atoB,"mvaE, mvaS (Enterococcus faecalis)",yes
,,,,,,,,,,,,,,,,,,
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB),Aeromonas hydrophila,Poly-3-hydroxybutyrate (PHB) (Poly-3-hydroxybutyrate),0.03 g/L,MS medium,acetate,10 g/L,"shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB-pta-ackAAh),Aeromonas hydrophila,Poly-3-hydroxybutyrate (PHB) (Poly-3-hydroxybutyrate),8.75 wt%,MS medium,acetate,10 g/L,"shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, phosphotransacetylase/acetate kinase",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB-acsAh),Aeromonas hydrophila,Poly-3-hydroxybutyrate (PHB) (Poly-3-hydroxybutyrate),19.82 wt%,MS medium,acetate,10 g/L,"shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acetyl-CoA synthetase",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB-acs),Aeromonas hydrophila,Poly-3-hydroxybutyrate (PHB) (Poly-3-hydroxybutyrate),17.07 wt%,MS medium,acetate,10 g/L,"shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acetyl-CoA synthetase (from E. coli)",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB-acsAh),Aeromonas hydrophila,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV) (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)),15.02 wt%,MS medium,"acetate, propionate","10 g/L acetate, 2 g/L propionate","shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acetyl-CoA synthetase",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A.hydrophila 4AK4 (pMCS-phaAB-acs),Aeromonas hydrophila,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV) (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)),14.77 wt%,MS medium,"acetate, propionate","10 g/L acetate, 2 g/L propionate","shake flask, batch culture",-,24 h,30°C,,A.hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acetyl-CoA synthetase (from E. coli)",-,hetero
,,,,,,,,,,,,,,,,,,
p47,10.1016.j.jbiosc.2020.07.013,BT7AiY,Escherichia coli,DAP (cadaverine),38 g/L,LB,Lysine,50 g/L,Flask,ND,27h,37°C,,BL21(DE3),ygjG,CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AiEPGY,Escherichia coli,DAP (cadaverine),36 g/L,LB,Lysine,50 g/L,Flask,ND,27h,37°C,,BL21(DE3),"speE, puuA, speG, ygjG",CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AdEPGY,Escherichia coli,DAP (cadaverine),38 g/L,LB,Lysine,50 g/L,Flask,ND,27h,37°C,,BL21(DE3),"speE, puuA, speG, ygjG",CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AiG,Escherichia coli,DAP (cadaverine),37 g/L,LB,Lysine,50 g/L,Flask,ND,27h,37°C,,BL21(DE3),speG,CadA,,yes
,,,,,,,,,,,,,,,,,,
p48,10.1016.j.jbiotec.2014.09.021,JM109/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),10.45 g/L,MS,glucose,20 g/L,"5-L fermentor, intermittent fed-batch",-,28 h,37°C,,JM109,-,-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ02/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),4.53 g/L,MS,glucose,20 g/L,"shake flask, batch",-,48 h,37°C,,JM109,appB,-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),28.23 g/L,MS,glucose,20 g/L,"5-L fermentor, intermittent fed-batch",-,28 h,37°C,,JM109,ndh,-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ23/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),4.61 g/L,MS,glucose,20 g/L,"shake flask, batch",-,48 h,37°C,,JM109,"appB, ndh",-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ02/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),2.78 g/L,MS,xylose,20 g/L,"shake flask, batch",-,48 h,37°C,,JM109,appB,-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),3.50 g/L,MS,xylose,20 g/L,"shake flask, batch",-,48 h,37°C,,JM109,ndh,-,pBHR68,hetero
p48,10.1016.j.jbiotec.2014.09.021,LJ23/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),1.82 g/L,MS,xylose,20 g/L,"shake flask, batch",-,48 h,37°C,,JM109,"appB, ndh",-,pBHR68,hetero
,,,,,,,,,,,,,,,,,,
p49,10.1016.j.mec.2022.e00206,WT,Pseudomonas putida,Indigoidine (Indigoidine),Not specified,M9 minimal medium,Glucose,10 g/L,"50 mL unbaffled shaking flasks, batch mode",Not specified,6h,30°C,,Pseudomonas putida KT2440,,,"bpsA, sfp",hetero titer
p49,10.1016.j.mec.2022.e00206,Eng,Pseudomonas putida,Indigoidine (Indigoidine),~1.8 ± 0.3 g/L,M9 minimal medium,Glucose,10 g/L,"50 mL unbaffled shaking flasks, batch mode",Not specified,6h,30°C,,Pseudomonas putida KT2440,,,"bpsA, sfp",yes
p49,10.1016.j.mec.2022.e00206,PSP,Pseudomonas putida,Indigoidine (Indigoidine),~2 ± 0.3 g/L,M9 minimal medium,Glucose,10 g/L,"50 mL unbaffled shaking flasks, batch mode",Not specified,6h,30°C,,Pseudomonas putida KT2440,14 genes,dcpf1 over multiple genes,"bpsA, sfp",yes
p49,10.1016.j.mec.2022.e00206,ΔphaAZC-IID,Pseudomonas putida,Indigoidine (Indigoidine),~3.6 ± 0.2 g/L,M9 minimal medium,Glucose,10 g/L,"50 mL unbaffled shaking flasks, batch mode",Not specified,6h,30°C,,Pseudomonas putida KT2440,phaAZC-IID,,"bpsA, sfp",KO
,,,,,,,,,,,,,,,,,,
p50,10.1016.j.synbio.2019.05.002,ATCC 13032,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),0.5 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,Parent strain,,,,yes
p50,10.1016.j.synbio.2019.05.002,ATCC 13869,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),1.2 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,Parent strain,,,,yes
p50,10.1016.j.synbio.2019.05.002,ATCC 14067,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),0.8 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,Parent strain,,,,yes
p50,10.1016.j.synbio.2019.05.002,S9114,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),3.1 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,Parent strain,,,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN1 (S9114-ΔnagA-ΔgamA),Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),4.8 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,S9114,"nagA, gamA",,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN2 (S9114-ΔnagA-ΔgamA-Δldh),Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),5.4 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,S9114,"nagA, gamA, ldh",,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),5.4 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,CGGN2,"nagA, gamA, ldh",GNA1,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-CgglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.9 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,CGGN2,"nagA, gamA, ldh","GNA1, glmS",glmS (C. glutamicum),yes
p50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-BsglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.1 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,CGGN2,"nagA, gamA, ldh","GNA1, glmS",glmS (B. subtilis),yes
p50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-EcglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.4 g/L,LBB broth,glucose,Not specified,Shaker flask,7.0,72 h,30°C,,CGGN2,"nagA, gamA, ldh","GNA1, glmS",glmS (E. coli K-12),yes
,,,,,,,,,,,,,,,,,,
p51,10.1016.j.synbio.2022.03.001,LJM24,E. coli,resveratrol (resveratrol),,M9,p-coumaric acid,200mg/L,250mL shake flask,-,,,,E. coli MG1655,serA,groEL-groES,"fabB-1, VvSTS-At4CL",hetero KO titer
p51,10.1016.j.synbio.2022.03.001,LJM28,E. coli,resveratrol (resveratrol),,M9,glucose,-,250mL shake flask,-,,,,E. coli BAK11(DE3),-,-,PcTAL,hetero KO titer
p51,10.1016.j.synbio.2022.03.001,BCR4/LJM24 coculture,E. coli,resveratrol (resveratrol),,M9,glucose,10g/L,-,-,,,,E. coli MG1655 / E. coli BW25113,-,-,-,titer
p51,10.1016.j.synbio.2022.03.001,BCR6/LJM24 coculture,E. coli,resveratrol (resveratrol),,M9,glucose,10g/L,250mL shake flask,-,,,,E. coli BW25113 / E. coli MG1655,"araBAD, serA",serA (under control of resveratrol addiction circuit),PcTAL,titer
p51,10.1016.j.synbio.2022.03.001,BCR6/LJM24 coculture,E. coli,resveratrol (resveratrol),,M9,glucose/arabinose,15g/L combined (glucose:arabinose=3:1),250mL shake flask,-,,,,E. coli BW25113 / E. coli MG1655,"araBAD, serA",serA (under control of resveratrol addiction circuit),PcTAL,titer
p51,10.1016.j.synbio.2022.03.001,BCR6/LJM24 coculture,E. coli,resveratrol (resveratrol),,M9,glucose/arabinose,15g/L combined (glucose:arabinose=3:1),-,-,,,,E. coli BW25113 / E. coli MG1655,"araBAD, serA",serA (under control of resveratrol addiction circuit),PcTAL,titer
,,,,,,,,,,,,,,,,,,
p52,10.1016.j.xplc.2020.100079,DG-Cho,yeast,cholesterol (cholesterol),16 mg/l,SD medium,2% glucose,Not specified,Shake flask,Not specified,120 h,30°C,,BY-T3,"δATF2, ERG6",,"DrDHCR7, DrDHCR24 (Danio rerio)",yes
p52,10.1016.j.xplc.2020.100079,DG001,yeast,Intermediate for diosgenin,Not specified,SD medium,2% glucose,Not specified,Shake flask,Not specified,30 h,30°C,,DG-Cho,,"DzinCYP90G6, VvCPR",,titer
p52,10.1016.j.xplc.2020.100079,DG002,yeast,diosgenin (diosgenin),3.2 mg/l,SD medium,2% glucose,Not specified,Shake flask,Not specified,90 h,30°C,,DG001,,,DzinCYP94D144 (Dioscorea zingiberensis),OE
p52,10.1016.j.xplc.2020.100079,DG003,yeast,diosgenin (diosgenin),10 mg/l,SD medium,2% galactose,Not specified,Shake flask,Not specified,120 h,30°C,,DG-Cho,,,"DzinCYP90G6, VcCYP94N1 (Veratrum californicum)",yes
,,,,,,,,,,,,,,,,,,
p53,10.1016.j.ymben.2008.04.001,LMG194,Escherichia coli,GLuc (Gaussia princeps luciferase),"5 mg/mL (periplasmic), 17 mg/mL (culture supernatant)","TB (complex medium), M9 (minimal medium)",Arabinose (pBAD),Not specified,Shaker incubator,Not specified,24 h,32°C,,E. coli,,,"pBAD-pelB-GLuc-6H, pBAD-pelB-preGLuc-6H",yes
p53,10.1016.j.ymben.2008.04.001,BL-21,Escherichia coli,GLuc (Gaussia princeps luciferase),Not specified,M9 (minimal medium),Arabinose,"0.2% (pBAD), 1 mM IPTG",Shaker incubator,Not specified,24 h,32°C,,E. coli,,,"pBAD-pelB-GLuc-6H, pBAD-pelB-preGLuc-6H",yes
p53,10.1016.j.ymben.2008.04.001,Rosetta-gami B (DE3),Escherichia coli,GLuc (Gaussia princeps luciferase),5 mg/mL (P2GLuc),"TB (complex medium), M9 (minimal medium)",Glucose,4 g/L,Shaker incubator,Not specified,3 days,24°C,,E. coli K-12,"gor, trxB (mutations)",,"pET32-trx-6H-s-thr-P2GLuc, pET32-trx-6H-s-3C-P2GLuc",yes
p53,10.1016.j.ymben.2008.04.001,MCJ29,Escherichia coli,GLuc (Gaussia princeps luciferase),Not specified,Defined media without glucose feeding,Not specified,,B. Braun C-10-2 No. 153 10-L fermentor,Not specified,Not specified,Not specified,,A19,"DompT, DptrC, DdegP, speA, tnaA, tonA, endA",,,titer
p53,10.1016.j.ymben.2008.04.001,ARG1,Escherichia coli,GLuc (Gaussia princeps luciferase),7073 mg/mL,Defined media without glucose feeding,Not specified,,BioFlo 3000 5-L fermentor,Not specified,Not specified,Not specified,,A19,"sdaA, sdaB, gshA, gor, trxB, speA, tnaA, tonA, endA, met+",,D83A mutation in OmpT,yes
p53,10.1016.j.ymben.2008.04.001,ARG2,Escherichia coli,GLuc (Gaussia princeps luciferase),6576 mg/mL,Defined media without glucose feeding,Not specified,,BioFlo 3000 5-L fermentor,Not specified,Not specified,Not specified,,A19,"sdaA, sdaB, gshA, gor, trxB, speA, tnaA, tonA, endA, met+",,D83A mutation in OmpT,yes
,,,,,,,,,,,,,,,,,,
p54,10.1016.j.ymben.2009.08.005,TM242,Geobacillus thermoglucosidasius,ethanol (ethanol),0.42 g/g glucose,USYE,"glucose, xylose, cellobiose, mixed hexose and pentose","10 g/L glucose, 2% glucose and 0.5% YE in ASYE medium",Biostat B Plus fermenter batch,6.7,24 h,60°C,,NCIMB11955,"ldh, pflB",pdhA,none,yes
p54,10.1016.j.ymben.2009.08.005,TM180,Geobacillus thermoglucosidasius,ethanol (ethanol),0.37 g/g glucose,USYE,glucose,10 g/L glucose,Biostat B Plus fermenter batch,6.7,,60°C,,TM89,ldh,pdhA,none,yes
p54,10.1016.j.ymben.2009.08.005,TM236,Geobacillus thermoglucosidasius,ethanol (ethanol),,USYE,glucose,10 g/L glucose,,,,,,TM89,"ldh, pflB",none,none,titer
p54,10.1016.j.ymben.2009.08.005,TM89,Geobacillus thermoglucosidasius,ethanol (ethanol),0.24 g/g glucose,USYE,glucose,10 g/L glucose,,,,60°C,,NCIMB11955,ldh,none,none,yes
p54,10.1016.j.ymben.2009.08.005,DL44,Geobacillus thermoglucosidasius,ethanol (ethanol),0.31-0.35 g/g glucose,USYE,glucose,10 g/L glucose,chemostat continuous,7,,66°C,,DL33,ldh,none,none,yes
,,,,,,,,,,,,,,,,,,
p55,10.1016.j.ymben.2013.05.005,TB3(pBPJW130/pBPJW144),Escherichia coli,6dEB (6-deoxyerythronolide B),Comparative data given in figures,"2mL production medium (5g yeast extract/L, 10g tryptone/L, 10g sodium chloride/L, 15g glycerol/L, and 100mM HEPES buffer)",Glycerol,15g/L,Seed cultures grown overnight and inoculated (1% vol/vol),7.6 (adjusted with 5M NaOH),4 days,"37°C (seed culturing), 22°C (production)",,E. coli TB3,None specified,None specified,None specified,
p55,10.1016.j.ymben.2013.05.005,TB3(pBPJW130/pBPJW144/pCOLA-LiCMS-leuBCD),Escherichia coli,6dEB (6-deoxyerythronolide B),Comparative data given in figures,"2mL production medium (5g yeast extract/L, 10g tryptone/L, 10g sodium chloride/L, 15g glycerol/L, and 100mM HEPES buffer)",Glycerol,15g/L,Seed cultures grown overnight and inoculated (1% vol/vol),7.6 (adjusted with 5M NaOH),4 days,"37°C (seed culturing), 22°C (production)",,E. coli TB3,None specified,None specified,"cimA3.7, leuBCD, LiCMS",
