doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1186.s12934-014-0096-1,"['L-Phe', 'L-Phe (L-phenylalanine)', 'acetate', 'acetate (acetate)', 'lactate', 'lactate (lactate)']","['0.13 ± 0.01 g l−1 h−1', '0.22 ± 0.05 g l−1 h−1', '0.18 ± 0.02 mM CPhe/CGly', '3.0 mM', '0.26 ± 0.01 g l−1 h−1', '0.23 ± 0.05 mM CPhe/CGly', '0.03 g/g', '0.19 ± 0.02 mM CPhe/CGlc', '0.37 ± 0.01 g l−1 h−1', '0.21 ± 0.02 g l−1 h−1', '0.20 ± 0.02 mM CPhe/CGly', '25 mM', '0.08 g l−1', '0.25 ± 0.02 g l−1 h−1', '40 mM', '0.11 g l−1', '50 mM']",['MM'],"['0.5% glycerol', 'crude glycerol', 'glucose', 'glycerol']","['-', '7.0']",['37°C'],"['-', '20%', '60%']","['3.6 l-bioreactor', 'fed-batch', 'shake flask']","['aroB', 'aroF', 'aroL', 'glpK', 'glpK G232D', 'glpX', 'pheA', 'tktA', 'tyrA']"
10.1186.s12934-014-0099-y,"['DAMP4', 'DAMP4 (DAMP4)']","['6.7 g/L', '1 g/L', '7.4 g/L', '~0.5 g/L', '6.3 g/L DCW, ~1 g/L DAMP4']","['CDMG', 'LBG']",['Glucose'],['6.9'],['37°C'],"['70% air sat', 'Maintained']","['Batch', 'Bioreactor, Ff', 'Bioreactor, Fs']","['DAMP4', 'cscAKB']"
10.1186.s12934-014-0123-2,"['2-phenylacetate', '2-phenylacetate (2-phenylacetate)', '2-phenylethanol', '2-phenylethanol (2-phenylethanol)', 'styrene', 'styrene (styrene)']","['0.80 ± 0.02 mM', '0.63 ± 0.05 mM', '0.64 ± 0.05 g/g (from 0.63 ± 0.05 mM, assuming 1 g/L = 1 mM for conversion)', '1.13 ± 0.10 mM', '23 ± 2 mg/L', '0.18 ± 0.02 mM', '54 ± 5 mg/L', '54 ± 5 mg/L (0.44 ± 0.04 mM)', '98 ± 3 mg/L', '1.44 ± 0.11 mg/g', '42 ± 3 mg/L', '2.09 ± 0.16 mg/g', '20 ± 1 mg/L', '43 ± 1 mg/L', '18 ± 2 mg/L', '29 ± 2 mg/L', '98 ± 3 mg/L (0.80 ± 0.02 mM)']","['SD', 'SD-Leu', 'SD-Leu minimal']",['Glucose'],['N/A'],['32°C'],"['Ambient', 'N/A']","['Sealed shake flask', 'Shake flask']","['26S', 'ADH1-6', 'ALD1-6', 'ARO1', 'ARO10', 'ARO2', 'ARO3', 'ARO4', 'ARO7', 'ARO8', 'ARO9', 'FDC1', 'GCN4', 'PAL', 'PAL2', 'PHA2']"
10.1186.s12934-014-0185-1,"['CA', 'CA (cinnamic acid)', 'pHCA', 'pHCA (p-hydroxycinnamic acid)']","['1.03 μmolpHCA/mmolC', '736.8 μmol/L', '0.437 μmolpHCA/mmolC']",['minimal salts medium'],"['arabinose', 'glucose', 'xylose']",['N/A'],['37°C'],['N/A'],['shake flask'],"['PAL/TAL', 'PALAt', 'PALRg', 'aroG', 'pheA', 'tktA']"
10.1186.s12934-015-0192-x,"['tryptophan', 'tryptophan (tryptophan)', 'violacein', 'violacein (violacein)']","['1.75 g L−1', '0.153 ± 0.005 g L−1', '0.18 g L−1', '0.38 g/g', '0.0004 g/g', '0.116 g-violacein/g-glucose', '0.603 ± 0.01 g L−1', '0.13 g/g', '0.024 g/g']","['M9-YE (10 g L−1)', 'M9-YE (30 g L−1)']",['Glucose'],['7.0±0.5'],['20°C'],"['Controlled', 'Not specified']","['5-L Bioreactor', 'Flask']","['pheA', 'tnaA', 'trpD', 'trpE', 'trpE fbr', 'trpR', 'vio']"
10.1186.s12934-015-0232-6,"['isobutanol', 'isobutanol (isobutanol)']","['2.3 g/L', '5.1 g/L', '4.1 g/L', '3.6 g/L', '2.4 g/L', '2.7 g/L', '4.9 g/L', '4.2 g/L', '1.4 g/L']","['Hydrolysate', 'M9 Production Media']","['10 g/L glucose', '10 g/L glucose, 10 g/L gluconate', '10.4 g/L commercial CBA', '16 g/L glucose', '16.9 g/L synthesized CBA', '20 g/L glucose', '20 g/L glucose + 40 g/L synthesized CBA', '9.7 g/L CBA']",['N/A'],['30°C'],['N/A'],['Batch'],"['AscB', 'CBA phosphorylase', 'CBAP', 'ascB', 'bglA', 'bglB', 'chbF', 'treB']"
10.1186.s12934-015-0285-6,"['ethanol', 'ethanol (ethanol)']","['1.19-folds at 46 h and 1.12-folds at 22 h in ethanol and hydrogen production respectively', '1.41-fold from 22 h up to 94 h respect to the wild type']","['glycerol-based medium', 'glycerol-based medium, pH 7.5']",['glycerol'],"['6.25', '7.5']",['37°C'],"['anaerobic', 'microaerobic']","['12 mL crimp-top vials', 'not specified']","['cpsG', 'deoB', 'dhaKL', 'fdhF', 'fhl', 'fhlA', 'focA', 'frdA', 'frdB', 'frdBC', 'frdC', 'frmA', 'fumA', 'gadB', 'gldABC', 'glgC', 'gnd', 'ldhA', 'nanE', 'pflB', 'rpiA', 'sucB', 'tdcB', 'tdcE']"
10.1186.s12934-015-0291-8,"['dCyd', 'dCyd (deoxycytidine)']","['410 mg/L', '552 mg/L', '650 mg/L', '967 mg/L', '401 mg/L']",['production medium'],"['glucose', 'glycerol']",['not specified'],['37°C'],['not specified'],['flask culture'],"['ArgR', 'DeoA', 'DeoD', 'PepA', 'PurR', 'Udp', 'argG', 'argR', 'cdd', 'codA', 'dcd', 'deoA', 'deoD', 'nrdCAB', 'pepA', 'pgi', 'purR', 'pyrG', 'thyA', 'udp', 'yfbR']"
10.1186.s12934-015-0301-x,"['lycopene', 'lycopene (lycopene)', 'neurosporene', 'neurosporene (neurosporene)']","['6.94 mg/g DCW', '3.0 mg/g DCW (estimated from 30% increase)', '9.40 mg/g DCW', '17.8 ± 0.2 mg/g DCW', '1.64 mg/g DCW', '2.05 mg/g DCW', '2.5 mg/g DCW (estimated from 25% increase)', '10.71 mg/g DCW']","['LB medium', 'bioconversion medium', 'flask']",['glucose'],['not specified'],['37'],['not specified'],"['batch', 'flask', 'not specified']","['Dxs', 'Eda', 'GCgnd', 'GalP', 'MEP', 'crtEBI', 'crtI', 'dxs', 'dxs-idi', 'dxs-idi-ispDF', 'eda', 'eda-GCgnd', 'edd', 'fbaA', 'fbaB', 'galR', 'glk', 'gnd', 'idi', 'ispDF', 'pfkA', 'pfkAB', 'pfkB', 'pgi', 'ptsG', 'pykFA', 'ytjC', 'zwf']"
10.1186.s13068-015-0270-7,"['169 ± 11.7 mg/L of FABCEs', '169 ± 11.7 mg/L of FABCEs (fatty acid branched-chain esters)', '17 ± 0.7 mg/L BFA', '17 ± 0.7 mg/L BFA (17 ± 0.7 mg/L branched-chain fatty acids (BFAs))', '177 ± 21.9 mg/L', '177 ± 21.9 mg/L (FABCEs)', '2015 ± 171.0 mg/L isobutanol', '2015 ± 171.0 mg/L isobutanol (2015 ± 171.0 mg/L isobutanol)', '205 ± 15.9 mg/L isobutanol', '205 ± 15.9 mg/L isobutanol (205 ± 15.9 mg/L isobutanol)', '231 ± 25.4 mg/L of isobutanol', '231 ± 25.4 mg/L of isobutanol (231 ± 25.4 mg/L of isobutanol)', '33 ± 5.4 mg/L BFA', '33 ± 5.4 mg/L BFA (33 ± 5.4 mg/L branched-chain fatty acids (BFAs))', '345 ± 36.2 mg/L isoamylol', '345 ± 36.2 mg/L isoamylol (345 ± 36.2 mg/L isoamylol)', '35 ± 5.7 mg/L BFABCEs', '485 ± 24.6 mg/L of isoamylol', '485 ± 24.6 mg/L of isoamylol (isoamylol)', '499 ± 28.9 mg/L isoamylol', '499 ± 28.9 mg/L isoamylol (isoamylol)', '513 ± 24.9 mg/L isobutanol', '513 ± 24.9 mg/L isobutanol (513 ± 24.9 mg/L isobutanol)', '838 ± 57.6 mg/L isoamylol', 'FABCEs', 'FABCEs (fatty acid branched-chain esters)', 'isobutanol', 'isobutanol (isobutanol)']","['838 ± 57.6 mg/L', '13.7 ± 2.05 mg/g glycerol', '8.9 ± 1.10 mg/g glycerol', '231 ± 25.4 mg/L', '485 ± 24.6 mg/L', '2.8 ± 0.32 mg/g glycerol', '17 ± 0.7 mg/L', '33 ± 5.4 mg/L', '1.9 ± 0.28 mg/g glycerol', '513 ± 24.9 mg/L', '205 ± 15.9 mg/L', '35 ± 5.7 mg/L', '2015 ± 171.0 mg/L', '56 ± 6.3 mg/L', '273 ± 40.9 mg/L', '169 ± 11.7 mg/L', '345 ± 36.2 mg/L', '177 ± 21.9 mg/L']","['Modified M9', 'YPD', 'modified M9']","['Glucose', 'glucose', 'glycerol']","['5.8', '7.0', 'N/A']",['30 °C'],"['N/A', 'aerobic']","['Shake flask', 'shake flask']","['BCKD', 'FabH', 'adh2', 'alsS', 'aro10', 'bckd', 'fabHB', 'fadD', 'fadE', 'his4', 'ilvC', 'ilvCD', 'ilvD', ""tesA'"", 'ws/dgat']"
10.1021.jf500355p,"['butyrate', 'butyrate (butyrate)']","['1 g/L', '&gt;10 g/L', '2.5 g/L', '3.4 g/L', '4.1 g/L', '6.8 g/L']",['modified Terrific broth'],"['glucose', 'glucose + 2 g/L acetate', 'glucose + 8 g/L acetate', 'glucose + 8 g/L acetate + additional glucose feeding']",['N/A'],['37 °C'],['N/A'],"['shake flask', 'shake flask, glucose fed-batch']","['ackA', 'adhE', 'atoD', 'atoDA', 'atoDAEB', 'crt', 'f rdA', 'frdA', 'glf', 'hbd', 'ldhA', 'phaA', 'poxB', 'pta', 'ter']"
10.1021.sb400158w,"['fatty acids', 'fatty acids (fatty acids)']","['1.59 ± 0.21 g/L', '2.03 ± 0.1 g/L', '1.2 g/L']","['M9', 'minimal']",['glucose'],['N/A'],['37 °C'],['N/A'],['shaking flask'],"['Acc', 'FapR', 'FapRO', 'acc', 'accBC', 'accDA', 'fadE', 'fapR', 'lacI', 'tesA']"
10.1073.pnas.0308171100,"['acetate', 'acetate (acetate)', 'pyruvate', 'pyruvate (pyruvate)']","['<30% of the theoretical maximum', '17% higher', '25% of the maximum theoretical yield', '16 mM', '28.9 mM', '81 mM', '252 mM', '58% of the theoretical maximum', '195 mM', '12 mM']",['mineral salts'],['glucose'],['7.0'],['37°C'],"['100% to 5% air sat.', '100% to 5% air sat., maintained at 5%', '5% air saturation', 'varied']","['batch', 'fed-batch']","['ackA', 'adhE', 'atpFH', 'focA', 'frdBC', 'ldhA', 'pflB', 'poxB', 'pta', 'sucA']"
10.1073.pnas.0702609104,"['L-valine', 'L-valine (L-valine)']","['3.43 g/liter', '1.31 g/liter', '4.00 g/liter', '5.25 g/liter', '7.61 g/liter', '3.33 g/liter', '7.55 g/liter', '4.34 g/liter', '0.378 g of L-valine per gram of glucose', '2.75 g/liter']","['NM1', 'NM2']",['glucose'],['6.0'],['31'],[''],"['batch fermentation', 'flask culture']","['aceF', 'brnFE', 'ilvA', 'ilvBN', 'ilvCDE', 'ilvCED', 'ilvED', 'ilvG', 'ilvGM', 'ilvH', 'ilvI', 'ilvIH', 'leuA', 'leuABCD', 'lrp', 'mdh', 'panB', 'pfkA', 'tpiA', 'ygaZH']"
10.1073.pnas.1206346109,"['L-tyrosine', 'L-tyrosine (L-tyrosine)']","['893 mg/l', '418 mg/l', '13.8 g/l', '902 mg/l', '0.204 g L-tyrosine/g glucose', '0.18 g L-tyrosine/g glucose', '5.7 g/l', '0.120 g L-tyrosine/g glucose', '798 mg/l']","['MOPS minimal medium', 'R medium']",['glucose'],['7.0'],['37 °C'],"['maintained ≥25%', 'not specified']","['2-l bioreactor', 'shake flask']","['aroG', 'aroG fbr', 'evgA', 'fbr', 'gadE', 'hisH', 'pheA', 'purF', 'relA', 'rpoA', 'rpoA14', 'rpoA27', 'rpoD', 'rpoD3', 'spoT', 'tyrA', 'tyrA fbr', 'tyrR', 'ydeO']"
10.1073.pnas.1502866112,"['G-7-ADCA', 'G-7-ADCA (G-7-ADCA)']","['8.79 ± 0.24 mM', '2.50 ± 0.79 mM', '4.19 ± 0.73 mM', '17.88 mol%', '9.63 ± 1.01 mM', '29.01 ± 1.27 mM', '21.48 ± 1.08 mM', '11.10 ± 0.70 mM', '12.19 ± 0.92 mM', '3.59 ± 0.75 mM', '1.73 ± 0.73 mM', '2.5 mol%', '3.79 ± 0.76 mM', '21.48 mol%', '10.04 ± 0.77 mM', '29.01 mol%', '17.88 ± 2.55 mM', '8.79 mol%', '12.19 mol%']","['ZYM', 'ZYM medium']","['1% tryptone', 'glucose']",['7.0'],['30 °C'],"['not specified', 'shaking']","['batch', 'shake flask']","['AceA', 'SucA', 'SucB', 'SucC', 'SucD', 'aceA', 'acs', 'ampC', 'iclR', 'poxB', 'scDAOCS', 'scDAOCS-H7', 'sucA']"
10.1073.pnas.1506781112,"['4-hydroxybenzoic acid', '4HB', 'muconic acid', 'muconic acid (cis,cis-muconic acid)']","['2.3 g/L', '4.7 g/L', '850 mg/L', '0.35 g/g', '68 mg/L', '0.11 g/g', '4 g/L']","['minimal medium', 'sugar medium']","['glucose, xylose']","['6.8', '7.1']",['37 °C'],"['12% air saturation', '25%']","['fed-batch bioreactor', 'shake flask']","['AroE', 'AroY', 'AroZ', 'CatA', 'DHS', 'DHS transporter', 'YdiB', 'aroD', 'aroG', 'phosphotransferase system', 'ppsA', 'shiA', 'tktA', 'xylA']"
10.1002.biot.201300263,"['phenol', 'phenol (phenol)', 'tyrosine', 'tyrosine (L-tyrosine)']","['3.79 g/L', '1.3 ± 1.2 g/L', '0.0026 g/g glucose', '9.84 g/L', '419.8 ± 23 mg/L', '27.6 ± 3.4 mg/L', '392.6 ± 83 g/L', '18.16 g/L', '0.02 g/g glucose', '1.7 ± 0.2 g/L', '2.0 ± 2.1 g/L', '380.6 ± 18 mg/L', '0.52 g/L', '7.5 ± 4.6 mg/L', '1.2 ± 0.0 g/L', '0.017 g/g glucose', '1.0 ± 1.4 g/L', '412.4 ± 4.3 mg/L', '3.55 g/L', '1.69 g/L', '16.6 ± 5.1 mg/L', '1.2 ± 0.7 g/L']","['MR medium', 'MR medium + 0.5 L tributyrin', 'MR medium + tributyrin', 'modified MR medium']",['glucose'],['6.8'],['37°C'],"['40%', 'Not specified']","['Fed-batch', 'Fed-batch + 0.5 L tributyrin', 'Fed-batch + 1.0 L tributyrin', 'Flask culture']","['TPL', 'aroF', 'aroG A146N', 'aroK', 'csrA', 'ppsA', 'tktA', 'tpl', 'tyrA A354V,M53I', 'tyrC', 'tyrR']"
10.1002.bit.20159,"['CHO', 'DHS', 'DHS (3-dehydroshikimate)', 'L-Phe', 'L-Phe (L-phenylalanine)']","['0.01 g/l', '0.05 F 0.002 g/g', '0.16 F 0.01 g/L', '0.15 F 0.01 g/l', '0.14 F 0.017 g/g', '0.054 F 0.004 g/l', '0.21 F 0.01 g/g', '0.22 F 0.02 g/g', '0.1 F 0.009 g/L', '0.33 F 0.02 g/g']",['M9'],['Glucose'],['N/A'],['30°C'],['N/A'],['Resting cell'],"['DAHP synthase', 'aroG', 'aroG fbr', 'crr', 'pheA', 'pheA ev1', 'pheA ev2', 'pheA fbr', 'ptsHI', 'tktA', 'transketolase']"
10.1002.bit.20298,"['acetate', 'acetate (acetate)', 'pyruvate', 'pyruvate (pyruvate)', 'succinate', 'succinate (succinate)']","['0.5 g/g', '43 mM', '0.344 g/g', '2.398 (mole pyruvate/mole glucose)', '14.28 mM', '0.7 g/g', '48 mM', '2.274 (mole pyruvate/mole glucose)', '0.338 (mole pyruvate/mole glucose)', '22 mM']","['LB+55 mM glucose', 'LB+63 mM glucose', 'not specified']","['glucose', 'not specified']","['7.0', '7.5', 'not specified']","['37°C', 'not specified']","['>80% saturation', 'not specified']","['1.0-L fermenter', '250-mL flask', 'batch reactor', 'not specified']","['aceA', 'aceB', 'ackA-pta', 'icd', 'iclR', 'poxB', 'sdh', 'sdhAB']"
10.1002.bit.20542,"['formate', 'formate (formate)', 'lactic acid', 'lactic acid (lactic acid)']","['0.89 g/L', '0.87 g/L', '1.69 g/L']",['M9'],['glucose'],['N/A'],['37°C'],['anaerobic'],['batch'],"['adhE', 'glk', 'pfk', 'pfkA', 'pfkB', 'pta', 'ptsG']"
10.1002.bit.22502,"['putrescine', 'putrescine (putrescine)']","['1.18 g L^-1', '1.68 g L^-1', '0.168 g per g glucose', '1.30 g L^-1', '0.84 g L^-1', '0.25 g L^-1', '1.57 g L^-1', '21.7 g L^-1', '24.2 g L^-1']",['R/2'],['glucose'],['6.8'],['37°C'],"['-', '20% air sat.']","['Batch', 'Fed-batch (pH-stat)']","['ODC', 'argA', 'argB', 'argC', 'argD', 'argE', 'argECBH', 'argF', 'argH', 'argI', 'argR', 'atoC', 'potE', 'puuPA', 'rpoS', 'speC', 'speE', 'speF', 'speG']"
10.1002.bit.22918,"['cadaverine', 'cadaverine (1,5-diaminopentane)']","['0.119 g per gram of glucose', '1.31 g L⁻¹', '1.19 g L⁻¹', '0.131 g per gram of glucose', '$0.12 g per gram of glucose', '9.61 g L⁻¹']","['R/2', 'R/2 (Fed-batch)']",['glucose'],['6.80'],['37°C'],"['20% of air sat', 'Not specified']","['Batch', 'pH-stat']","['CadA', 'PuuA', 'PuuP', 'YdcW', 'YgjG', 'aceBA', 'cadA', 'dapA', 'dapB', 'dapD', 'ddh', 'iclR', 'lysA', 'lysC', 'pta', 'puuPA', 'speE', 'speG', 'ygjG']"
10.1002.bit.22984,"['acetate', 'acetate (acetate)', 'ethanol (ethanol)', 'lactate', 'lactate (lactate)', 'propanol', 'propanol (propanol)']","['0.5 g/l', '0.5 g/g', '2 mM', '0.58 (AE0.14) mM', '0.23 (AE0.09) mM', '0.56 (AE0.20) mM', '0.48 (AE0.21) mM', '0.45 (AE0.18) mM', '0.25 (AE0.14) mM']",['Nitrogen-free minimal medium'],"['glucose', 'propane']",['not specified'],['25°C'],"['1:1 propane:air', 'not specified']","['100 mL-fermentor, feed', 'Batch']","['AdhLdh', 'DadhE', 'Dldh', 'Dndh', 'DnuoA-N', 'Dpgi', 'P450 BM3', 'P450 PMO R2', 'Pgi', 'Zwf', 'ackA', 'dc1-12G', 'dcP450 PMO R2', 'ndh', 'pta']"
10.1002.bit.23069,"['6-dEB', '6-dEB (6-deoxyerythronolide B)']","['60.9 AE 2.43 mg L⁻¹', '71.7 AE 3.74 mg L⁻¹', 'less than 5 mg L⁻¹', '73.4 AE 2.0 mg L⁻¹', '75.6 AE 3.2 mg L⁻¹', '96.4 AE 5.6 mg L⁻¹', '33.1 AE 7.4 mg L⁻¹', '0.32 AE 0.11 mg L⁻¹', '134.1 AE 6.6 mg L⁻¹', '3.39 AE 0.74 mg L⁻¹', '58.6 AE 1.19 mg L⁻¹', '61.1 AE 2.18 mg L⁻¹', '1.27 AE 0.29 mg L⁻¹', '97.9 AE 7.32 mg L⁻¹', '101.0 AE 7.5 mg L⁻¹']","['Production medium', 'Production medium + matBC-mce, methylmalonate', 'Production medium + mce, methylmalonate', 'Production medium + methylmalonate', 'Production medium + propionate']","['Methylmalonate', 'Propionate']",['7.60'],['22°C'],['Not specified'],['Shake flask'],"['MatB', 'MatBC', 'MatC', 'PCC', 'YgfG', 'accA1', 'atoC', 'eryA1', 'eryA2', 'eryA3', 'matB', 'matBC', 'matC', 'mce', 'pcc', 'pccB', 'prpE', 'sbm', 'ygf operon', 'ygfH']"
10.1002.bit.23259,"['hydrogen', 'hydrogen (hydrogen)']","['6.19 mmol H 2 mol À1 glucose', '9.40 mmol H 2 mol À1 glucose']",['M63A'],['glucose'],['7.0*'],['25°C'],['anaerobic'],"['60-mL serum vials, sealed']","['fbp', 'fdxA', 'glpX', 'hydA', 'hydAEFG', 'hydE', 'hydF', 'hydG', 'hydrogenase', 'pgi', 'yumC', 'zwf']"
10.1002.bit.24868,"['acetic acid', 'acetic acid (acetic acid)', 'fumaric acid', 'fumaric acid (fumaric acid)']","['1.13 g/L', '5.35 g/L', '1.65 g/L', '1.45 g/L', '2.29 g/L', '4.09 g/L', '28.2 g/L', '0.415 g fumaric acid/g glucose', '26.2 g/L', '5.85 g/L', '4.9 g/L', '8.23 g/L', '9.55 g/L', '0.410 g fumaric acid/g glucose', '0.350 g fumaric acid/g glucose', '7.85 g/L', '0.394 g fumaric acid/g glucose', '5.24 g/L', '2 g/L', '6.25 g/L']","['MR', 'MR medium']","['15 g/L glucose', '20 g/L glucose', 'glucose']",['7.0'],['37°C'],"['AERATED', 'not specified']","['-', 'Batch', 'Batch (galP promoter replaced)', 'Batch with L-aspartic acid', 'Fed-batch']","['ICL', 'PPC', 'adhE', 'arcA', 'aspA', 'aspC', 'frdABCD', 'fumA', 'fumB', 'fumC', 'galP', 'iclR', 'lacI', 'ldhA', 'ppc', 'ptsG']"
10.1002.bit.25123,"['amorpha-4,11-diene', 'amorpha-4,11-diene (amorpha-4,11-diene)', 'carotenoids']","['64 mg/L', 'approximately 100 mg/g (dry weight)']",['SD'],['galactose'],['N/A'],['30°C'],['N/A'],['shake flask'],"['ADS', 'BTS1', 'ERG10', 'ERG12', 'ERG13', 'ERG19', 'ERG20', 'ERG8', 'HMGR', 'IDI1', 'crtE', 'crtI', 'crtYB', 'erg10', 'erg12', 'erg13', 'erg20', 'idi1', 'tHMG1', 'thmg1']"
10.1002.bit.25198,"['farnesene', 'farnesene (farnesene)']","['130 mg/L', '1.1 g/L', '731 mg/L']",['2xTY'],['2% glycerol'],['-'],['30°C'],['-'],['Shake flask'],"['3-hydroxy-3-methylglutaryl-CoA reductase (thmg1)', '3-hydroxy-3-methylglutaryl-CoA synthase (erg13 or hmgs)', 'AFS', 'ALF', 'AtoB', 'ERG12', 'ERG13', 'ERG8', 'Idi', 'IspA', 'MVD1', 'a-farnesene synthase', 'acetoacetyl-CoA thiolase (atoB)', 'afs', 'alf', 'erg13', 'erg8', 'farnesyl pyrophosphate synthase (ispA)', 'idi', 'ispA', 'mevalonate kinase (erg12)', 'mevalonate pyrophosphate decarboxylase (mvd1, also known as erg19)', 'phosphomevalonate kinase (erg8)', 'tHMG1']"
10.1002.bit.25239,"['ethanol', 'fatty acids', 'fatty acids (fatty acids)']","['66 mg/L', '106 mg/L', '124 mg/L', '81 mg/L', '120 mg/L', '48 mg/L', '140 mg/L']","['SC', 'SC media', 'SC-URA', 'minimal']",['glucose'],"['-', '6.5']",['30°C'],['aerobic'],['shake flask'],"['ACC1', 'ACS', 'ADH1', 'ADH2', 'ALD', 'Cinnamomum camphorum TE', 'EutE', 'FAA1', 'FAA4', 'PFL', 'POX1', 'PTE1', ""PTE1'"", ""TesA'"", 'adhE', 'eutE']"
10.1002.bit.25488,"['L-lactic acid', 'L-lactic acid (L-lactic acid)', 'ethanol']","['36.4 g/L', '35.8 g/L', '25.6 g/L', '37.8 g/L', '35 g/L', '27.6 g/L', '117 g/L', '24.2 g/L']","['Modified YP medium', 'YPD medium', 'YSC-URA medium']",['Glucose'],"['-', '3.5', '6.0']",['30°C'],"['80 rpm', 'Low (not specified)']","['2-L fed-batch bioreactor', 'Flask']","['CCW12', 'LDH', 'PDC1', 'PGK1', 'TEF1', 'cyb2', 'gpd1', 'ldh', 'nde1', 'nde2', 'pdc1', 'yEGFP']"
10.1002.bit.25683,"['ethanol', 'farnesene', 'farnesene (farnesene)', 'santalene', 'santalene (santalene)']","['3.5 mg/L', '3.0 mg/L', '$170 mg/L', '4.5 mg/L', '120 mg/L', '0.006 g/gDCW', '0.281 gDCW/g', '160 mg/L', '4 mg/L', '6 mg/L', '163 mg/L']","['minimal media', 'minimal medium with 10% v/v dodecane']",['glucose'],"['0.98', '30°C', '5']",['30°C'],"['above 30%', 'not specified']","['2.5 L Applikon bioreactor, fed-batch with RQ control', 'shake flask']","['ERG20', 'ERG9', 'GDH2', 'a-farnesene synthase', 'b-farnesene synthase', 'dpp1', 'farnesene synthases', 'gdh1', 'lpp1', 'santalene synthase', 'tHMG1']"
10.1002.bit.25844,"['a-hydroxyglutarate', 'a-hydroxyglutarate (alpha-hydroxyglutarate)', 'serine', 'serine (L-serine)']","['0.43 g/g', '0.89 g/L', '12.6 g/L', '8.3 g/L', '4-6 g/L', '0.53 g/L', '10.1 g/L', '0.33 g/g', '0.44 g/g', '0.49 g/L', '0.26 g/g', '6.69 g/L']",['M9'],['Glucose'],"['7.0', 'N/A']",['37 C'],['N/A'],"['Batch', 'Fed-batch', 'Fed-batch with eamA overexpression']","['DglyA', 'DsdaA', 'DsdaB', 'DtdcG', 'EamA', 'SerA', 'ThrE', 'YeaB', 'eamA', 'glyA', 'ompX', 'opgE', 'rhtA', 'rybA', 'sdaA', 'sdaB', 'serA', 'serAmut', 'serB', 'serC', 'sstT', 'tdcG']"
10.1016.j.bbrc.2009.12.013,"['ethanol', 'ethanol (ethanol)', 'hydrogen', 'hydrogen (Hydrogen)']","['0.87±0.03μmol/mg protein', '21±3μmol/mg protein', '0.024±0.001mmol/L/h', '2.1±0.3mg/mg protein', '0.68±0.16mmol/L/h', '0.36±0.04mg/mg protein', '0.41±0.05mg/mg protein', '36.8±0.6μmol/mg protein']",['glycerol medium'],['glycerol'],['6.3'],['37°C'],['anaerobic'],['sealed crimp-top vial'],"['ackA', 'dhaMKL', 'eno', 'fbp', 'fnr', 'focA', 'frdC', 'gatABCDRYZ', 'gatZ', 'gldA', 'glp T', 'glpA', 'glpABC', 'glpB', 'glpD', 'glpF', 'glpK', 'glpT', 'not mentioned', 'rfaBIJKPSYZ']"
10.1016.j.ymben.2006.10.005,"['acetate', 'acetate (acetate)', 'amorphadiene', 'amorphadiene (amorphadiene)']","['7.6mM', '0.6mM (about 120mg/L)']",['SD'],['galactose'],['N/A'],['30°C'],['N/A'],['batch'],"['ACS', 'ACS1', 'ADS', 'ALD6', 'ALDEB', 'ERG20', 'ERG9', 'FPP synthase', 'HMG-CoA reductase', 'acs', 'tHMGR', 'upc2-1']"
10.1016.j.ymben.2009.01.002,"['H2', 'H2 (Hydrogen)', 'acetate', 'acetate (acetate)']","['0.10±0.02 mol H2·(mol glucose consumed)−1', '9-fold or more', '1.5 g/g', '0.13±0.01 mol H2·(mol glucose consumed)−1']",['MOPS minimal media'],['glucose'],"['-', '6.6-6.9']",['30°C'],"['aerobic', 'anaerobic']",['batch'],"['AmyE', 'CpFdx', 'Fdx', 'FldA', 'FldB', 'HydA', 'HydE', 'HydF', 'HydG', 'YdbK', 'amyE', 'fdx', 'fldA', 'fldB', 'iscR', 'ydbK', 'α-amylase']"
10.1016.j.ymben.2009.02.002,"['PDC', 'PDC (2-pyrone-4,6-dicarboxylic acid)']","['13% (mol/mol)', '189mg/l', '137mg/l', '46±0.74mg/l', '121mg/l', '6.7% (mol/mol)', '171mg/l', '9.24% (mol/mol)', '5.2% (mol/mol)', '173mg/l', '5.9% (mol/mol)', '106mg/l', '2.3% (mol/mol)']","['Minimal medium with 0.01mM Phenylalanine', 'Minimal medium with 0.01mM Tyrosine', 'Minimal medium with 2g/l glucose']",['Glucose'],['Not specified'],['37°C'],['Ambient'],"['Shaken flask, batch']","['LigABC', 'T7 RNA polymerase', 'aroB', 'aroF', 'aroFfbr', 'ligA', 'ligABC', 'ligB', 'ligC', 'pheA', 'pob', 'pobA', 'qutC', 'tyrA', 'ubiC']"
10.1016.j.ymben.2009.07.002,"['pyruvate', 'pyruvate (Pyruvate)', 'succinate', 'succinate (succinic acid)']","['2.6±0.14g/L', '0.24±0.02g/L', '0.26±0.03g/L', '1.99+0.09g/L']","['LB', 'M9']",['glucose'],['N/A'],['37°C'],"['aerobic', 'anaerobic', 'microaerobic']","['aerobic', 'anaerobic (dual-phase)', 'microaerobic']","['MarA', 'argA', 'grxB', 'hyfF', 'ldhA', 'lpdA', 'moaE', 'nuoC', 'pfkB', 'pflB', 'ygfT', 'yhcAD']"
