paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p56,10.1186.1475-2859-11-155,IMX197,Saccharomyces cerevisiae,naringenin (naringenin),134.5 μM,synthetic medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,IMX106,-,coCHS3↑,-
p56,10.1186.1475-2859-11-155,IMX198,Saccharomyces cerevisiae,naringenin (naringenin),200 μM,shake flask medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,IMX197,-,"coCHS3↑, cotal1↑",-
p56,10.1186.1475-2859-11-155,IMX198,Saccharomyces cerevisiae,naringenin (naringenin),414.63 μM,not specified,glucose,20 g·l<sup>-1</sup>,2L batch bioreactor,pH 5.0,38 hours,30°C,IMX197,"aro3Δ, pdc5Δ, pdc6Δ, aro10Δ","coCHS3↑, cotal1↑",-
p57,10.1186.1475-2859-12-56,BW ΔaceK ΔcaiA p37cai,Escherichia coli,L(-)-carnitine (L-(-)-carnitine),46 mM,LB-CB,crotonobetaine,50 mM,Batch,7.5,24 h,37°C,E. coli BW25113,"aceK, caiA","caiTABCDE (constitutive p37 promoter), caiF (constitutive p8 promoter)",
p58,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),50 g/L,defined minimal salts,crude glycerol,56 g/L (initial),"shake flask, no feed",6.38,84 hours,37°C,LA20,lldD,"glpK, glpD",S. bovis ldh
p59,10.1186.1475-2859-13-64,TK52,Escherichia coli,3HP (3-hydroxypropionic acid),,M9 + 2g/L yeast extract,glycerol,20g/L (assumed from typical conditions),"Shake flask, batch",Not specified,,37°C,MG1655(DE3),,"dhaB-gdrAB, aldH","dhaB1, dhaB2, dhaB3 (glycerol dehydratase), gdrA, gdrB (glycerol dehydratase reactivase), aldH (aldehyde dehydrogenase)"
p59,10.1186.1475-2859-13-64,TK52tz,Escherichia coli,3HP (3-hydroxypropionic acid),20.1 ± 9.2 C-mol%,M9 + 2g/L yeast extract,glycerol,20g/L (assumed from typical conditions),"Shake flask, batch",Not specified,,37°C,TK52,"tpiA, zwf",,
p59,10.1186.1475-2859-13-64,TK52tzy,Escherichia coli,3HP (3-hydroxypropionic acid),33.9 ± 1.2 C-mol%,M9 + 2g/L yeast extract,glycerol,20g/L (assumed from typical conditions),"Shake flask, batch",Not specified,,37°C,TK52tz,"tpiA, zwf, yqhD",,
p60,10.1186.1475-2859-7-36,ESY7,Saccharomyces cerevisiae,n-butanol (n-butanol),2.5 mg/L,SD,2% galactose,-,semi-anaerobic serum vials,-,144 h,30°C,BY4742,-,"ERG10, hbd, ccr","C. beijerinckii hbd, C. beijerinckii crt"
p60,10.1186.1475-2859-7-36,ESY11,Saccharomyces cerevisiae,n-butanol (n-butanol),nearly 2.5 mg/L,SD,2% galactose,-,semi-anaerobic serum vials,-,144 h,30°C,BY4742,-,-,"C. beijerinckii bcd, R. eutropha etfAB"
p61,10.1186.1475-2859-9-21,PB12.SA22,Escherichia coli,shikimic acid (SA) (shikimic acid),7 g/L,mineral broth with yeast extract,glucose,25 g/L,batch,7.0,50 h,37°C,PB12,"aroK, aroL","aroGfbr, tktA, aroB, aroE",
p62,10.1186.1754-6834-6-60,YJM28,Escherichia coli,α-pinene (alpha-pinene),0.97 g/L,fermentation medium,glucose,20 g/L,fed-batch,7.0,32 h,30°C,E. coli BL21(DE3),,"mvaE, mvaS, GPPS2, Pt30","mvaE, mvaS (E. faecalis), GPPS2 (Abies grandis), Pt30 (Pinus taeda)"
p63,10.1186.s12934-014-0096-1,FUS4/pF81,Escherichia coli,L-phenylalanine (L-phenylalanine),0.11 g L-1,MM,glycerol,0.5%,shake flask,7.0,30 hours,37°C,LJ110,-,"glpK, tktA","aroF, aroB, aroL, pheA"
p63,10.1186.s12934-014-0096-1,FUS4.6/pF81,Escherichia coli,L-phenylalanine (L-phenylalanine),0.25 g L-1,MM,glycerol,-,bioreactor,7.0,-,37°C,FUS4,-,glpX,"aroF, aroB, aroL, pheA"
p63,10.1186.s12934-014-0096-1,FUS4.5/pF81,Escherichia coli,L-phenylalanine (L-phenylalanine),0.23 g L-1,MM,glycerol,-,bioreactor,7.0,-,37°C,FUS4,-,tktA,"aroF, aroB, aroL, pheA"
p63,10.1186.s12934-014-0096-1,FUS4.7/pF81,Escherichia coli,L-phenylalanine (L-phenylalanine),0.37 g L-1,MM,glycerol,-,bioreactor,7.0,-,37°C,FUS4,-,"glpX, tktA","aroF, aroB, aroL, pheA"
p64,10.1186.s12934-014-0099-y,E. coli BL21(DE3) pEDA,Escherichia coli,DAMP4 (DAMP4),1 g/L,LBG,glucose,20 g/L,batch,6.9,~6 h,37°C,E. coli BL21(DE3),-,DAMP4 gene,DAMP4
p64,10.1186.s12934-014-0099-y,E. coli BL21(DE3) pEDA,Escherichia coli,DAMP4 (DAMP4),0.5 g/L,CDMG,glucose,20 g/L,batch,6.9,~4 h,37°C,E. coli BL21(DE3),-,DAMP4 gene,DAMP4
p64,10.1186.s12934-014-0099-y,"E. coli BL21(DE3) pEDA, p15aCSCx",Escherichia coli,DAMP4 (DAMP4),~1 g/L,CDMS,sucrose,20 g/L,batch,6.9,-,37°C,E. coli BL21(DE3),-,"DAMP4 gene, cscAKB operon","DAMP4, sucrose metabolism genes"
p64,10.1186.s12934-014-0099-y,E. coli BL21(DE3) pEDA,Escherichia coli,DAMP4 (DAMP4),7.4 g/L,CDMG,glucose,600 g/L (fed-batch),fed-batch,6.9,~15 h,37°C,E. coli BL21(DE3),-,DAMP4 gene,DAMP4
p64,10.1186.s12934-014-0099-y,"E. coli BL21(DE3) pEDA, p15aCSCx",Escherichia coli,DAMP4 (DAMP4),6.7 g/L,CDMS,sucrose,600 g/L (fed-batch),fed-batch,6.9,~15 h,37°C,E. coli BL21(DE3),-,"DAMP4 gene, cscAKB operon","DAMP4, sucrose metabolism genes"
p65,10.1186.s12934-014-0123-2,BY4741-PAL,Saccharomyces cerevisiae,styrene (styrene),20 mg/L,SD-Leu,glucose,20 g/L,shake flask,not specified,24 h,32°C,BY4741,-,PAL2,PAL2 (A. thaliana)
p65,10.1186.s12934-014-0123-2,22A75D-PAL,Saccharomyces cerevisiae,styrene (styrene),18 mg/L,SD-Leu,glucose,20 g/L,shake flask,not specified,48 h,32°C,22A75D,-,PAL2,PAL2 (A. thaliana)
p65,10.1186.s12934-014-0123-2,22A75D10-PAL,Saccharomyces cerevisiae,styrene (styrene),23 mg/L,SD-Leu,glucose,20 g/L,shake flask,not specified,48 h,32°C,22A75D,ARO10,PAL2,PAL2 (A. thaliana)
p65,10.1186.s12934-014-0123-2,22A75D104-PAL,Saccharomyces cerevisiae,styrene (styrene),29 mg/L,SD-Leu,glucose,20 g/L,shake flask,not specified,48 h,32°C,22A75D10,ARO10,"PAL2, ARO4 K229L","PAL2 (A. thaliana), ARO4 K229L"
p66,10.1186.s12934-014-0185-1,WPJRg,Escherichia coli,pHCA (p-hydroxycinnamic acid),107 μM,Minimal salts,Glucose,55.5 mM,Shake flask,,,37°C,W3110,-,"aroG fbr, tktA, PALRg",PALRg (Rhodotorula glutinis)
p66,10.1186.s12934-014-0185-1,WPJAt,Escherichia coli,CA (cinnamic acid),~530 μM,Minimal salts,Glucose,55.5 mM,Shake flask,,,37°C,W3110,-,"aroG fbr, tktA, PALAt",PALAt (Arabidopsis thaliana)
p66,10.1186.s12934-014-0185-1,VPJRg,Escherichia coli,pHCA (p-hydroxycinnamic acid),107 μM,Minimal salts,Glucose,55.5 mM,Shake flask,,,37°C,VH33,-,"aroG fbr, tktA, PALRg",PALRg (Rhodotorula glutinis)
p66,10.1186.s12934-014-0185-1,WPJAt,Escherichia coli,CA (cinnamic acid),736.8 μM,Minimal salts,Xylose,66.6 mM,Shake flask,,,37°C,W3110,-,"aroG fbr, tktA, PALAt",PALAt (Arabidopsis thaliana)
p66,10.1186.s12934-014-0185-1,W(pheA−)Rg,Escherichia coli,pHCA (p-hydroxycinnamic acid),322 μM,Simulated lignocellulosic hydrolysate,Mixed sugars,Varied*,Shake flask,,12 h,37°C,W3110,pheA,"aroG fbr, tktA, PALRg",PALRg (Rhodotorula glutinis)
p67,10.1186.s12934-015-0192-x,E. coli B2/pED + pVio,Escherichia coli,crude violacein (crude violacein),0.6 ± 0.01 g L⁻¹,M9-YE,glucose,10 g L⁻¹,Flask,7.0±0.5,48 h,20°C,E. coli BL21(DE3),"trpR, tnaA, pheA","trpE fbr, trpD",vio gene cluster
p68,10.1186.s12934-015-0232-6,AL17,Escherichia coli,isobutanol (isobutanol),4.9 g/L,M9 Production Media,gluconate,20 g/L,batch,,24 hours,30°C,AL17,-,-,-
p68,10.1186.s12934-015-0232-6,AL17,Escherichia coli,isobutanol (isobutanol),4.1 g/L,M9 Production Media,glucose/gluconate (1:1),10 g/L each,batch,,24 hours,30°C,AL17,-,-,-
p68,10.1186.s12934-015-0232-6,AL17,Escherichia coli,isobutanol (isobutanol),4.2 g/L,M9 Production Media,glucose,20 g/L,batch,,24 hours,30°C,AL17,-,-,-
p68,10.1186.s12934-015-0232-6,AL17∆ascB (complemented with EascB),Escherichia coli,isobutanol (isobutanol),2.7 g/L,M9 Production Media,commercial CBA,10.4 g/L,batch,,24 hours,30°C,AL17,ascB,ascB,-
p68,10.1186.s12934-015-0232-6,AL17∆ascB (complemented with CBAP),Escherichia coli,isobutanol (isobutanol),2.4 g/L,M9 Production Media,synthesized CBA,16.9 g/L,batch,,24 hours,30°C,AL17,ascB,CBAP (N. crassa),-
p68,10.1186.s12934-015-0232-6,AL17,Escherichia coli,isobutanol (isobutanol),1.4 g/L,Hydrolysate,CBA (from Avicel degradation),9.7 g/L,batch,,48 hours,30°C,AL17,-,-,-
p69,10.1186.s12934-015-0285-6,"gnd, tdcE, rpiA, nanE, tdcB, deoB, sucB, cpsG, frmA, glgC, fumA, gadB",Escherichia coli,"hydrogen, ethanol (hydrogen, ethanol)",Not specified,glycerol-based medium,glycerol,10 g L^-1,"50 mL Falcom tubes, anaerobic","6.25 (initial), 7.5 (for M2, M4, M5, gnd, tdcE, WT)","22-46 h, 94 h",37°C,BW25113,various (see text),-,-
p70,10.1186.s12934-015-0291-8,HLC010,Escherichia coli,dCyd (deoxycytidine),-,Production medium,glycerol,60 g/L,Flask,-,36 h,37°C,BL21(DE3),"deoA, udp, deoD, dcd, cdd, codA, thyA, purR, pepA, argR",-,-
p70,10.1186.s12934-015-0291-8,HLC015 (optimized for dCyd),Escherichia coli,dCyd (deoxycytidine),967 mg/L,Production medium with glucose,glucose,60 g/L,Flask,-,32 h,37°C,HLC010,"Same as HLC010, plus pgi","pyrG, yfbR",T4 nrdCAB
p70,10.1186.s12934-015-0291-8,HLC010-pETGY,Escherichia coli,dCyd (deoxycytidine),650 mg/L,Production medium with glycerol,glycerol,60 g/L,Flask,-,36 h,37°C,HLC010,-,"pyrG, yfbR",-
p70,10.1186.s12934-015-0291-8,HLC015-pETGY,Escherichia coli,dCyd (deoxycytidine),967 mg/L,Production medium with glucose (optimized),glucose,60 g/L,Flask,-,Similar,37°C,HLC015,-,"pyrG, yfbR",-
p71,10.1186.s12934-015-0301-x,W036,Escherichia coli,neurosporene (neurosporene),2.05 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,30 h,37°C,BW25113,"speE, speG, ygjG, puuPA",cadA (plasmid),crtEBI cassette
p71,10.1186.s12934-015-0301-x,P036 (Δpgi),Escherichia coli,neurosporene (neurosporene),~2.56 mg/g DCW (after 30 h),not specified,glucose,4% (w/v),flask,not specified,30 h,37°C,BW25113,"speE, speG, ygjG, puuPA","cadA (plasmid), dapA, dapB, lysA (chromosomal)",crtEBI cassette
p71,10.1186.s12934-015-0301-x,KA036 (ΔpfkA),Escherichia coli,neurosporene (neurosporene),~2.56 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,12 h,37°C,BW25113,"iclR, fumC, fumA, fumB",-,crtEBI cassette
p71,10.1186.s12934-015-0301-x,KB036 (ΔpfkB),Escherichia coli,neurosporene (neurosporene),~2.56 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,12 h,37°C,BW25113,-,-,crtEBI cassette
p71,10.1186.s12934-015-0301-x,KAB036 (ΔpfkAΔpfkB),Escherichia coli,neurosporene (neurosporene),~2.56 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,12 h,37°C,BW25113,arcA,-,crtEBI cassette
p71,10.1186.s12934-015-0301-x,TX036 (PT5-dxs),Escherichia coli,neurosporene (neurosporene),3.20 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,not specified,37°C,BW25113,ptsG,T5-dxs,-
p71,10.1186.s12934-015-0301-x,SX036 (pSB1s-dxs),Escherichia coli,neurosporene (neurosporene),5.03 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,not specified,37°C,BW25113,"frdABCD, aspA",dxs in pSB1s,-
p71,10.1186.s12934-015-0301-x,PTX036 (Δpgi PT5-dxs),Escherichia coli,neurosporene (neurosporene),6.94 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,not specified,37°C,BW25113,lacI,T5-dxs,-
p71,10.1186.s12934-015-0301-x,"P-SX036 (Δpgi, pSB1s-dxs)",Escherichia coli,neurosporene (neurosporene),9.40 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,not specified,37°C,BW25113,galP promoter replacement,dxs in pSB1s,-
p71,10.1186.s12934-015-0301-x,"PTX-SX036 (Δpgi PT5-dxs, pSB1s-dxs)",Escherichia coli,neurosporene (neurosporene),10.71 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,not specified,37°C,BW25113,pgi,"T5-dxs, dxs in pSB1s",-
p71,10.1186.s12934-015-0301-x,PTXIGK-AEGG-SXID10RK (final strain),Escherichia coli,lycopene (lycopene),17.8 mg/g DCW,not specified,glucose,4% (w/v),flask,not specified,24 h,37°C,BW25113,"pgi, ptsG","T5-dxs, T5-idi, P119-glk","dxs-idi-ispDF, eda-GCgnd in pBAD"
p72,10.1186.s13068-015-0270-7,E. coli BL21 (DE3) / pDG104,Escherichia coli,FABCEs (fatty acid branched-chain esters),56 ± 6.3 mg/L,modified M9,glycerol,-,shake flask,-,28 h,30 °C,E. coli BL21 (DE3),-,"alsS, ilvCD, ws/dgat, aro10, adh2, fadD",-
p72,10.1186.s13068-015-0270-7,"E. coli BL21 (DE3) / pDG104, pDG105",Escherichia coli,FABCEs (fatty acid branched-chain esters),273 ± 40.9 mg/L,modified M9,glycerol,-,shake flask,-,28 h,30 °C,E. coli BL21 (DE3),-,"alsS, ilvCD, tesA', ws/dgat, aro10, adh2, fadD",-
p72,10.1186.s13068-015-0270-7,"E. coli TL101 / pDG104, pDG105",Escherichia coli,FABCEs (fatty acid branched-chain esters),177 ± 21.9 mg/L,modified M9,glycerol,-,shake flask,-,28 h,30 °C,E. coli BL21 (DE3),fadE,"alsS, ilvCD, tesA', ws/dgat, aro10, adh2, fadD",-
p72,10.1186.s13068-015-0270-7,P. pastoris GS115 / pDG103,Escherichia coli,FABCEs (fatty acid branched-chain esters),169 ± 11.7 mg/L,YPD,glucose,-,shake flask,-,-,30 °C,P. pastoris GS115,-,"aro10, adh2, ws/dgat",-
p73,10.1021.jf500355p,BL-A1,Escherichia coli,- (butyrate),-,-,-,-,-,-,-,37 °C,-,poxB,-,-
p73,10.1021.jf500355p,BuT-8L,Escherichia coli,butyrate (butyrate),1 g/L,"shake-flask, no feeding",glucose,12 g/L,-,-,24 h,37 °C,"adhE, ldhA, frdA",-,"phaA, hbd, crt, ter",-
p73,10.1021.jf500355p,BuT-8LA,Escherichia coli,butyrate (butyrate),3.4 g/L,"shake-flask, no feeding",glucose,12 g/L,-,-,24 h,37 °C,"adhE, ldhA, frdA",atoDAEB with PλP L,"phaA, hbd, crt, ter",-
p73,10.1021.jf500355p,BuT-8L-ato,Escherichia coli,butyrate (butyrate),6.8 g/L,"shake-flask, acetate supplementation",glucose + acetate,12 g/L + 8 g/L,-,-,24 h,37 °C,"adhE, ldhA, frdA, pta",-,"phaA, hbd, crt, ter",-
p74,10.1021.sb400158w,FA1,Escherichia coli,free fatty acids (free fatty acids),1.2 g/L,M9,glucose,2%,shaking flask,,72 h,37 °C,E. coli (fadE knockout),fadE,tesA (leader seq. deleted),
p74,10.1021.sb400158w,FA2,Escherichia coli,free fatty acids (free fatty acids),Increased by 84% compared to FA1,M9,glucose,2%,shaking flask,,72 h,37 °C,E. coli (fadE knockout),fadE,"tesA (leader seq. deleted), acc",
p74,10.1021.sb400158w,FA3 (negative feedback),Escherichia coli,free fatty acids (free fatty acids),2.03 ± 0.1 g/L,M9,glucose,2%,shaking flask,,25 h,37 °C,FA2,fadE,"tesA (leader seq. deleted), acc, lacI (regulated by P FR1 )",
p75,10.1073.pnas.0308171100,TC44,Escherichia coli,pyruvate (Pyruvate),749 mM,mineral salts medium,glucose,9.8% total glucose (fed-batch),"5 and 10 liters, dual Rushton impellers, fed-batch",7.0,18-20 h,37°C,W3110,"atpFH, adhE, sucA, focA, pflB, frdBC, ldhA, ackA, poxB",-,-
p76,10.1073.pnas.0702609104,Val (pKKilvBN),Escherichia coli,L-valine (L-valine),1.31 g/liter,NM1,glucose,20 g/liter,batch,6.0,-,31°C,E. coli W3110,"ilvA, leuA, panB",ilvBN,-
p76,10.1073.pnas.0702609104,Val (pKBRilvBNCED),Escherichia coli,L-valine (L-valine),3.43 g/liter,NM2,glucose,20 g/liter,flask,-,48 h,-,Val,-,ilvBNCED,-
p76,10.1073.pnas.0702609104,Vlrp (pKBRilvBNCED),Escherichia coli,L-valine (L-valine),2.38 g/liter,NM2,glucose,20 g/liter,flask,-,48 h,-,Val (lrp-),lrp,ilvBNCED,-
p76,10.1073.pnas.0702609104,"Val (pKBRilvBNCED, pTrc184lrp)",Escherichia coli,L-valine (L-valine),4.34 g/liter,NM2,glucose,20 g/liter,flask,-,48 h,-,Val,-,"ilvBNCED, lrp",-
p76,10.1073.pnas.0702609104,"Val (pKBRilvBNCED, pTrc184ygaZH)",Escherichia coli,L-valine (L-valine),5.25 g/liter,NM2,glucose,20 g/liter,flask,-,48 h,-,Val,-,"ilvBNCED, ygaZH",-
p76,10.1073.pnas.0702609104,VAMF (pKBRilvBNCED),Escherichia coli,L-valine (L-valine),4.00 g/liter,NM1,glucose,20 g/liter,batch,-,-,31°C,Val (ΔaceF Δmdh ΔpfkA),"aceF, mdh, pfkA",ilvBNCED,-
p76,10.1073.pnas.0702609104,"VAMF (pKBRilvBNCED, pTrc184ygaZHlrp)",Escherichia coli,L-valine (L-valine),7.55 g/liter,NM1,glucose,20 g/liter,batch,-,-,31°C,VAMF,"aceF, mdh, pfkA","ilvBNCED, ygaZH, lrp",-
p77,10.1073.pnas.0905396106,KJ073,Escherichia coli,Succinic acid (Succinic acid),Not specified,Not specified,Glucose,Not specified,Not specified,Not specified,Not specified,30-39°C,ATCC 8739,"ptsI, pflB, mgsA, poxB",pck (indirectly via mutations),
p78,10.1073.pnas.1206346109,P2,Saccharomyces cerevisiae,L-tyrosine (L-tyrosine),418 mg/l,MOPS minimal,glucose,5 g/l,shake flask,adjusted to 7.0,24 h,37 °C,E. coli K-12,"tyrR, pheA","tyrA fbr, aroG fbr",-
p78,10.1073.pnas.1206346109,rpoA14 R,Saccharomyces cerevisiae,L-tyrosine (L-tyrosine),902 mg/l,MOPS minimal,glucose,5 g/l,shake flask,adjusted to 7.0,-,37 °C,P2,-,-,-
p78,10.1073.pnas.1206346109,rpoA14 R,Saccharomyces cerevisiae,L-tyrosine (L-tyrosine),5.7 g/l,MOPS minimal,glucose,5 g/l,"2-l bioreactor, batch",adjusted to 7.0,56 h,37 °C,P2,-,-,-
p78,10.1073.pnas.1206346109,rpoA14 R,Saccharomyces cerevisiae,L-tyrosine (L-tyrosine),13.8 g/l,R medium,glucose,5 g/l,"2-l bioreactor, batch",adjusted to 7.0,36 h,37 °C,P2,-,-,-
p79,10.1073.pnas.1502866112,BW/H7,Saccharomyces cerevisiae,G-7-ADCA (G-7-ADCA),2.50 ± 0.79 mM,ZYM medium,"1% tryptone, 0.5% yeast extract, 1% NaCl",,shake flask,7.0,5 h,30 °C,E. coli K12 (BW25113),,,scDAOCS-H7
p79,10.1073.pnas.1502866112,PG01/H7 (△sucA),Saccharomyces cerevisiae,G-7-ADCA (G-7-ADCA),10.04 ± 0.77 mM,ZYM medium,"1% tryptone, 0.5% yeast extract, 1% NaCl",,shake flask,7.0,,30 °C,BW25113,sucA,,scDAOCS-H7
p79,10.1073.pnas.1502866112,PG03/H7 (△sucA△poxB::acs),Saccharomyces cerevisiae,G-7-ADCA (G-7-ADCA),11.10 ± 0.70 mM,ZYM medium,"1% tryptone, 0.5% yeast extract, 1% NaCl",0.1-2% glucose,shake flask,7.0,,30 °C,PG01/H7,"sucA, poxB::acs",acs,scDAOCS-H7
p79,10.1073.pnas.1502866112,PG22/H7 (△sucA△poxB::acs△ampC△aceA),Saccharomyces cerevisiae,G-7-ADCA (G-7-ADCA),29.01 ± 1.27 mM,ZYM medium,"1% tryptone, 0.5% yeast extract, 1% NaCl",0.1-2% glucose,shake flask,7.0,20 h,30 °C,PG01/H7,"sucA, poxB::acs, ampC, aceA",acs,scDAOCS-H7
p80,10.1073.pnas.1506781112,E. coli P5g,Escherichia coli,"MA (cis,cis-muconic acid)",68 mg/L,sugar medium,glucose/xylose,"6.6 g/L glucose, 3.3 g/L xylose",batch,6.8,96 h,37 °C,E. coli tyrosine overproducer,"ydiB, aroE",-,"aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P5gs,Escherichia coli,"MA (cis,cis-muconic acid)",-,sugar medium,glucose/xylose,"6.6 g/L glucose, 3.3 g/L xylose",batch,6.8,96 h,37 °C,E. coli P5g,-,shiA,"aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P6.2/BXS,Escherichia coli,"MA (cis,cis-muconic acid)",2.72 g/L,sugar medium,glucose/xylose,"6.6 g/L glucose, 3.3 g/L xylose",batch,6.8,96 h,37 °C,"E. coli P6.2, BL21(DE3) derivatives",aroD,-,"aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P6.2/BXC,Escherichia coli,"MA (cis,cis-muconic acid)",850 mg/L,sugar medium,glucose/xylose,"6.6 g/L glucose, 6.6 g/L xylose",batch,7.1,-,37 °C,"E. coli P6.2, BL21(DE3) derivatives",aroD,-,"aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P6.6/BXC,Escherichia coli,"MA (cis,cis-muconic acid)",4 g/L,sugar medium,glucose/xylose,"6.6 g/L xylose, 13.2 g/L glucose",fed-batch,7.1,-,37 °C,"E. coli P6.6, BL21(DE3) derivatives",aroD,"ppsA, aroG^fbr","aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P6.6/BXC,Escherichia coli,"MA (cis,cis-muconic acid)",4.7 g/L,sugar medium,glucose/xylose,-,fed-batch,7.1,-,37 °C,"E. coli P6.6, BL21(DE3) derivatives",aroD,"ppsA, aroG^fbr","aroZ, aroY, catA"
p80,10.1073.pnas.1506781112,E. coli P6.2/BH2.2,Escherichia coli,4HB (4-hydroxybenzoic acid),-,sugar medium,glucose/xylose,"3.3 g/L xylose, 6.6 g/L glucose",batch,-,96 h,37 °C,"E. coli P6.2, BL21(DE3) derivatives",aroD,-,-
p80,10.1073.pnas.1506781112,E. coli P6.2/BH2.9,Escherichia coli,4HB (4-hydroxybenzoic acid),2.3 g/L,sugar medium,glucose/xylose,-,fed-batch,-,-,37 °C,"E. coli P6.2, BL21(DE3) derivatives",aroD,-,-
p81,10.1002.biot.201300263,PheBL21,Escherichia coli,phenol (phenol),"419 mg/L (flask), 1.69 g/L (fed-batch)",modified MR medium,glucose,"20 g/L initially, 600 g/L fed-batch","5 L jar fermentor, pH-stat feeding",6.8,27 (fed-batch),37°C,BL21,"csrA, tyrR","aroK, tyrC, aroG A146N, tyrA A354V,M53I, ppsA, tktA, aroF",tpl (from Pasteurella multocida)
p82,10.1002.bit.20159,JAy1,E. coli,L-Phe (L-phenylalanine),0.1 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37,JM101,,"aroG<sub>fbr</sub>, pheA<sub>fbr</sub>",
p82,10.1002.bit.20159,JAy2 (background),E. coli,L-Phe (L-phenylalanine),0.16 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37,PB12,"PTS (ptsHI, crr)","aroG<sub>fbr</sub>, pheA<sub>fbr</sub>",
p82,10.1002.bit.20159,JAy38,E. coli,L-Phe (L-phenylalanine),0.21 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37°C,JM101,,"aroG<sub>fbr</sub>, pheA<sub>ev1</sub>",
p82,10.1002.bit.20159,"JAy49, JAy51, JAy53",E. coli,L-Phe (L-phenylalanine),0.22 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37°C,JM101,,"aroG<sub>fbr</sub>, pheA<sub>ev2</sub>",
p82,10.1002.bit.20159,"JAy153, JAy161",E. coli,L-Phe (L-phenylalanine),0.33 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37°C,PB12,"PTS (ptsHI, crr)","aroG<sub>fbr</sub>, pheA<sub>ev1</sub>",
p82,10.1002.bit.20159,"JAy166, JAy174",E. coli,L-Phe (L-phenylalanine),0.33 g/L,M9,Glucose,10 g/L,Resting cell culture,Not specified,10 hours,37°C,PB12,"PTS (ptsHI, crr)","aroG<sub>fbr</sub>, pheA<sub>ev2</sub>",
p83,10.1002.bit.20298,HL26715k,E. coli,succinate (succinate),43 mM,LB+NaHCO3,glucose,63 mM,batch reactor,7.0,83 h,37°C,GJT001,"sdhAB, poxB, ackA-pta, icd, iclR",-,-
p84,10.1002.bit.20542,pta-adhE double deletion strain,E. coli,lactate (lactic acid),0.87 - 1.69 g/L,M9 minimal,glucose,2 g/L,Batch,Not specified,60 days,37°C,E. coli K12 MG1655,"pta, adhE",-,-
p84,10.1002.bit.20542,pta-pfk double deletion strain,E. coli,lactate (lactic acid),0.89 g/L,M9 minimal,glucose,2 g/L,Batch,Not specified,60 days,37°C,E. coli K12 MG1655,"pta, pfkA",-,-
p84,10.1002.bit.20542,pta-adhE-pfk-glk quadruple deletion strain,E. coli,lactate (lactic acid),0.87 g/L,M9 minimal,glucose,2 g/L,Batch,Not specified,60 days,37°C,E. coli K12 MG1655,"pta, adhE, pfkA, glk",-,-
p85,10.1002.bit.22502,XQ26 (p15SpeC),bacteria,putrescine (putrescine),1.18 g L⁻¹,R/2 medium,glucose,10 g L⁻¹,Batch,6.8,-,37°C,WL3110,"argI, speE, speG, puuPA",speC,-
p85,10.1002.bit.22502,XQ38 (p15SpeC),bacteria,putrescine (putrescine),0.84 g L⁻¹,R/2 medium,glucose,10 g L⁻¹,Batch,6.8,-,37°C,XQ26,argR,speC,-
p85,10.1002.bit.22502,XQ33 (p15SpeC),bacteria,putrescine (putrescine),1.30 g L⁻¹,R/2 medium,glucose,10 g L⁻¹,Batch,6.8,-,37°C,XQ26,-,speC (with promoter replacement),-
p85,10.1002.bit.22502,XQ43 (p15SpeC),bacteria,putrescine (putrescine),1.57 g L⁻¹,R/2 medium,glucose,10 g L⁻¹,Batch,6.8,-,37°C,XQ33,-,"speC, speF, potE (with promoter replacement)",-
p85,10.1002.bit.22502,XQ52 (p15SpeC),bacteria,putrescine (putrescine),1.68 g L⁻¹,R/2 medium,glucose,10 g L⁻¹ fed-batch,pH-stat,6.8,32 h,37°C,XQ43,rpoS,speC,-
