identifier,doi,strain names,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p97,10.1002.bit.22918,XQ56 (fed batch),Cadaverine,9.61 g L⁻¹,Glucose mineral salts (R/2),Glucose,10 g L⁻¹,Fed-batch (pH-stat),6.80,30 h,37°C,XQ27,,"cadA, dapA",
p99,10.1002.bit.23069,BAP1,6-dEB,>5,LB,Propionate,60,Shake flask,7.6,72,22,BAP1,,"prpE, atoC","MatB, MatC"
p99,10.1002.bit.23069,TB3,6-dEB,>100,LB,Propionate,60,Shake flask,7.6,72,22,TB3,ygfH,"prpE, atoC","MatB, MatC"
p99,10.1002.bit.23069,BAB2,6-dEB,~1.27,LB,Methylmalonate,20,Shake flask,-,-,-,BAP1,ygf operon,atoC,"MatB, MatC"
p99,10.1002.bit.23069,BAP1,6-dEB,~3.39,LB,Methylmalonate,20,Shake flask,-,-,-,BAP1,,-,"MatB, MatC, mce"
p99,10.1002.bit.23069,BAP1,6-dEB,~97.9,LB,Propionate,20,Shake flask,-,-,22,BAP1,,"mce,mce",-
p99,10.1002.bit.23069,TB3,6-dEB,~75.2,LB,Propionate,-,Shake flask,-,-,22,TB3,ygfH,mce,-
p99,10.1002.bit.23069,TB3,6-dEB,~52.1,LB,Methylmalonate,20,Shake flask,-,-,22,TB3,ygfH,matBC-mce,-
p99,10.1002.bit.23069,BAP1,6-dEB,~134.1,LB,Propionate,-,Shake flask,-,-,22,BAP1,,prpE-atoC,-
p99,10.1002.bit.23069,TB3,6-dEB,~101,LB,Propionate,-,Shake flask,-,120,-,TB3,ygfH,prpE-atoC,-
p99,10.1002.bit.23069,BAP1,6-dEB,~0.32,LB,Methylmalonate,20,Shake flask,-,-,-,BAP1,-,-,mce
p99,10.1002.bit.23069,TB3,6-dEB,75.6,LB,Propionate,-,Shake flask,-,-,22,TB3,ygfH,-,-
p99,10.1002.bit.23069,TB3,6-dEB,134.1,LB,Propionate,-,Shake flask,-,-,22,-,-,"prpE & atoC, mce",-
p99,10.1002.bit.23069,BAP1,6-dEB,0.1,LB,Succinate,20,Shake flask,-,-,-,BAP1,,"sbm, mce",-
p99,10.1002.bit.23069,BAP1,6-dEB,73.4,LB,"Propionate, Succinate",20,Shake flask,-,-,-,BAP1,,sbm,-
p99,10.1002.bit.23069,BAP1,6-dEB,96.4,LB,"Propionate, Succinate",20,Shake flask,-,-,-,BAP1,,"sbm, mce",-
p100,10.1002.bit.23259,H,Hydrogen,6.19 mmol H₂/mol glucose,M63A,glucose,7.5 g/L,Erlenmeyer flasks/Batch,7.0,26 h,25°C,E. coli BL21(DE3),,,hydAEFG (C. acetobutylicum)
p100,10.1002.bit.23259,HFdY,Hydrogen,9.40 mmol H₂/mol glucose,M63A,glucose,7.5 g/L,Erlenmeyer flasks/Batch,7.0,26 h,25°C,E. coli BL21(DE3),,,"hydAEFG (C. acetobutylicum), fdxA (C. pasteurianum), yumC (B. subtilis)"
p100,10.1002.bit.23259,HFdYg,Hydrogen,1.48-fold increase,M63A,glucose,7.5 g/L,Erlenmeyer flasks/Batch,7.0,26 h,25°C,E. coli BL21(DE3),,glpX,"hydAEFG (C. acetobutylicum), fdxA (C. pasteurianum), yumC (B. subtilis)"
p100,10.1002.bit.23259,HFdYgz,Hydrogen,2.32-fold increase,M63A,glucose,7.5 g/L,Erlenmeyer flasks/Batch,7.0,26 h,25°C,E. coli BL21(DE3),,"glpX, zwf","hydAEFG (C. acetobutylicum), fdxA (C. pasteurianum), yumC (B. subtilis)"
p101,10.1002.bit.24868,CWF4,Fumaric acid,1.45 g/L,MR medium,Glucose,15 g/L,Flask culture,7.0,24 h,37°C,W3110,"iclR, fumC, fumA, fumB",,
p101,10.1002.bit.24868,CWF41,Fumaric acid,4.09 g/L,MR medium,Glucose,15 g/L,Flask culture,7.0,24 h,37°C,CWF4,,ppc,
p101,10.1002.bit.24868,CWF51,Fumaric acid,4.9 g/L,MR medium,Glucose,15 g/L,Flask culture,7.0,24 h,37°C,CWF41,arcA,ppc,
p101,10.1002.bit.24868,CWF61,Fumaric acid,5.35 g/L,MR medium,Glucose,15 g/L,Flask culture,7.0,24 h,37°C,CWF51,ptsG,ppc,
p101,10.1002.bit.24868,CWF81,Fumaric acid,5.85 g/L,MR medium,Glucose,15 g/L,Flask culture,7.0,24 h,37°C,CWF61,aspA,ppc,
p101,10.1002.bit.24868,CWF811,Fumaric acid,8.23 g/L,MR medium,Glucose,20 g/L,Batch culture,7.0,27 h,37°C,CWF61,"aspA, lacI",ppc,
p101,10.1002.bit.24868,CWF812,Fumaric acid,7.85 g/L,MR medium,Glucose,20 g/L,Batch culture,7.0,20 h,37°C,CWF811,ptsG promoter replaced with trc,ppc,
p101,10.1002.bit.24868,CWF811,Fumaric acid,26.2 g/L,MR medium,Glucose,72.5 g/L (fed-batch),Fed-batch culture,7.0,104 h,37°C,CWF61,"aspA, lacI",ppc,
p101,10.1002.bit.24868,CWF812,Fumaric acid,28.2 g/L,MR medium,Glucose,72.5 g/L (fed-batch),Fed-batch culture,7.0,63 h,37°C,CWF811,"ptsG promoter replaced with trc , aspA, lacI",ppc,
p102,10.1002.bit.25123,M7,"amorpha-4,11-diene","6-fold increase (compared to parental strain, S. cerevisiae BY4742)",SD + URA,galactose,2%,"Small-scale study, 3 mL SD medium with leucine dropped out, added with 300 µL dodecane for two-phase fermentation",,5 days,,S. cerevisiae BY4742,,thmg1,
p102,10.1002.bit.25123,M8,"amorpha-4,11-diene","6-fold increase (compared to parental strain, S. cerevisiae BY4742)",SD + URA,galactose,2%,"Small-scale study, 3 mL SD medium with leucine dropped out, added with 300 µL dodecane for two-phase fermentation",,5 days,,S. cerevisiae BY4742,,thmg1,
p102,10.1002.bit.25123,M3-2nd,"amorpha-4,11-diene",13-fold increase (approximately 64 mg/L),SD + URA,galactose,2%,"Small-scale study, 3 mL SD medium with leucine dropped out, added with 300 µL dodecane for two-phase fermentation",,5 days,,S. cerevisiae BY4742,,"erg10, erg13, thmg1, erg12",
p103,10.1002.bit.25198,F1,farnesene,130 mg/L,2x TY,glycerol,2%,Shake-flask,Not specified,24-48 h after IPTG induction,30°C,E. coli BL21(DE3),,"afs, pMH1, pFZ81","atoB, ERG13, tHMG1, ERG12, ERG8, MVD1, Idi, IspA, afs"
p103,10.1002.bit.25198,F4,farnesene,"731 mg/L (48h), 1.1 g/L (96h)",2x TY,glycerol,2%,Shake-flask,Not specified,24-96 h after IPTG induction,30°C,E. coli BL21(DE3),,Idi,"afs, pMH1, pFZ81, ispA"
p104,10.1002.bit.25239,XL122,Fatty acids,124 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,"FAA1, FAA4, POX1",,eutE
p104,10.1002.bit.25239,DG005,Fatty acids,140 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,ADH1,,
p104,10.1002.bit.25239,DG001,Fatty acids,66 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,FAA1,,
p104,10.1002.bit.25239,DG003,Fatty acids,81 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,"FAA1, FAA4",,
p104,10.1002.bit.25239,XL121,Fatty acids,106 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,"FAA1, FAA4, POX1",,
p104,10.1002.bit.25239,YPH499,Fatty acids,48 mg/L,SC-URA,Glucose,20 g/L,500-mL Erlenmeyer flask,6.5,3-4 days,30°C,YPH499,,,
p105,10.1002.bit.25488,SP1,L-lactic acid,24.2-27.6 g/L,SC medium,glucose,8% (v/v),250 mL flasks,-,30h,30°C,CEN.PK2-1D,PDC1,LDH,LDH
p105,10.1002.bit.25488,SP2,L-lactic acid,35 g/L,YP medium,glucose,8% (v/v),250 mL flask,-,30h,30°C,CEN.PK2-1D,"PDC1, CYB2, GPD1",-,LDH
p105,10.1002.bit.25488,SP5,L-lactic acid,35.8 g/L,YP medium,glucose,8% (v/v),250 mL flask,-,30h,30°C,SP4,-,LDH,-
p105,10.1002.bit.25488,SP6,L-lactic acid,36.4 g/L,YP medium,glucose,8% (v/v),250 mL flask,-,-,30°C,SP5,NDE2,-,-
p105,10.1002.bit.25488,SP7,L-lactic acid,37.8 g/L,YP medium,glucose,8% (v/v),250 mL flask,-,-,30°C,SP5,NDE2,LDH,-
p105,10.1002.bit.25488,SP7,L-lactic acid,117 g/L,Modified YP medium,glucose,60 g/L,2-L jar fermentor (fed-batch mode),3.5,24h,30°C,SP5,NDE2,LDH,-
p106,10.1002.bit.25683,SCIST01-06,farnesene,4-6 mg/L,minimal,glucose,20 g/L,shake flask,5,48 h,30°C,S. cerevisiae CEN.PK113-5D,not specified,tHMG1,"farnesene synthases from M. domestica, C. junos, A. annua"
p106,10.1002.bit.25683,SCIST07-12,farnesene,120-170 mg/L,minimal,glucose,"20 g/L (init), feed: 200 g/L",fed-batch with RQ-control,5,30 h,30°C,"SCICK16, SCIGS22","dpp1Δ, lpp1Δ, ERG20"", GDH2"", gdh1Δ",tHMG1,"farnesene synthases from M. domestica, C. junos, A. annua"
p106,10.1002.bit.25683,SCIGS24,santalene,163 mg/L,minimal,glucose,"20 g/L (init), feed: 200 g/L",fed-batch with RQ-control,5,30 h,30°C,SCIST10-12,not specified,not specified,santalene synthase from Clausena lansium
p107,10.1002.bit.25844,Q1 (DE3),Serine,8.3 g/L,M9,Glucose,0.2%,"1 L fermenters, fed-batch",7.0,24 h,37°C,E. coli MG1655,"sdaA, sdaB, tdcG, glyA","serAmut, serB, serC",–
p107,10.1002.bit.25844,Q3,Serine,11.7 g/L,M9,Glucose,0.2%,"1 L fermenters, fed-batch",7.0,24 h,37°C,Q1,"sdaA, sdaB, tdcG, glyA, rhtA, ompX, opgE, rybA/mntS","serAmut, serB, serC, eamA",–
p108,10.1016.j.bbrc.2009.12.013,HW2,Hydrogen,0.68 ± 0.16 mmol/L/h,Minimal medium,Glycerol,10 g/L,"Sealed crimp-top vials, batch",6.3,5h,37°C,BW25113 frdC,frdC,gldA,
p108,10.1016.j.bbrc.2009.12.013,HW2,Ethanol,2.1 ± 0.3 mg/mg protein,Minimal medium,Glycerol,10 g/L,"Sealed crimp-top vials, batch",6.3,5h,37°C,BW25113 frdC,frdC,gldA,
p109,10.1016.j.ymben.2006.10.005,PDB101 (EPY213/pRS426ALD6),Acetate,7 times more than EPY213,SD medium,Galactose,2%,5mL dodecane to sequester amorphadiene,Not mentioned,7 days,30°C,EPY213,,ALD6,
p109,10.1016.j.ymben.2006.10.005,PDB103 (EPY213/pRS426ACS1),Amorphadiene,8-23% more than EPY213,SD medium,Galactose,2%,5mL dodecane to sequester amorphadiene,Not mentioned,7 days,30°C,EPY213,,ACS1,
p109,10.1016.j.ymben.2006.10.005,PDB105 (EPY213/pESC-ALD6-ACS1),Amorphadiene,Not exceeding EPY213,SD medium,Galactose,2%,5mL dodecane to sequester amorphadiene,Not mentioned,7 days,30°C,EPY213,,"ALD6, ACS1",
p109,10.1016.j.ymben.2006.10.005,PDB107 (EPY213/pESC-ALD6-SEacsL641P),Amorphadiene,Higher than PDB101 and PDB105,SD medium,Galactose,2%,5mL dodecane to sequester amorphadiene,Not mentioned,7-8 days,30°C,EPY213,,ALD6,SE acs variant (L641P)
p109,10.1016.j.ymben.2006.10.005,PDB108 (EPY224/pESC-ALD6-SEacsL641P),Amorphadiene,"Highest, > 0.6mM (~120mg/L)",SD medium,Galactose,2%,5mL dodecane to sequester amorphadiene,Not mentioned,7-8 days,30°C,EPY224,,ALD6,SE acs variant (L641P)
p111,10.1016.j.ymben.2009.02.002,BL21(DE3),PDC,171 mg/l,Minimal medium,Glucose,2 g/l,Shaken-flask,7,48h,37°C,KP7600,,"aroFfbr, aroB,","ubiC from E. coli, pobA from P. putida, ligABC from Sphingobium sp. SYK-6, qutC from E. nidulans"
p111,10.1016.j.ymben.2009.02.002,ΔpheA(DE3),PDC,189 mg/l,Minimal medium,Glucose,2 g/l,Shaken-flask,7,48h,37°C,W3110 (A),pheA,"aroFfbr, aroB,","ubiC from E. coli, pobA from P. putida, ligABC from Sphingobium sp. SYK-6, qutC from E. nidulans"
p111,10.1016.j.ymben.2009.02.002,ΔtyrA(DE3),PDC,121 mg/l,Minimal medium,Glucose,2 g/l,Shaken-flask,7,48h,37°C,W3110 (A),tyrA,"aroFfbr, aroB,","ubiC from E. coli, pobA from P. putida, ligABC from Sphingobium sp. SYK-6, qutC from E. nidulans"
p112,10.1016.j.ymben.2009.07.002,NZN111,succinate,"0.24 g/L (M9), 1.99 g/L (LB)","M9 minimal media, LB",glucose,10 g/L,"tubes capped for microaerobic conditions, anaerobic fermentation using Bio-bag Type-A environmental chambers",not specified,"48h (selection), 24h (fermentation)",37°C,E. coli K12,"ldhA, pflB","ldhA, hyfF, grxB, nuoC, moaE, ygfT, pfkB, MarA, yhcAD, argA",none
p113,10.1016.j.ymben.2010.11.002,JUDE-1,IgG,1-4 mg/L,NU,glycerol,0.5%,shake flask,,16h,25°C,DH10B,,,"VH, VL"
p113,10.1016.j.ymben.2010.11.002,TM4,IgG,10-20 times higher than JUDE-1,NU,glycerol,0.5%,shake flask,,16h,25°C,JUDE-1,,,"VH, VL"
p114,10.1016.j.ymben.2011.09.006,GJT001,Ethanol,66mM (AMS001) / 55mM (AMS002) / 12.5mM (AMS001) / 4.2mM (AMS002),LB,Glycerol,Not specified,"125-ml shake flask, 15ml culture volume",Not specified,24h,37°C,Not specified,ubiCA,,Z. mobilis pdc and adh genes / mutated adhE*
p114,10.1016.j.ymben.2011.09.006,YBS131,Ethanol,66mM (AMS001) / 55mM (AMS002) / 12.5mM (AMS001) / 4.2mM (AMS002),LB,Glycerol,Not specified,"125-ml shake flask, 15ml culture volume",Not specified,24h,37°C,Not specified,ldhA,,Z. mobilis pdc and adh genes / mutated adhE*
p114,10.1016.j.ymben.2011.09.006,AMS001,Ethanol,66mM (AMS001) / 55mM (AMS002) / 12.5mM (AMS001) / 4.2mM (AMS002),LB,Glycerol,Not specified,"125-ml shake flask, 15ml culture volume",Not specified,24h,37°C,GJT001,ubiCA,,Z. mobilis pdc and adh genes / mutated adhE*
p114,10.1016.j.ymben.2011.09.006,AMS002,Ethanol,66mM (AMS001) / 55mM (AMS002) / 12.5mM (AMS001) / 4.2mM (AMS002),LB,Glycerol,Not specified,"125-ml shake flask, 15ml culture volume",Not specified,24h,37°C,YBS131,"ubiCA, ldhA",,Z. mobilis pdc and adh genes / mutated adhE*
p115,10.1016.j.ymben.2012.07.002,JCL166,n-hexanol,280mg/L,LB medium,glucose,1%,Vacutainer tube,-,48h,30°C,JCL299,ΔldhA ΔadhE ΔfrdBC,PaaH1 (wild type),"mBACH, pHL101"
p115,10.1016.j.ymben.2012.07.002,JCL166,n-hexanol,469mg/L,LB medium,glucose,1%,Vacutainer tube,-,48h,30°C,JCL299,ΔldhA ΔadhE ΔfrdBC,"PaaH1 mutants (P01, P042, P06, P09, P13)","mBACH, pHL101"
p115,10.1016.j.ymben.2012.07.002,JCL299,n-butanol,~30mg/L,LB medium,glucose,1%,Vacutainer tube,-,48h,30°C,JCL299,-,-,"pHL101, C. acetobutylicum adhE2"
p115,10.1016.j.ymben.2012.07.002,JCL299,n-hexanol,280mg/L,LB medium,glucose,1%,Vacutainer tube,-,48h,30°C,JCL299,-,PaaH1 (wild type),"pHL101, C. acetobutylicum adhE2"
p115,10.1016.j.ymben.2012.07.002,JCL299,n-hexanol,469mg/L,LB medium,glucose,1%,Vacutainer tube,-,48h,30°C,JCL299,-,"PaaH1 mutants (P01, P042, P06, P09, P13)","pHL101, C. acetobutylicum adhE2"
p116,10.1016.j.ymben.2012.07.010,JBEI4716,Bisabolene,200,SC-Leu,Glucose,2%,Shake flask (batch),5,,30°C,CEN.PK2,rox1,"tHMG1, ERG20",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4717,Bisabolene,400,SC-Leu,Glucose,2%,Shake flask (batch),5,,30°C,JBEI4716,rox1,"tHMG1, ERG20",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4722,Bisabolene,450,SC-Leu,Glucose,2%,Shake flask (batch),5,,30°C,JBEI4716,"rox1, ypl062w","tHMG1, ERG20",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4726,Bisabolene,135,SC-Leu,Glucose,2%,Shake flask (batch),5,,30°C,CEN.PK2,gal80,"tHMG1, ERG20, GAL1, GAL10",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4730,Bisabolene,540,SC-Leu,Glucose,2%,,5,6d,30°C,JBEI4726,"rox1, ypl062w, yjl064w","tHMG1, ERG20",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4732,Bisabolene,800,SC-Leu,Glucose,2%,Shake flask (batch),5,6d,30°C,JBEI4726,"yjl064w, ypl062w","tHMG1, ERG20",AgBIS
p116,10.1016.j.ymben.2012.07.010,JBEI4734,Bisabolene,5.2g/L,Batch/fed,Glucose,500g/L,Bioreactor (fed-batch),5,,30°C,JBEI4732,,"TRP, tHMG1, ERG20, GAL1, GAL10",AgBIS
p117,10.1016.j.ymben.2012.08.001,HB101,acetone,76 mM (4.4 g/L),LB,glucose,20 g/L,batch,4.7,48,37°C,E. coli,none,"thlA, adc",teIIsrf or ybgC (from B. subtilis or H. influenzae)
p117,10.1016.j.ymben.2012.08.001,HB101,acetone,122 mM (7.1 g/L),LB,glucose,supplemented four times,glucose fed-batch,>5,80,37°C,E. coli,none,"thlA, adc",teIIsrf or ybgC (from B. subtilis or H. influenzae)
p118,10.1016.j.ymben.2012.08.002,E. coli JW1380,Hydroxytyrosol,0.74 mM,M9Y,l-DOPA,Not specified,Shake flask,Not specified,Not specified,30°C,E. coli BW25113,feaB,TYO,"DDC (from Sus scrofa), TYO (from Micrococcus luteus)"
p118,10.1016.j.ymben.2012.08.002,E. coli JW1380,Hydroxytyrosol,0.19 mM,M9Y,l-tyrosine,1 mM,Shake flask,Not specified,Not specified,30°C,E. coli BW25113,feaB,"TH, BH4 regeneration system, DDC, TYO","TH (mouse), PCD (human), DHPR (human), DDC (Sus scrofa), TYO (Micrococcus luteus)"
p118,10.1016.j.ymben.2012.08.002,E. coli JW1380,Hydroxytyrosol,0.08 mM,M9Y,Glucose,Not specified,Shake flask,Not specified,3 days,30°C,E. coli BW25113,feaB,"TH, BH4 regeneration system, DDC, TYO","TH (mouse), PCD (human), DHPR (human), DDC (Sus scrofa), TYO (Micrococcus luteus)"
p119,10.1016.j.ymben.2012.08.006,KTS622,Gluconate,0.5 g/L,M9 minimal medium,Glucose,1.5% (w/v),Shake flasks,,72h,37°C,E. coli DH10B,fruR,glk (glucokinase),gdh (glucose dehydrogenase)
p119,10.1016.j.ymben.2012.08.006,KTS822IG,Gluconate,>0.5 g/L,M9 minimal medium,Glucose,1.5% (w/v),Shake flasks,,72h,37°C,E. coli DH10B,fruR,glk (glucokinase),gdh (glucose dehydrogenase)
p119,10.1016.j.ymben.2012.08.006,NVS922IG,Gluconate,8.04 g/L,M9 minimal medium,Glucose,1.5% (w/v),Shake flasks,,72h,37°C,E. coli DH10B,fruR,glk (glucokinase),gdh (glucose dehydrogenase)
p120,10.1016.j.ymben.2012.09.002,E. coli DN1,NeuAc,1.55 g/l,Modified TB medium,Glucose,30 g/l,"Shake flask, batch",-,30h,37°C,E. coli DH5α,"nagA, nagB","glmSM, GNA1","slr1975, GNA1 (from Synechocystis sp. PCC6803, Saccharomyces cerevisiae EBY100)"
p120,10.1016.j.ymben.2012.09.002,E. coli DN2,NeuAc,0.79 g/l,Modified TB medium,Glucose,30 g/l,"Shake flask, batch",-,30h,37°C,E. coli DH5α,"nagA, nagB, ackA","glmSM, GNA1","slr1975, GNA1 (from Synechocystis sp. PCC6803, Saccharomyces cerevisiae EBY100)"
p120,10.1016.j.ymben.2012.09.002,E. coli DN3,NeuAc,0.64 g/l,Modified TB medium,Glucose,30 g/l,"Shake flask, batch",-,30h,37°C,E. coli DH5α,"nagA, nagB, ackA, poxB","glmSM, GNA1","slr1975, GNA1 (from Synechocystis sp. PCC6803, Saccharomyces cerevisiae EBY100)"
p120,10.1016.j.ymben.2012.09.002,E. coli DN4,NeuAc,1.36 g/l,Modified TB medium,Glucose,30 g/l,"Shake flask, batch",-,30h,37°C,E. coli DH5α,"nagA, nagB, ackA, poxB, ldhA","glmSM, GNA1","slr1975, GNA1 (from Synechocystis sp. PCC6803, Saccharomyces cerevisiae EBY100)"
p120,10.1016.j.ymben.2012.09.002,E. coli DN5,NeuAc,7.85 g/l,Modified TB medium,Glucose,10%,"5L fermentor, fed-batch",7.0,-,-,E. coli DN4,nanATEK,"glmSM, GNA1","slr1975, GNA1 (from Synechocystis sp. PCC6803, Saccharomyces cerevisiae EBY100)"
p121,10.1016.j.ymben.2012.11.008,AS108,Isobutanol,114 mM (aerobic) / 35 mM (anaerobic),NBS medium,Glucose,5%,"Aerobic: 250 mL flasks, 250 rpm; Anaerobic: 100 mL screw cap bottles, no shaking",Not specified,Aerobic: 24h; Anaerobic: 6 days,37°C,XZ-T010,"ldhA, pflB, frd, tdcE, ackA, pta, adhE, tdcD, mgsA",,"alsS, kivD, ilvD, adhA"
p121,10.1016.j.ymben.2012.11.008,AS144,Isobutanol,+21% titer (compared to AS108 in aerobic conditions),NBS medium,Glucose,5%,"Aerobic: 250 mL flasks, 250 rpm",Not specified,24h,37°C,AS108,,pntAB with M1-46,"alsS, kivD, ilvD, adhA"
p121,10.1016.j.ymben.2012.11.008,AS166,Isobutanol,63 mM (anaerobic),NBS medium,Glucose,5%,"Anaerobic: 100 mL screw cap bottles, no shaking",Not specified,6 days,37°C,AS142,,"pntAB with M1-93, yfjB with M1-46","alsS, kivD, ilvD, adhA"
p121,10.1016.j.ymben.2012.11.008,AS226,Isobutanol,146 mM (aerobic),NBS medium,Glucose,5%,"Aerobic: 250 mL flasks, 250 rpm",Not specified,24h,37°C,AS144,,"pntAB with M1-46, yfjB with M1-30","alsS, kivD, ilvD, adhA"
p122,10.1007.s00253-006-0535-y,TUQ19/pQZ6,succinate,1.29 mol/mol glucose,Luria–Bertani (LB),glucose,approximately 15 g/l,"sealed serum tubes, agitated at 250 rpm",,,37°C,W1485 (DE3),"ptsG, iclR",pyc (from Bacillus subtilis),
p123,10.1007.s00253-012-4298-3,YPH499XU/MAE1,ethanol,0.38 g/g xylose consumed,YPX,xylose,50 g/l,batch fermentation,-,-,30°C,YPH499XU,-,MAE1,"Scheffersomyces stipitis XR, XDH"
p123,10.1007.s00253-012-4298-3,YPH499XU/MAE1,xylitol,0.19 g/g xylose consumed,YPX,xylose,50 g/l,batch fermentation,-,-,30°C,YPH499XU,-,MAE1,"Scheffersomyces stipitis XR, XDH"
p123,10.1007.s00253-012-4298-3,YPH499XU/MAE1–MDH2,ethanol,0.39 g/g xylose consumed,YPX,xylose,50 g/l,batch fermentation,-,-,30°C,YPH499XU,-,"MAE1, MDH2","Scheffersomyces stipitis XR, XDH"
p123,10.1007.s00253-012-4298-3,YPH499XU/MAE1–MDH2,xylitol,0.20 g/g xylose consumed,YPX,xylose,50 g/l,batch fermentation,-,-,30°C,YPH499XU,-,"MAE1, MDH2","Scheffersomyces stipitis XR, XDH"
p123,10.1007.s00253-012-4298-3,YPH499XU/MAE1–MDH2–PYC2,ethanol,0.33 g/g xylitol consumed,YPX,xylitol,-,batch fermentation,-,72h,30°C,YPH499XU,-,"MAE1, MDH2, PYC2","Scheffersomyces stipitis XR, XDH"
p124,10.1007.s10529-013-1317-0,BWL,Lycopene,1.09,LB,,,250 ml flasks,,24h,37°C,BW25113,,,"crtE, crtB, crtI (pACLYC)"
p124,10.1007.s10529-013-1317-0,BZL,Lycopene,2.52,LB,,,250 ml flasks,,24h,37°C,BW25113,Δzwf,,"crtE, crtB, crtI (pACLYC)"
p124,10.1007.s10529-013-1317-0,BWL-PB,Lycopene,1.52,LB,,,250 ml flasks,,,37°C,BW25113,,idi,"crtE, crtB, crtI (pACLYC), idi (pSE380-idi)"
p124,10.1007.s10529-013-1317-0,BWL-PC,Lycopene,4.29,LB,,,250 ml flasks,,,37°C,BW25113,,"idi, dxs","crtE, crtB, crtI (pACLYC), idi, dxs (pSE380-idi-dxs)"
p124,10.1007.s10529-013-1317-0,BWL-PD,Lycopene,5.39,LB,,,250 ml flasks,,,37°C,BW25113,,"idi, dxs, ispDF","crtE, crtB, crtI (pACLYC), idi, dxs, ispDF (pSE380-idi-dxs-ispDF)"
p124,10.1007.s10529-013-1317-0,BPL-PD,Lycopene,7.39,LB,,,250 ml flasks,,,37°C,BW25113,Δpgi,"idi, dxs, ispDF","crtE, crtB, crtI (pACLYC), idi, dxs, ispDF (pSE380-idi-dxs-ispDF)"
p124,10.1007.s10529-013-1317-0,BGL-PD,Lycopene,6.85,LB,,,250 ml flasks,,,37°C,BW25113,ΔgdhA,"idi, dxs, ispDF","crtE, crtB, crtI (pACLYC), idi, dxs, ispDF (pSE380-idi-dxs-ispDF)"
p124,10.1007.s10529-013-1317-0,BZL-PD,Lycopene,7.55,LB,,,250 ml flasks,,,37°C,BW25113,Δzwf,"idi, dxs, ispDF","crtE, crtB, crtI (pACLYC), idi, dxs, ispDF (pSE380-idi-dxs-ispDF)"
p126,10.1038.nbt.3095,TaxE1 + TaxS1,oxygenated taxanes,2 mg/L,bioreactor,glucose,40 g/L,fed-batch,7,72 h,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,,"ispDF, ts, ggpps (in TaxE1)","5αCYP, CPR (in TaxS1)"
p126,10.1038.nbt.3095,TaxE1 + TaxS1,oxygenated taxanes,4 mg/L,bioreactor,xylose,not specified,fed-batch,7,72 h,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,,"ispDF, ts, ggpps (in TaxE1)","5αCYP, CPR (in TaxS1)"
p126,10.1038.nbt.3095,TaxE1 + TaxS4,oxygenated taxanes,25 mg/L,bioreactor,xylose,not specified,fed-batch,7,90 h,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,,"ispDF, ts, ggpps (in TaxE1)","5αCYP, GPDp (in TaxS4)"
p126,10.1038.nbt.3095,TaxE4 + TaxS4,oxygenated taxanes,33 mg/L,bioreactor,xylose,not specified,fed-batch,7,120 h,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,atpFH,"ispDF, ts, ggpps, pta, ackA (in TaxE4)","5αCYP, GPDp (in TaxS4)"
p126,10.1038.nbt.3095,TaxE4 + TaxS6,monoacetylated dioxygenated taxane,1 mg/L,bioreactor,xylose,not specified,fed-batch (carbon-limited),7,not specified,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,atpFH,"ispDF, ts, ggpps, pta, ackA (in TaxE4)","5αCYP, TAT, 10βCYP (in TaxS6)"
p126,10.1038.nbt.3095,TaxE7 + TaxS8,ferruginol,18 mg/L,bioreactor,xylose,not specified,fed-batch,7,not specified,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,atpFH,"KSL, CPS (in TaxE7)","SmCYP, SmCPR (in TaxS8)"
p126,10.1038.nbt.3095,TaxE8 + TaxS9,nootkatol,30 mg/L,bioreactor,xylose,not specified,fed-batch,7,not specified,30°C,E. coli MG1655_ΔrecA_ΔendA_DE3,atpFH,VALC (in TaxE8),"HmCYP, AtCPR (in TaxS9)"
