paper number,paper_number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
P210,P2076,10.1016.j.ymben.2007.03.002,HC32,Saccharomyces cerevisiae,ethanol (ethanol),about 0.1 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,ADH1;TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC32,Saccharomyces cerevisiae,glycerol (glycerol),0.46 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,ADH1;TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC16,Saccharomyces cerevisiae,glycerol (glycerol),0.42 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC32,Saccharomyces cerevisiae,ethanol (ethanol),0.1 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,ADH1;TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC32,Saccharomyces cerevisiae,ethanol (ethanol),about 0.1 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,ADH1;TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC32,Saccharomyces cerevisiae,glycerol (glycerol),0.46 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,ADH1;TPI1,GPD1,
P210,P2076,10.1016.j.ymben.2007.03.002,HC16,Saccharomyces cerevisiae,glycerol (glycerol),0.42 g (g glucose) À1,SD medium containing 20 g l À1 glucose,glucose,20 g l À1,batch culture in a controlled bioreactor,5.0,not specified,30 1C,CEN.PK2,TPI1,GPD1,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P212,P2183,10.1016.j.ymben.2012.07.010,rox1,,bisabolene (bisabolene),400mg/L,SC-URA,Glucose & Galactose,"2% dextrose, 1.8% galactose",Not specified,5,Not specified,30°C,,rox1,,AgBIS (Abies grandis);ERG20 (Saccharomyces cerevisiae);HMG1 (Saccharomyces cerevisiae);tHMG1 (Sacccharomyces cerevisiae)
P212,P2183,10.1016.j.ymben.2012.07.010,JBEI4732,,bisabolene (bisabolene),540mg/L,SC-URA,Glucose,Not specified,Shake Flask,5,6 days,30°C,JBEI4726,yjl064w;ypl062w,AgBIS;ERG20;HMG1;tHMG1,AgBIS (Abies grandis)
P212,P2183,10.1016.j.ymben.2012.07.010,JBEI4732,,bisabolene (bisabolene),800mg/L,Batch Culture,Glucose,15g/L,Fed-batch bioreactor,5,6+ days,30°C,JBEI4726,yjl064w;ypl062w,AgBIS;ERG20;HMG1;tHMG1,AgBIS (Abies grandis)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P215,P147,10.1002.bit.25123,M3-2nd,budding yeast,"amorpha-4,11-diene (amorpha-4,11-diene)",64 mg/L,SD-LEU,galactose,2%,shake flask,5.0,5 days,30°C,BY4742::YB/I,,crtI;crtYB;erg10;erg13;thmg1,ADS;crtI (Xanthophyllomyces dendrorhous);crtYB (Xanthophyllomyces dendrorhous)
,,,,,,,,,,,,,,,,,
P216,P2242,10.1016.j.ymben.2014.01.005,HPY01,Saccharomyces cerevisiae,3-HP (3-hydroxypropionic acid),92.6mgl−1,defined minimal medium with 20gl−1 glucose,glucose,20gl−1,shake flask cultivation,not specified,72h,30°C,,,MCRCa,
,,,,,,,,,,,,,,,,,
P217,P3490,10.1093.nar.gks549,INV-XWT,yeast,ethanol (Ethanol),0.1 g/L/h,SC-Ura,xylose,2%,shake flask,,88 h,30°C,,,XDH;XKS;XR,XDH (Candida tropicalis);XKS (Pichia pastoris);XR (Candida shehatae);csXR (Candida shehatae);ctXDH (Candida tropicalis);ppXKS (Pichia pastoris)
P217,P3490,10.1093.nar.gks549,INV-XWT,yeast,ethanol (Ethanol),0.16 g/g xylose,YP medium + xylose,xylose,2%,shake flask,,,30°C,,,XDH;XKS;XR,XDH (Candida tropicalis);XKS (Pichia pastoris);XR (Candida shehatae);csXR (Candida shehatae);ctXDH (Candida tropicalis);ppXKS (Pichia pastoris)
P217,P3490,10.1093.nar.gks549,INV-X3,yeast,ethanol (Ethanol),0.25 g/g xylose,SC-Ura,xylose,2%,shake flask,,,30°C,,,XDH;XKS;XR,XDH (Candida tropicalis);XKS (Pichia pastoris);XR (Candida shehatae);csXR (Candida shehatae);ctXDH (Candida tropicalis);ppXKS (Pichia pastoris)
P217,P3490,10.1093.nar.gks549,CTY-X7,yeast,ethanol (Ethanol),0.26 g/g xylose,YP medium + xylose,xylose,2%,shake flask,,,30°C,,,XDH;XKS;XR,XDH (Candida tropicalis);XKS (Pichia pastoris);XR (Candida shehatae);csXR (Candida shehatae);ctXDH (Candida tropicalis);ppXKS (Pichia pastoris)
P217,P3490,10.1093.nar.gks549,INV-C3,yeast,ethanol (Ethanol),0.37 g/L/h,SC-Ura,cellobiose,,shake flask (250 mL),,,30°C,,,BGL;CDT,
P217,P3490,10.1093.nar.gks549,CTY-C59,yeast,ethanol (Ethanol),0.74 g/L/h,YP medium,cellobiose,,shake flask (250 mL),,,30°C,,,BGL;CDT,
,,,,,,,,,,,,,,,,,
P218,P3591,10.1186.1475-2859-11-155,IMX198,Saccharomyces cerevisiae,naringenin (naringenin),0.002 ± 0.000 (g·g-1),aerobic batch bioreactor with 20 g·l-1 glucose at pH 5.0,glucose,20 g·l-1,aerobic batch,5.0,38 hours,30°C,IMX197,ARO10;ARO3;PDC5;PDC6,4CL3;C4H;CHI1;CHS3;CPR1;PAL1;coC4H;coCHS3;coCPR1;cotal1,4CL3 (Arabidopsis thaliana);C4H (Arabidopsis thaliana);CHI1 (A. thaliana);CHS3 (A. thaliana);CPR1 (Arabidopsis thaliana);PAL1 (A. thaliana);PYK2 (S. cerevisiae);at4CL3 (Arabidopsis thaliana);atCHI1 (A. thaliana);atCHS3 (A. thaliana);atPAL1 (Arabidopsis thaliana);coC4H (Arabidopsis thaliana);coCHS3 (Arabidopsis thaliana);coCPR1 (Arabidopsis thaliana);cotal1 (Rhodobacter capsulatus);tal1 (Rhodobacter capsulatus)
P218,P3591,10.1186.1475-2859-11-155,IMX198,Saccharomyces cerevisiae,naringenin (naringenin),0.006 ± 0.000 (g·g-1),aerobic batch bioreactor with total glucose and ethanol consumption,glucose and ethanol,not specified,aerobic batch,5.0,not specified,30°C,IMX197,ARO10;ARO3;PDC5;PDC6,4CL3;C4H;CHI1;CHS3;CPR1;PAL1;coC4H;coCHS3;coCPR1;cotal1,4CL3 (Arabidopsis thaliana);C4H (Arabidopsis thaliana);CHI1 (A. thaliana);CHS3 (A. thaliana);CPR1 (Arabidopsis thaliana);PAL1 (A. thaliana);PYK2 (S. cerevisiae);at4CL3 (Arabidopsis thaliana);atCHI1 (A. thaliana);atCHS3 (A. thaliana);atPAL1 (Arabidopsis thaliana);coC4H (Arabidopsis thaliana);coCHS3 (Arabidopsis thaliana);coCPR1 (Arabidopsis thaliana);cotal1 (Rhodobacter capsulatus);tal1 (Rhodobacter capsulatus)
P218,P3591,10.1186.1475-2859-11-155,IMX183,Saccharomyces cerevisiae,phenylethanol (phenylethanol),ca. 20 fold higher than the improved naringenin concentration,shake flask cultures containing synthetic medium and 20 g·l-1 glucose,glucose,20 g·l-1,shake flask,not specified,not specified,30°C,CEN.PK2-1C,ARO3,4CL3;C4H;CHI1;CHS3;CPR1;PAL1;coC4H;coCPR1,4CL3 (A. thaliana);C4H (Arabidopsis thaliana);CHI1 (A. thaliana);CHS3 (A. thaliana);CPR1 (Arabidopsis thaliana);PAL1 (A. thaliana);PYK2;at4CL3 (Arabidopsis thaliana);atCHI1 (A. thaliana);atCHS3 (A. thaliana);atPAL1 (A. thaliana);coC4H (Arabidopsis thaliana);coCPR1 (Arabidopsis thaliana);tal1 (R. capsulatus)
,,,,,,,,,,,,,,,,,
P219,P2085,10.1016.j.ymben.2007.12.002,CMB.JHV.pho13b,Saccharomyces cerevisiae,acetate (Acetic acid),0.015Cmmol/Cmmol (yield),aerobic glucose cultivations,glucose,20gL−1,"well-controlled baffled 5-L bioreactors, batch",5.0,,30°C,,PHO13,,
P219,P2085,10.1016.j.ymben.2007.12.002,CMB.JHV.pho13b,Saccharomyces cerevisiae,acetate (Acetic acid),0.32CmmolgDCW−1h−1 (specific rate),aerobic glucose cultivations,glucose,20gL−1,"well-controlled baffled 5-L bioreactors, batch",5.0,,30°C,,PHO13,,
,,,,,,,,,,,,,,,,,
P220,P3584,10.1186.1475-2859-11-117,SCIGS28,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0013 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,CEN.PK113-5D,,SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS28,Saccharomyces cerevisiae,α-santalene (α-santalene),0.086 mg (g biomass)-1 h-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,CEN.PK113-5D,,SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS24,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0052 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,SCIGS22;SCIGS28,GDH1;URA3,ERG20;GDH2;SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS25,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0069 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,SCIGS23;SCIGS28,GDH1;URA3,ERG20;GDH2;SanSyn opt;tHMG1;upc2-1,SanSyn (not specified);upc2-1 (S. cerevisiae)
P220,P3584,10.1186.1475-2859-11-117,SCIGS28,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0013 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,CEN.PK113-5D,,SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS28,Saccharomyces cerevisiae,α-santalene (α-santalene),0.086 mg (g biomass)-1 h-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,CEN.PK113-5D,,SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS24,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0052 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,SCIGS22;SCIGS28,GDH1;URA3,ERG20;GDH2;SanSyn opt;tHMG1,SanSyn (not specified)
P220,P3584,10.1186.1475-2859-11-117,SCIGS25,Saccharomyces cerevisiae,α-santalene (α-santalene),0.0069 Cmmol (Cmmol glucose)-1,Double phase,Glucose,10 g/l,Continuous chemostat,5.0,Not specified,30°C,SCIGS23;SCIGS28,GDH1;URA3,ERG20;GDH2;SanSyn opt;tHMG1;upc2-1,SanSyn (not specified);upc2-1 (S. cerevisiae)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P224,P2280,10.1016.j.ymben.2014.10.008,AM205,Saccharomyces cerevisiae,abietadiene (abietadiene),143mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,AM201;AM202,ERG20,ERG20;ERG20(F96C);crtI,ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM205,Saccharomyces cerevisiae,abietadiene (abietadiene),68.3mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,AM201;AM202,ERG20,ERG20;ERG20(F96C);crtI,ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,abietadiene (abietadiene),98.5mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,cis-abienol (cis-abienol),0.04mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,cis-abienol (cis-abienol),12.8mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),0.2mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),1mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),2.1mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),42.7mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),5 times more sclareol than the same strain expressing CcCLS together with Erg20p or Bts1p,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),a 5-fold improvement to ~1mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
P224,P2280,10.1016.j.ymben.2014.10.008,AM94,Saccharomyces cerevisiae,sclareol (sclareol),~1mg/L,glucose-based selective medium,glucose,2% (w/v),"shake flask, batch mode",30°C,5 days,30°C,,ERG9;HMG2,CcCLS;SsLPPS1;SsSCLS;crtI,CcCLS (Cistus creticus);CcGGPPS (Cistus creticus);ERG20
,,,,,,,,,,,,,,,,,
P225,P3204,10.1038.nbt.2509,JAy38,Saccharomyces cerevisiae,2-methyl-1-butanol (2-methyl-1-butanol),19 ± 8 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5,
P225,P3204,10.1038.nbt.2509,JAy38,Saccharomyces cerevisiae,isobutanol (isobutanol),136 mg l−1 ± 23 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5,
P225,P3204,10.1038.nbt.2509,JAy38,Saccharomyces cerevisiae,isobutanol (isobutanol),157 mg l−1 ± 12 mg l−1,Minimal medium,Glucose,15% or 20%,Shaken in a 50-ml conical tube at 350 r.p.m. for 4 d,Not specified,4 d,30 °C,,,ILV;ILV2;ILV3;ILV5,
P225,P3204,10.1038.nbt.2509,JAy38,Saccharomyces cerevisiae,isopentanol (isopentanol),28 ± 5 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5,
P225,P3204,10.1038.nbt.2509,JAy51,Saccharomyces cerevisiae,2-methyl-1-butanol (2-methyl-1-butanol),57 mg l−1 ± 9 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5;LlAdhARE1;LlKivd,LlAdhARE1 (Lactococcus lactis);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy51,Saccharomyces cerevisiae,isobutanol (isobutanol),244 mg l−1 ± 13 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5;LlAdhARE1;LlKivd,LlAdhARE1 (Lactococcus lactis);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy51,Saccharomyces cerevisiae,isopentanol (isopentanol),57 mg l−1 ± 9 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5;LlAdhARE1;LlKivd,LlAdhARE1 (Lactococcus lactis);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy174,Saccharomyces cerevisiae,2-methyl-1-butanol (2-methyl-1-butanol),8 mg l−1 ± 4 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;Sc-aro10,ADH;ADH7 (S. cerevisiae);Sc-aro10 (S. cerevisiae)
P225,P3204,10.1038.nbt.2509,JAy174,Saccharomyces cerevisiae,isobutanol (isobutanol),384 mg l−1 ± 15 mg l−1,Complete medium,Glucose,10%,Shaken in a 50-ml conical tube at 350 r.p.m. for 4 d,Not specified,4 d,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;Sc-aro10,ADH;ADH7 (S. cerevisiae);Sc-aro10 (S. cerevisiae)
P225,P3204,10.1038.nbt.2509,JAy166,Saccharomyces cerevisiae,isobutanol (isobutanol),151 mg l−1 ± 34 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;Sc-kid1,ADH (Escherichia coli);ADH7 (S. cerevisiae);Sc-kid1 (S. cerevisiae)
P225,P3204,10.1038.nbt.2509,JAy153,Saccharomyces cerevisiae,isobutanol (isobutanol),279 mg l−1 ± 16 mg l−1,Minimal medium,Glucose,20%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;LlKivd,ADH (S. cerevisiae);ADH7 (S. cerevisiae);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy153,Saccharomyces cerevisiae,isobutanol (isobutanol),486 mg l−1 ± 36 mg l−1,Minimal medium,Glucose,20%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;LlKivd,ADH (S. cerevisiae);ADH7 (S. cerevisiae);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy153,Saccharomyces cerevisiae,isopentanol (isopentanol),130 mg l−1 ± 21 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ADH;ADH7;ILV;ILV2;ILV3;ILV5;LlKivd,ADH (S. cerevisiae);ADH7 (S. cerevisiae);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy2,Saccharomyces cerevisiae,isobutanol (isobutanol),28 mg l−1 ± 1 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,,
P225,P3204,10.1038.nbt.2509,JAy2,Saccharomyces cerevisiae,isobutanol (isobutanol),28 mg l−1 ± 2 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,,
P225,P3204,10.1038.nbt.2509,JAy2,Saccharomyces cerevisiae,isobutanol (isobutanol),67 mg l−1 ± 10 mg l−1,Complete medium,Glucose,10%,Shaken in a 50-ml conical tube at 350 r.p.m. for 4 d,Not specified,4 d,30 °C,,,,
P225,P3204,10.1038.nbt.2509,JAy161,Saccharomyces cerevisiae,isobutanol (isobutanol),491 mg l−1 ± 29 mg l−1,Minimal medium,Glucose,20%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,EcFucO;ILV;ILV2;ILV3;ILV5;LlKivd,EcFucO (Escherichia coli);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy161,Saccharomyces cerevisiae,isobutanol (isobutanol),635 mg l−1 ± 23 mg l−1,Complete medium,Glucose,10%,Shaken in a 50-ml conical tube at 350 r.p.m. for 4 d,Not specified,4 d,30 °C,,,EcFucO;ILV;ILV2;ILV3;ILV5;LlKivd,EcFucO (Escherichia coli);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy161,Saccharomyces cerevisiae,isopentanol (isopentanol),113 mg l−1 ± 5 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,EcFucO;ILV;ILV2;ILV3;ILV5;LlKivd,EcFucO (Escherichia coli);LlKivd (Lactococcus lactis)
P225,P3204,10.1038.nbt.2509,JAy49,Saccharomyces cerevisiae,isopentanol (isopentanol),65 mg l−1 ± 17 mg l−1,Minimal medium,Glucose,2%,Shaken in a 50-ml conical tube at 350 r.p.m. for 24 h,Not specified,24 h,30 °C,,,ILV;ILV2;ILV3;ILV5;LlKivd,LlKivd (Lactococcus lactis)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37+pDY48,Saccharomyces cerevisiae,4 (beauvericin C),14.7±0.5mg/l,SC-Ura-Trp dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h,30°C,S. cerevisiae BJ5464-NpgA,kivr,bbBeas;bbBsls,bbBeas (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37+pDY48,Saccharomyces cerevisiae,4 (beauvericin C),4.2±0.4mg/l,SC-Ura-Trp dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h,30°C,S. cerevisiae BJ5464-NpgA,kivr,bbBeas;bbBsls,bbBeas (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY42,Saccharomyces cerevisiae,bassianolide (bassianolide),18.2±0.6mg/l,SC-Ura dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h,30°C,S. cerevisiae BJ5464-NpgA,,bbBsls,bbBsls (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,B. bassiana ATCC 7159,Saccharomyces cerevisiae,beauvericin (beauvericin),22.3±1.5mg/l,PDB,Dextrose,Not specified,"Flask, rotary shaker",30°C,4 days,250rpm,,,,
P228,P2212,10.1016.j.ymben.2013.04.001,B. bassiana ATCC 7159,Saccharomyces cerevisiae,beauvericin A (beauvericin A),22.3±1.5mg/l,PDB,Dextrose,Not specified,"Flask, rotary shaker",30°C,4 days,250rpm,,,,
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37,Saccharomyces cerevisiae,beauvericin (beauvericin),29.7±1.9mg/l,SC-Ura dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h + YP med,30°C,S. cerevisiae BJ5464-NpgA,,bbBeas,bbBeas (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37,Saccharomyces cerevisiae,beauvericin (beauvericin),36.1±3.4mg/l,SC-Ura dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h + YP med,30°C,S. cerevisiae BJ5464-NpgA,,bbBeas,bbBeas (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37,Saccharomyces cerevisiae,beauvericin A (beauvericin A),29.7±1.9mg/l,SC-Ura dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h + YP med,30°C,S. cerevisiae BJ5464-NpgA,,bbBeas,bbBeas (B. bassiana)
P228,P2212,10.1016.j.ymben.2013.04.001,S. cerevisiae BJ5464-NpgA/pDY37,Saccharomyces cerevisiae,beauvericin A (beauvericin A),36.1±3.4mg/l,SC-Ura dropout,Glucose,20g/l,"Flask, shake flask",6.7,72h + YP med,30°C,S. cerevisiae BJ5464-NpgA,,bbBeas,bbBeas (B. bassiana)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P230,P2113,10.1016.j.ymben.2009.07.005,H. polymorpha gdh expressing strain,Saccharomyces cerevisiae,DHA (Dihydroxyacetone),100 mg/l,Verduyn (Trp-),Glucose,2%,Shake flask,6.0,24 h,30°C,,,gdh,
P230,P2113,10.1016.j.ymben.2009.07.005,dak1D dak2D,Saccharomyces cerevisiae,DHA (Dihydroxyacetone),nearly 700 mg/l,Verduyn (Trp-) with osmotic stress,Glucose,2%,Shake flask,6.0,25 h,30°C,,DAK1;DAK2,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P233,P2074,10.1016.j.ymben.2006.10.005,PDB108,Saccharomyces cerevisiae,amorphadiene (amorphadiene),120mg/L,SD medium,Galactose,2%,Shaken flask,7.5,7-8 days,30°C,EPY224,,ADS;ALD6;ERG20;FPP synthase;HMG-CoA reductase;acs;tHMGR;upc2-1,acs (Salmonella enterica)
P233,P2074,10.1016.j.ymben.2006.10.005,PDB108,Saccharomyces cerevisiae,mevalonate (mevalonate),about 120mg/L,SD medium,Galactose,2%,Shaken flask,7.5,7-8 days,30°C,EPY224,,ADS;ALD6;ERG20;FPP synthase;HMG-CoA reductase;acs;tHMGR;upc2-1,acs (Salmonella enterica)
,,,,,,,,,,,,,,,,,
