doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1002.bit.25198,"['farnesene', 'farnesene (farnesene)']","['1.1 g/L', '130 mg/L', '731 mg/L']",['2x TY'],['glycerol'],[''],['30 °C'],[''],['500-mL shake flask'],"['3-hydroxy-3-methylglutaryl-CoA reductase (thmg1)', '3-hydroxy-3-methylglutaryl-CoA synthase (erg13 or hmgs)', 'AFS', 'ALF', 'AtoB', 'ERG12', 'ERG13', 'ERG8', 'Idi', 'IspA', 'MVD1', 'a-farnesene synthase', 'acetoacetyl-CoA thiolase (atoB)', 'afs', 'alf', 'erg13', 'erg8', 'farnesyl pyrophosphate synthase (ispA)', 'idi', 'ispA', 'mevalonate kinase (erg12)', 'mevalonate pyrophosphate decarboxylase (mvd1, also known as erg19)', 'phosphomevalonate kinase (erg8)', 'tHMG1']"
10.1002.bit.25239,"['fatty acids', 'fatty acids (fatty acids)', 'free fatty acids', 'free fatty acids (free fatty acids)']","['77 mg/L', '140 mg/L', '81 mg/L', '66 mg/L', '106 mg/L', '48 mg/L', '115 mg/L', '124 mg/L', '120 mg/L']","['SC media', 'SC-URA']",['glucose'],"['6.5', 'N/A']","['30 C', 'N/A']","['200 rpm', 'N/A']","['flask culture', 'shake-flask']","['ACC1', 'ACS', 'ADH1', 'ADH2', 'ALD', 'Cinnamomum camphorum TE', 'EutE', 'FAA1', 'FAA4', 'PFL', 'POX1', 'PTE1', ""PTE1'"", ""TesA'"", 'adhE', 'eutE']"
10.1002.bit.25488,"['L-lactic acid', 'L-lactic acid (L-lactic acid)']","['27.6 g/L', '25.6 g/L', '35.8 g/L', '37.8 g/L', '24.2 g/L', '117 g/L', '36.4 g/L', '35 g/L']","['YP medium (4% glucose)', 'modified YP medium', 'synthetic complex medium']",['glucose'],"['3.5', 'N/A']",['30°C'],"['80 rpm', 'air flow rate 0.1 L/min, < 5% DO']","['2-L jar fermentors, fed-batch fermentation', '250 mL flask, overnight then transferred to YP medium (8% glucose)', '250 mL flask, seed medium, overnight then fermented in same medium']","['CCW12', 'LDH', 'PDC1', 'PGK1', 'TEF1', 'cyb2', 'gpd1', 'ldh', 'nde1', 'nde2', 'pdc1', 'yEGFP']"
10.1002.bit.25683,"['farnesene', 'farnesene (farnesene)', 'santalene', 'santalene (santalene)']","['4 mg/L', '6 mg/L', '170 mg/L', '4.5 mg/L', '0.006 g/gDCW', '120 mg/L', '163 mg/L', '160 mg/L', '3.0 mg/L', '3.5 mg/L']","['', 'minimal medium']",['glucose'],['5'],['30 C'],"['', '>30%']","['bioreactors, fed-batch', 'shake flasks']","['ERG20', 'ERG9', 'GDH2', 'a-farnesene synthase', 'b-farnesene synthase', 'dpp1', 'farnesene synthases', 'gdh1', 'lpp1', 'santalene synthase', 'tHMG1']"
10.1002.bit.25844,"['a-hydroxyglutarate', 'a-hydroxyglutarate (a-hydroxyglutarate)', 'hydroxypyruvate', 'serine', 'serine (serine)']","['0.33 g/g', '0.3-0.4 g/L', '6.69 g/L', '0.49 g/L', '0.26 g/g', '1.94 g/L/CDW', '6 g/L', '12.6 g/L', '0.43 g/g', '0.53 g/L', '0.73 g/L/CDW', '10.1 g/L', '0.89 g/L', '0.44 g/g', '8.3 g/L', '2.73 g/L/CDW', '4 g/L']",['M9'],['glucose'],"['', '7.0']",['37 °C'],"['', 'aerobic']","['batch', 'fed-batch']","['DglyA', 'DsdaA', 'DsdaB', 'DtdcG', 'EamA', 'SerA', 'ThrE', 'YeaB', 'eamA', 'glyA', 'ompX', 'opgE', 'rhtA', 'rybA', 'sdaA', 'sdaB', 'serA', 'serAmut', 'serB', 'serC', 'sstT', 'tdcG']"
10.1016.j.bbrc.2009.12.013,"['ethanol', 'ethanol (ethanol)', 'hydrogen', 'hydrogen (hydrogen)']","['0.87 μmol/mg protein', '36.8 μmol/mg protein', '2.1 mg/mg protein', '0.36 mg/mg protein', '0.41 mg/mg protein', '1.6 μmol/mg protein', '21 μmol/mg protein']",['glycerol medium'],['glycerol'],[''],['37°C'],['anaerobic'],['sealed vial'],"['ackA', 'dhaMKL', 'eno', 'fbp', 'fnr', 'focA', 'frdC', 'gatABCDRYZ', 'gatZ', 'gldA', 'glp T', 'glpA', 'glpABC', 'glpB', 'glpD', 'glpF', 'glpK', 'glpT', 'not mentioned', 'rfaBIJKPSYZ']"
10.1016.j.ymben.2006.10.005,"['acetate', 'acetate (acetate)', 'amorphadiene', 'amorphadiene (amorphadiene)']","['0.6 mM', '54% of PDB101', '7.6 mM', '44% of PDB105']",['SD'],['galactose'],[''],['30°C'],['aerobic'],['Erlenmeyer flask'],"['ACS', 'ACS1', 'ADS', 'ALD6', 'ALDEB', 'ERG20', 'ERG9', 'FPP synthase', 'HMG-CoA reductase', 'acs', 'tHMGR', 'upc2-1']"
10.1016.j.ymben.2009.01.002,"['H2', 'H2 (Hydrogen)', 'hydrogen', 'hydrogen (hydrogen)', 'lactate', 'lactate (lactate)']","['2.25 mol H2·(mol glucose consumed)−1', '3.2 mmolH2h−1g−1 (dry cell weight)', '1.6 mol H2·(mol glucose consumed)−1', '4 mol H2·(mol glucose consumed)−1', '0.8 mmolH2h−1g−1 (dry cell weight)', '1 mol H2·(mol glucose consumed)−1', '0.6 mmolH2h−1g−1 (dry cell weight)', '0.10 mol H2·(mol glucose consumed)−1', '4 mmolH2h−1 (dry cell weight)', '8 mol H2·(mol glucose consumed)−1', '0.12 mol H2·(mol glucose consumed)−1', '4-fold decrease compared to control (BL21(DE3) with no plasmids, exact value not provided)', 'mol H2·(mol glucose consumed)−1', '9.6 mmolH2h−1g−1 (dry cell weight)', '10.8 mol H2·(mol glucose consumed)−1', '0.13 mol H2·(mol glucose consumed)−1', '0.45 mol H2·(mol glucose consumed)−1']",['MOPS'],['glucose'],['7.0'],['30°C'],['anoxic'],['Serum bottle'],"['AmyE', 'CpFdx', 'Fdx', 'FldA', 'FldB', 'HydA', 'HydE', 'HydF', 'HydG', 'YdbK', 'amyE', 'fdx', 'fldA', 'fldB', 'iscR', 'ydbK', 'α-amylase']"
10.1016.j.ymben.2009.02.002,"['PDC', 'PDC (2-pyrone-4,6-dicarboxylic acid)']","['137 mg/l', '189 mg/l', '5.2% (mol/mol)', '6.7% (mol/mol)', '121 mg/l', '16.9% (mol/mol)', '106 mg/l', '173 mg/l', '171 mg/l', '2.3% (mol/mol)', '9.24% (mol/mol)', '13% (mol/mol)', '46 mg/l', '5.9% (mol/mol)']","['mineral medium', 'minimal medium']","['glucose', 'glucose + Phe', 'glucose + Tyr']",[''],"['', '37°C']",[''],"['', '50-ml culture', 'shaken flask']","['LigABC', 'T7 RNA polymerase', 'aroB', 'aroF', 'aroFfbr', 'ligA', 'ligABC', 'ligB', 'ligC', 'pheA', 'pob', 'pobA', 'qutC', 'tyrA', 'ubiC']"
10.1016.j.ymben.2009.07.002,"['pyruvate', 'pyruvate (pyruvate)', 'succinate', 'succinate (succinate)']","['0.26 g/L', '1.99 g/L', '2.6 g/L', '0.24 g/L']","['LB', 'M9']",['glucose'],['Not specified'],['37°C'],['anaerobic'],['Not specified'],"['MarA', 'argA', 'grxB', 'hyfF', 'ldhA', 'lpdA', 'moaE', 'nuoC', 'pfkB', 'pflB', 'ygfT', 'yhcAD']"
10.1016.j.ymben.2010.11.002,"['26.10 IgG', '26.10 IgG (26.10 IgG)', '9c8-IgG', '9c8-IgG (9c8-IgG)', 'IgG antibodies', 'IgG antibodies (Immunoglobulin G antibodies)', 'M18.1-IgG', 'fully assembled IgG', 'fully assembled IgG (fully assembled Immunoglobulin G)']","['4 mg/l', '0.4-4 g/L', '4 mg/L', '0.1-1.3 mg/L', '1.3 mg/l', '0.1–1.3 mg/l', '0.1 mg/l']",['NU'],"['Glucose, Glycerol']",[''],['25°C'],[''],['Shake flask'],"['BiP', 'Cyclophilin B', 'DnaJ', 'DnaK', 'DsbA', 'DsbC', 'FkpA', 'FkpA-DsbA chimera', 'GroEL', 'GroES', 'HSPA5', 'IgG', 'SecB', 'SecE', 'SecY', 'Skp', 'dnaK/dnaJ', 'dsbA', 'dsbC', 'fkA', 'fkA-dsbA', 'groEL/groES', 'ppiB', 'secB', 'secY/secE', 'tig', 'trigger factor']"
10.1016.j.ymben.2011.09.006,"['biomass', 'biomass (biomass)', 'ethanol', 'ethanol (ethanol)', 'lactate', 'lactate (lactate)']","['23 mM', 'about 14–31% of those for the ubiCA+ strains', '4.2 mM', '12.5 mM']",['LB'],"['glucose', 'glycerol']",[''],['37°C'],['aerobic'],['shake flask'],"['adh', 'adhE*', 'ldhA', 'pdc', 'ubiCA']"
10.1016.j.ymben.2012.07.002,"['hexanoic acid', 'hexanoic acid (hexanoic acid)', 'n-hexanol', 'n-hexanol (n-hexanol)']","['91 mg/L', '280 mg/L', '469 mg/L']","['LB', 'Terrific Broth']",['glucose'],[''],['30°C'],['Anaerobic'],['10mL BD Vacutainer'],"['A to B', 'AdhE2', 'AtoB', 'BktB', 'Crt', 'Egl.Ter', 'Hbd', 'PaaH1', 'Tde.Ter', 'Ter', 'adhE', 'adhE2', 'crt', 'crt1', 'frdBC', 'hbd', 'ldhA', 'mBAC', 'mBACH', 'paaH1']"
10.1016.j.ymben.2012.07.010,"['bisabolene', 'bisabolene (bisabolene)', 'mevalonate']","['5.2 g/L', '450 mg/L', '3.2 g/L', '400 mg/L', '540 mg/L', '800 mg/L', '35 mg/L', '200 mg/L']","['Initial batch medium', 'SC-Leu agar medium']","['galactose', 'glucose']",['5'],['30°C'],"['0.7 L/min', 'Not specified']","['Bioreactor (extended culture)', 'Bioreactor (glucose-limited, fed-batch)', 'Test tubes']","['AgBIS', 'BTS1', 'ERG20', 'ERG9', 'HMG1', 'ROX1', 'YJL064W', 'YPL062W', 'arp6', 'bisabolene synthase', 'crtE', 'crtI', 'crtYB', 'erg24', 'gal80', 'prb1', 'rox1', 'ser33', 'tHMG1', 'ydr215c', 'yjl064w', 'ypl062w', 'ypl064w']"
10.1016.j.ymben.2012.08.001,"['acetate', 'acetone', 'acetone (acetone)']","['4.4 g/l', '1.5 g/l', '4.34 g/l', '3.6 g/l', '1.138 g/l', '1.298 g/l', '4.938 g/l', '7.1 g/l', '2.8 g/l']",['LB'],['glucose'],"['', '>5', '~4.7']",['37°C'],['180rpm'],"['100-ml batch culture', '100-ml fed-batch culture', '5-ml cultures']","['AACS', 'TEIIsrf', 'YbgC', 'adc', 'ctfAB', 'teIIsrf', 'thlA', 'ybgC']"
10.1016.j.ymben.2012.08.002,"['dopamine', 'dopamine (dopamine)', 'hydroxytyrosol', 'hydroxytyrosol (hydroxytyrosol)']","['0.08 mM', '0.74 mM', '70%', '0.69 mM', '0.03 mM', '0.19 mM']",['M9Y'],"['dopamine', 'glucose', 'l-DOPA', 'l-tyrosine']",[''],['30°C'],[''],"['Shake flask, batch culture']","['ADHs', 'DDC', 'DHPR', 'FolE', 'FolM', 'FolX', 'MAO', 'PCD', 'PTPS', 'SR', 'TH', 'TYO', 'Tyrosine hydroxylase', 'feaB', 'folM', 'folX']"
10.1016.j.ymben.2012.08.006,"['acetate', 'gluconate', 'gluconate (gluconate)']","['0.83 mol/mol Glu', '0.24 g/l', '0.14 mol/mol Glu', '0.5 g/l', '0.70 mol/mol Glu', '6.14 g/l', '0.08 mol/mol Glu', '0.41 g/l', '8.04 g/l']",['M9'],['glucose'],[''],['37°C'],[''],['Shake flask'],"['Gdh', 'Glk', 'glk']"
10.1016.j.ymben.2012.09.002,"['GlcNAc', 'GlcNAc (N-acetylglucosamine)', 'ManNAc', 'ManNAc (N-Acetylmannosamine)', 'NeuAc', 'NeuAc (N-acetylneuraminic acid)', 'acetate', 'acetate (acetate)', 'lactate', 'pyruvate', 'pyruvate (pyruvate)']","['33.21 g/l', '15.51 g/l', '1.55 g/l', '1.36 g/l', '4.81 g/l', '2.82 g/l', '0.30 g/l', '9.7 g/l', '0.19 g/l', '0.64 g/l', '16 g/l', '13.07 g/l', '6.48 g/l', '0.79 g/l', '7.85 g/l', '0.26 g/l', '0.12 g/l', '3.49 g/l', '1.62 g/l']","['5-l fermentor', 'modified TB medium', 'shake flask']",['glucose'],"['', '7.0']","['', '37°C']",[''],"['', 'fed-batch fermentation', 'shake flask cultivation']","['GNA1', 'ackA', 'gapA', 'glmS', 'glmSM', 'glmSMU', 'ldhA', 'nagA', 'nagB', 'nanA', 'nanE', 'nanK', 'nanT', 'poxB', 'rffE', 'slr1975']"
10.1016.j.ymben.2012.11.008,"['isobutanol', 'isobutanol (isobutanol)']","['48 mM', '3.0 mM', '1.09 mol/mol', '0.92 mol/mol', '3.7 mM', '0.13 mol/mol', '0.34 mol/mol', '25 mM', '0.04 mol/mol', '2.6 mM', '0.52 mol/mol', '0.66 mol/mol', '43 mM', '12 mM', '45 mM', '0.07 mol/mol', '2.5 mM', '4.9 mM', '0.41 mol/mol', '65 mM', '0.23 mol/mol', '35 mM', '63 mM', '0.2 mol/mol', '4.8 mM', '0.62 mol/mol', '26 mM', '17 mM', '114 mM', '0.18 mol/mol', '0.51 mol/mol', '0.22 mol/mol', '146 mM', '75 mM']","['NBS', 'NBS medium', 'NBS medium, two-stage process', 'rich', 'rich medium']",['glucose'],[''],"['', '37°C']","['aerobic', 'anaerobic']","['', '100mL screw cap bottle', '100mL screw cap bottles, batch culture', '250mL flask', '250mL flask, batch culture', '250mL flask, batch culture, rich medium', 'flasks', 'screw cap bottles']","['adhA', 'adhE', 'alsS', 'ilvC', 'ilvD', 'kivD', 'kivD-ilvD', 'pck', 'pck*', 'pntAB', 'tdcDE', 'yfjB']"
10.1007.s00253-006-0535-y,"['acetate', 'acetate (acetate)', 'succinic acid', 'succinic acid (succinic acid)']","['<0.2 mol/mol', '1.714 mol succinate/mol glucose', '1.6 mol succinate/mol glucose', '1.29 mol succinate/mol glucose']",['LB'],['glucose'],[''],['37°C'],['CO2'],['sealed serum tubes'],"['iclR', 'ptsG', 'pyc']"
10.1007.s00253-012-4298-3,"['ethanol', 'ethanol (ethanol)', 'xylitol', 'xylitol (xylitol)']","['0.33 ± 0.02 g/g xylose consumed', '0.20 ± 0.003 g g−1 xylose consumed', '50 g/l', '0.19 ± 0.01 g g−1 xylose consumed', '0.39 ± 0.003 g/g xylose consumed', '0.31 ± 0.01 g/g xylose consumed', '0.28 ± 0.02 g g−1 xylose consumed', '0.38 ± 0.01 g/g xylose consumed']",['YPX'],['xylose'],[''],['30 °C'],['semi-anaerobic'],['batch fermentation'],"['MAE1', 'MDH2', 'Mae1p', 'Mdh2p', 'PYC2', 'Pyc2p', 'XDH', 'XK', 'XR']"
10.1007.s10529-013-1317-0,"['lycopene', 'lycopene (lycopene)']","['9.98 mg/g DCW', '45 mg/g DCW', '7.55 mg/g DCW', '4.29 mg/g DCW', '6.85 mg/g DCW', '2.52 mg/g DCW', '7.39 mg/g DCW', '1.09 mg/g DCW', '1.52 mg/g DCW', '5.39 mg/g DCW']",['LB'],[''],[''],['37 °C'],['220 rpm'],['Flask'],"['crtB', 'crtE', 'crtI', 'dxs', 'gdhA', 'gps', 'idi', 'ispD', 'ispDF', 'ispF', 'pgi', 'zwf']"
10.1038.nbt.3095,"['acetate', 'acetate (acetate)', 'ferruginol', 'ferruginol (ferruginol)', 'nootkatol', 'nootkatol (nootkatol)', 'nootkatone', 'nootkatone (nootkatone)', 'oxygenated taxanes', 'oxygenated taxanes (oxygenated taxanes)', 'taxadien-5α-acetate-10β-ol', 'taxadien-5α-acetate-10β-ol (taxadien-5α-acetate-10β-ol)']","['1 mg/L', '50 g/L', '0.8 mg/L', '33 mg/L (converted from mg/L to g/L => 0.033 g/L)', '16 mg/L', '4 mg/L', '30 mg/L', '0.6 mg/L', '2.3 ± 0.2 g/L', '2 mg/L', '25 mg/L (converted from mg/L to g/L => 0.025 g/L)', '5.0 ± 0.1 g/L', '18 mg/L']","['Defined', 'LB']","['Glucose', 'Xylose']",['7.0'],['30 °C'],['30%'],['Bioreactor'],"['10βCYP', '10βCYP-CPR', '10βCYP26', '5αCYP', '5αCYP-CPR', 'ACS', 'AtCPR', 'CPR', 'CPS', 'HmCYP', 'HmCYP-AtCPR', 'KSL', 'PpADH3C', 'PpADHC3', 'SmCPR', 'SmCYP', 'SmCYP-SmCPR', 'TAT', 'TAT25', 'TaxE4', 'TaxE7', 'TaxE8', 'TaxS4', 'TaxS6', 'TaxS8', 'TaxS9', 'ackA', 'atpFH', 'atpFH24', 'ispA', 'pta', 'valC']"
10.1038.ncomms2425,"['fatty acid', 'fatty acid (fatty acid)']","['2.04 g/l', '1.42 g/l', '8.6 g/l']",['MK'],['glucose'],['6.8'],"['34 °C', '37 °C']","['', 'controlled']","['20-l Bioreactor, fed-batch', 'flask, batch']","['BnFatA', 'BnfatA', 'CnFatB2', 'CnfatB2', 'EGTE', 'accA', 'accABCD', 'accB', 'accC', 'accD', 'aceEF', 'fabA', 'fabD', 'fabG', 'fabH', 'fabI', 'fadD', 'gapA', 'lpdA', 'pgk', 'tesA′']"
10.1007.s10295-005-0206-5,"['ethanol', 'ethanol (ethanol)']","['62% higher', '75% higher']",['LB'],['Sorbitol'],['7.4'],['37°C'],['Anaerobic'],['45 mL capped tubes'],"['PEPC', 'ackA', 'ldhA', 'pta']"
10.1007.s10295-011-0973-0,"['DHS', 'DHS (dehydroshikimic)', 'SHIK', 'SHIK (shikimic acid)', 'acetic acid', 'l-DOPA', 'l-DOPA (l-3,4-dihydroxyphenylalanine)', 'l-Tyr', 'l-Tyr (l-tyrosine)']","['1.51 g/l', '0.361 g/g', '0.042 g/g', '0.118 g/g', '0.05 g/l', '0.032 g/g', '0.134 g/l', '0.035 g/g', '0.054 g/g', '1.4 g/l', '0.32 g/l', '0.313 g/l', '340 ± 11 mg/l']","['LB', 'M9']",['Glucose'],"['', '6.0']",['37°C'],"['', '≥ 20%']","['Fermentor (Batch)', 'Shake flask', 'Shake flask (Resting)']","['aroG fbr', 'galP', 'hpaB', 'hpaBC', 'hpaC', 'lacUV5', 'pheA', 'pheA CM', 'tktA', 'trc', 'tyrC', 'tyrR']"
10.1007.s10295-011-0978-8,"['ANTA', 'ANTA (anthranilate)', 'L-Phe', 'L-Phe (L-phenylalanine)', 'L-Trp', 'L-Trp (L-tryptophan)', 'L-Tyr', 'L-Tyr (L-tyrosine)']","['0.87 g/l', '0.9 g/l', '0.01 g/g', '2.3 g/l', '42 g/l', '5.1 g/l', '2.8 g/l', '0.58 g/l', '10.8 g/l', '3.6 g/l', '54.6 g/l', '7.8 g/l', '13.3 g/l', '5.3 g/l', '0.23 g/l', '5.4 g/l', '0.05 g/l', '0.27 g/l', '0.41 g/l', '1.4 g/l', '1.8 g/l']","['LB/fermentation', 'fermentor medium']","['Glucose', 'glucose']",['6.8'],"['33°C then 38°C', '33°C up to 38°C']",['30%'],"['3-l fermentor, fed-batch']","['AroF', 'AroG', 'AroH', 'DAHP synthase', 'PheA', 'TnaA', 'TrpR', 'TyrA', 'aroF', 'aroF fbr', 'aroF wt', 'pheA', 'tnaA', 'trpE', 'trpE fbr D', 'trpED', 'trpR', 'tyrA']"
10.1007.s10295-012-1151-8,"['butanol', 'butanol (butanol)', 'ethanol', 'ethanol (ethanol)']","['1,637 mg/l', '2,072 mg/l', '1.254 g/l']",['minimal media'],['glucose'],[''],['30 °C'],['anaerobic'],['serum bottle'],"['AdheI', 'AdheII', 'Bcd', 'BdhAB', 'Crt', 'Hbd', 'aceEF-lpd', 'ackA', 'adhE', 'adhP', 'adheII', 'bcd', 'crt', 'etfA', 'etfAB', 'etfB', 'frdABCD', 'hbd', 'ldhA', 'mhpF', 'pflB', 'thiL']"
10.1093.nar.gks549,"['ethanol', 'ethanol (ethanol)']","['0.25 g/g', '0.37 g/L/h', '0.26 g/g', '0.74 g/L/h', '0.1 g/L/h']",['YPA medium'],"['cellobiose', 'xylose']",[''],['30°C'],['250 rpm'],"['250 ml flask', 'shake-flask']","['BGL', 'CDT', 'XDH', 'XKS', 'XR', 'csXR', 'ctXDH', 'ppXKS']"
10.1002.bit.24828,"['AMV', 'AMV (5-aminovalerate)', 'cadaverine', 'glutarate', 'glutarate (glutarate)', 'lysine', 'lysine (lysine)']","['0.28 ± 0.09 g/L', '0.86 ± 0.02 g/L', '0.82 ± 0.03 g/L', '93 ± 5 mmol/mol', '9.1 ± 0.02% of 750 mmol/mol', '2.0 g/L', '71 ± 3 mmol/mol', '0.63 ± 0.07 g/L', '138 ± 10 mmol/mol', '0.75 ± 0.21 g/L', '2.25 ± 0.17 g/L', '1.53 ± 0.10 g/L', '68 ± 2 mmol/mol']",['M10'],['glucose'],[''],['37°C'],[''],"['shake flask, batch']","['DavA', 'DavB', 'DavD', 'DavT', 'cadA', 'dapA', 'davBA', 'davDT', 'ldcC', 'lysC']"
10.1016.j.jbiotec.2010.11.009,"['P(3HB-co-39.6 mol% LA)', 'P(3HB-co-39.6 mol% LA) (Poly(3-hydroxybutyrate-co-39.6 mol% lactate))', 'P(3HB-co-52.3 mol% LA)', 'P(3HB-co-52.3 mol% LA) (Poly(3-hydroxybutyrate-co-52.3 mol% lactate))', 'P(3HB-co-67.4 mol% LA)', 'P(3HB-co-67.4 mol% LA) (Poly(3-hydroxybutyrate-co-67.4 mol% lactate))', 'PLA', 'PLA (Polylactic acid)']","['20 g/l', '2.7 g/l', '4.2 g/l', '15.2 g/l', '53.9 wt% in a medium containing 20 g/l glucose and 2 g/l 3HB']",['MR'],['Glucose'],['7.0'],['30°C'],"['-', 'Above 20%']","['6.6-l jar fermentor, fed-batch', 'Flask, batch']","['Pct Cp', 'Pct540 Cp', 'PhaA', 'PhaAB Cn', 'PhaB', 'PhaC1 Ps6-19', 'PhaC1310 Ps6-19', 'ackA', 'acs', 'adhE', 'frdABCD', 'lacI', 'lacIq', 'ldhA', 'pflB']"
10.1016.j.jbiotec.2013.11.009,"['geraniol', 'geraniol (geraniol)']","['105.2 mg/L', '134.0 mg/L', '96.5 mg/L', '101.0 mg/L', '129.7 mg/L', '117 mg/L', '13.3 mg/L', '187.0 mg/L', '20.8 mg/L', '182.5 mg/L', '197.5 mg/L']",['2YT'],['Glycerol'],[''],['30°C'],['250 rpm'],"['Glass tube, 1 ml decane over 5 ml culture broth']","['FPPS', 'GDPB', 'GEOLB', 'GES', 'GPPS', 'IDI', 'MvaD', 'MvaE', 'MvaK1', 'MvaK2', 'MvaS', 'ObCAD1', 'ObGEDH', 'YahK', 'YddN', 'YjgB', 'cat', 'mvaD', 'mvaE', 'mvaK1', 'mvaK2', 'mvaS', 'tObGES', 'yahK', 'yddN', 'yjgB']"
10.1016.j.procbio.2013.10.002,"['BT', 'BT (1,2,4-butanetriol)', 'acetic acid', 'acetic acid (acetic acid)', 'd-xylonic acid', 'd-xylonic acid (d-xylonic acid)']","['0.12 g/L', '1.3 g/L', '37 mg/L', '3.5 g/L', '0.88 g/L', '8.8 g/L', '1.1 g/L']",['LB broth'],['d-xylose'],"['4.6', '4.8', '5.7']",['37°C'],['Not specified'],['Shake flask'],"['Bfd', 'Xdh', 'XylD', 'mdlC', 'xdh', 'xylA', 'xylAB', 'xylB', 'yagE', 'yjhH']"
10.1016.j.ymben.2005.02.001,"['GlcN', 'GlcN (Glucosamine)', 'GlcNAc', 'GlcNAc (N-acetylglucosamine)']","['4 mg/l', '18.7 g/l', '9.0 g/l', '75 mg/l', '22.4 g/l', '50 g/l', '6 g/l', '110 g/l', '6.0 g/l', '17 g/l']","['M9A', 'M9B']","['glucose', 'glucose + ribose + yeast extract', 'glucose + yeast extract']","['-', '6.8-7.0', '6.9']","['-', '37°C']","['-', '20% saturation']","['Fermentor, fed-batch', 'Shake flask']","['AtGNA1', 'CaGNA1', 'DnagH', 'GNA1', 'GlcN-6-P N-acetyltransferase', 'ScGNA1', 'fucIK', 'glmS', 'glmS*54', 'manXYZ', 'melRAB', 'nagBACD', 'nagE', 'treB']"
10.1016.j.ymben.2005.03.001,"['acetate', 'acetate (acetate)', 'formate', 'formate (formate)', 'succinate', 'succinate (succinate)']","['1.5 mol/mol', '8 g/l for SBS550MG (pHL413, pHL531)', '0.5 mol/mol', '40 g/L', '1.25 mol/mol', '1.3 mol/mol', '0.8 g/l', '1.7 mol/mol', '1.6 mol/mol', '0.06 mol/mol for control SBS550MG (pHL413, pDHK29)', '6 g/l for control SBS550MG (pHL413, pDHK29)', '0.08 mol/mol for strain SBS550MG (pHL413, pHL531)', 'about 0.5 mol/mol']",['LB'],['glucose'],['7.0'],['37°C'],"['anaerobic', 'fully anaerobic']","['anaerobic, repeated feeding', 'anaerobic, shake flask']","['ADH', 'B. subtilis citrate synthase', 'ICLR', 'LDH', 'PEPC', 'PFL', 'PYC', 'aceBAK', 'ack', 'ack-pta', 'adhE', 'arcA', 'citZ', 'citrate synthase', 'iclR', 'ldhA', 'pta', 'pyc']"
10.1016.j.ymben.2007.12.001,"['L-tyrosine', 'L-tyrosine (L-tyrosine)']","['700 mg/l', '360 mg/g', '9.7 g/l', '270 mg/g']",['MOPS-buffered minimal'],['glucose'],[''],['37°C'],[''],"['40 ml cultures in 250 ml Erlenmeyer flasks, batch culture', 'shaken flasks']","['aroA', 'aroB', 'aroC', 'aroD', 'aroE', 'aroG', 'aroK', 'aroL', 'ppsA', 'tktA', 'tyrA', 'tyrB', 'ydiB']"
10.1016.j.ymben.2008.08.001,"['1-butanol', '1-butanol (1-butanol)', '1-propanol', '1-propanol (1-propanol)', 'ethanol', 'ethanol (ethanol)', 'isobutanol', 'isobutanol (isobutanol)']","['0.25 g/L', '1.2 g/L', '1 g/L', '30 mg/L', '60 mg/L', '0.1 g/L', '2 g/L', '1:1 co-production of 1-propanol and 1-butanol with minor accumulation of ethanol and insignificant levels of isobutanol and the methyl-butanols (o50 mg/L)', '<50 mg/L']",['M9'],['glucose'],[''],"['37°C (initially), 30°C (after induction)']",['aerobic (rotary shaker)'],['conical flask'],"['ADH2', 'AHAS I', 'AHAS III', 'BC', 'DadhE', 'DilvB', 'DilvI', 'DmetA', 'Dtdh', 'IlvA', 'Kivd', 'LeuA', 'LeuABCD', 'ThrA', 'ThrA fbr BC', 'adhE', 'fbr', 'ilvA', 'ilvB', 'ilvI', 'kivd', 'lacI', 'leuA', 'leuA fbr', 'leuABCD', 'metA', 'tdc', 'tdcB', 'tdh', 'thrA', 'thrA fbr', 'thrABC']"
10.1016.j.ymben.2009.07.003,"['(+)-catechin', '(+)-catechin ((+)-catechin)', 'leucocyanidin', 'leucocyanidin (leucocyanidin)']","['513 mg/L', '756 mg/L', '38.8 mg/L', '779 mg/L', '41.4 mg/L', '817 mg/L']",['modified M9'],['D-glucose'],['6.8'],['30 °C'],['aerobic'],"['250 mL flasks, horizontal shaking']","['DFR', 'DaceA', 'DaceE', 'DaceF', 'DldA', 'Dpgi', 'DpldA', 'DpldB', 'Dppc', 'LAR', 'aceE', 'aceEF', 'aceF', 'fadE', 'gcd', 'gdhA', 'glcDF', 'hycB', 'lpd', 'pgi', 'pgiDpldA', 'pgk', 'pldA', 'pldB', 'ppc', 'sdhA', 'sdhABCD']"
10.1016.j.ymben.2009.07.005,"['DHA', 'DHA (Dihydroxyacetone)']","['100 mg/l', '200 mg/l', '700 mg/l', '2 mol (mol glucose)⁻¹', '10-fold higher than the wild-type level', 'more than 30-fold increase compared to the wild-type level', '60 times the wildtype level']",['Verduyn (Trp-)'],['glucose'],['6.0'],['30°C'],"['aerobic', 'aerobic with osmotic stress (0.7 M NaCl)']",['250 ml baffle shake flasks'],"['ARA1', 'DAK1', 'DAK2', 'GCY1', 'GRE3', 'TPI1', 'YPR1', 'gdh', 'gldA']"
