paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
p55,10.1016.j.ymben.2013.05.005,TB3(pBPJW130/pBPJW144/pCOLA-cimA3.7-leuBCD),Escherichia coli,6dEB (6-deoxyerythronolide B),Improved,Production medium,Glycerol,15g/L,Batch,7.6,4 days,"37°C, then 22°C",TB3,,"Overexpress cimA3.7, leuBCD",,
p55,10.1016.j.ymben.2013.05.005,TB3(pBPJW130/pBPJW144/pCOLA-LiCMS-leuBCD),Escherichia coli,6dEB (6-deoxyerythronolide B),Improved,Production medium,Glycerol,15g/L,Batch,7.6,4 days,"37°C, then 22°C",TB3,,"Overexpress LiCMS, leuBCD",,
p55,10.1016.j.ymben.2013.05.005,TB2(pBP130/pBP165/pACYCDuet-matBC/pCDFDuet-mce),Escherichia coli,Benzyl-6dEB (Benzyl-6dEB),Improved,Production medium,"Glycerol, Benzoate, Methylmalonate",20mM each,Batch,,,"37°C, then 22°C",TB2,,"Overexpress matBC, mce",,
p55,10.1016.j.ymben.2013.05.005,BL21(DE3)(pJM2/pJM3/pGro7),Escherichia coli,Benzyl-erythromycin (Benzyl-erythromycin),,Production medium,,,Batch,,5 days,"37°C, then 22°C",BL21(DE3),,,,
,,,,,,,,,,,,,,,,,
p56,10.1016.j.ymben.2013.08.002,R. eutropha 437540,Ralstonia eutropha,P(3HB-co-17mol% 3HV) (Poly(3-hydroxybutyrate-co-17mol% 3-hydroxyvalerate)),Not specified,MR-N,Glucose + 2HB,20g/L + 4g/L,,,,30°C,R. eutropha NCIMB11599,phaC,,phaC1437 (Pseudomonas sp.),titer
p56,10.1016.j.ymben.2013.08.002,R. eutropha 437-ReAB,Ralstonia eutropha,"PHA (56.3mol% 3HB, 43mol% 3HV, 0.7mol% 2HB) (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate-co-2-hydroxybutyrate))",Not specified,MR-N,Glucose + 2HB,20g/L + 4g/L,,,,30°C,R. eutropha NCIMB11599,phaC,,phaC1437 (Pseudomonas sp.),titer
p56,10.1016.j.ymben.2013.08.002,R. eutropha ReC-540,Ralstonia eutropha,"P(3HB-co-3HV), P(3HB-co-LA) (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate), Poly(3-hydroxybutyrate-co-lactate))",Not specified,MR-N,Glucose + 2HB / Lactate,Variable,,,,30°C,R. eutropha,phaAB,,pct540 (C. propionicum),titer
p56,10.1016.j.ymben.2013.08.002,R. eutropha ReCGK-540,Ralstonia eutropha,P(3HB-co-LA) (Poly(3-hydroxybutyrate-co-lactate)),10.7 wt%,MR-N,Glucose,20g/L,,,,30°C,R. eutropha ReC-540,,phaC S506G A510K,pct540 (C. propionicum),yes
p56,10.1016.j.ymben.2013.08.002,R. eutropha 437-540,Ralstonia eutropha,"PHA (3HB, 3HV, 2HB, Lactate) (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate-co-2-hydroxybutyrate-co-lactate))",Not specified,MR-N,Glucose + 2HB,20g/L + Variable 2HB,,,,30°C,R. eutropha,phaCAB,,"phaC1437, pct540",titer
,,,,,,,,,,,,,,,,,
p57,10.1016.j.ymben.2017.06.010,GAB7,Corynebacterium glutamicum,GABA (γ–aminobutyric acid),28.7 g/L,GAP-main,glucose,70 g/L,batch,8.0,96h,30°C,C. glutamicum ATCC 13032,"gabT, gabP",-,,yes
p57,10.1016.j.ymben.2017.06.010,GAB8,Corynebacterium glutamicum,GABA (γ–aminobutyric acid),27.5 g/L,GAP-main,glucose,70 g/L,batch,8.0,96h,30°C,C. glutamicum ATCC 13032,"Ncgl1221, gabT, gabP",-,,yes
p57,10.1016.j.ymben.2017.06.010,GAB3,Corynebacterium glutamicum,GABA (γ–aminobutyric acid),27.5 ± 2.5 g/L,GAP-main,glucose,70 g/L,batch,8.0,96h,30°C,C. glutamicum ATCC 13032,gabT,-,,yes
,,,,,,,,,,,,,,,,,
p58,10.1016.j.ymben.2019.01.006,Strain 1,Escherichia coli,MCFA (Medium-chain fatty acids),1.35 g/L,MOPS,Glycerol,15 g/L,Shake flask,6.5,48 h,30 °C,E. coli BL21(DE3),-,lpdA(A358V),,OE
p58,10.1016.j.ymben.2019.01.006,Strain 8,Escherichia coli,MCFA (Medium-chain fatty acids),4.5 g/L,MOPS,Glycerol,15 g/L,Shake flask,6.5,48 h,30 °C,Strain 1,-,EF_lpdA,,OE
p58,10.1016.j.ymben.2019.01.006,Strain 20,Escherichia coli,MCFA (Medium-chain fatty acids),7.35 g/L,MOPS,Glycerol,15 g/L,Shake flask,6.5,48 h,30 °C,Strain 1,-,"EF_lpdA, aceE, aceF",,OE
p58,10.1016.j.ymben.2019.01.006,Final Engineered Strain,Escherichia coli,MCFA (Medium-chain fatty acids),15.67 g/L,MOPS,Glycerol,15 g/L,3-L fermenter,6.5,-,30 °C,E. coli BL21(DE3),"pflB, pfo, maeA, maeB","EF_lpdA, aceE, aceF",,OE
,,,,,,,,,,,,,,,,,
p59,10.1016.j.ymben.2019.09.003,AK01,,isoprenol (isoprenol),513 mg/L,EZ-Rich,glucose,1%,batch,,48 h,30°C,E. coli,,"atoB, HMGS_Sc_o, HMGR_Sc_o, MK_Sc_co, PMD_Sc","HMGS_Sc_o, HMGR_Sc_o, MK_Sc_co, PMD_Sc",yes
p59,10.1016.j.ymben.2019.09.003,AK02,,isoprenol (isoprenol),1.05 g/L,EZ-Rich,glucose,1%,batch,,48 h,30°C,E. coli,,"atoB, HMGS_Sc_o, HMGR_Sc_o, MK_Sc_co (high copy)","HMGS_Sc_o, HMGR_Sc_o, MK_Sc_co",yes
,,,,,,,,,,,,,,,,,
p60,10.1016.j.ymben.2020.04.010,MG-01 (expressing 'TesARD−2),E. coli,free octanoic acid (C8) (free octanoic acid (C8)),2.7 g/L,MOPS minimal medium,glucose,20 g/L + 3 g/L/h (fed-batch),5-L fed-batch bioreactor,6.8,48h,"37°C (initial), 30°C (after induction)",MG-01,"fadE, tesA",'TesARD−2,,yes
,,,,,,,,,,,,,,,,,
p61,10.1016.j.ymben.2022.01.012,ST10165,Saccharomyces cerevisiae,ergothioneine (ergothioneine),2.39 g/L,controlled fed-batch medium,glucose,"20 g/L (batch), 415 g/L (feed)","bioreactor, glucose-limited fed-batch",5.0,160 h,30°C,ST8927,-,-,-,OE KO
p61,10.1016.j.ymben.2022.01.012,ST10165,Saccharomyces cerevisiae,ergothioneine (ergothioneine),-,minimal medium with glucose,glucose,20 g/L,24 deep-well plates,-,-,30°C,ST8927,-,MET14,-,titer
p61,10.1016.j.ymben.2022.01.012,ST9687,Saccharomyces cerevisiae,ergothioneine (ergothioneine),-,plate with TRA,-,-,-,-,-,-,ST8927,-,-,-,titer
p61,10.1016.j.ymben.2022.01.012,"ST9687, ST10280",Saccharomyces cerevisiae,ergothioneine (ergothioneine),-,minimal medium,glucose,20 g/L,24 deep-well plates,-,72 h,30°C,ST8927,HIS1 mutations,-,-,titer
p61,10.1016.j.ymben.2022.01.012,ST9929,Saccharomyces cerevisiae,ergothioneine (ergothioneine),-,minimal medium,glucose,-,-,-,-,-,ST8927,-,MET14,-,titer
p61,10.1016.j.ymben.2022.01.012,ST10165 (optimized),Saccharomyces cerevisiae,ergothioneine (ergothioneine),-,optimized SC medium with pantothenate,glucose,-,-,-,-,-,ST8927,-,-,-,titer
,,,,,,,,,,,,,,,,,
p62,10.1016.j.ymben.2022.02.004,BW25113/pRB1a-AtCOMT,E. coli,ferulic acid (ferulic acid),0.94 mM,ZYM,glucose,30 mM,batch,7.5,4 h,37°C,E. coli K12 (BW25113),-,AtCOMT,-,yes
p62,10.1016.j.ymben.2022.02.004,Ms15,E. coli,ferulic acid (ferulic acid),3.5 mM,ZYM,glucose,"30 mM (initial), replenished every 4h",batch,7.5,8 h,37°C,Me03,"add, yaiE, deoD, ushA, amn",-,ADO1 (genomic),yes
p62,10.1016.j.ymben.2022.02.004,Ms27,E. coli,ferulic acid (ferulic acid),3.97 mM,ZYM,glucose,"30 mM (initial), replenished every 4h",batch,7.5,30 h,37°C,Ms23,mtn,"CpADO1, CeSAHase",-,yes
p62,10.1016.j.ymben.2022.02.004,Ms40 (Me13/pRB1k-HsOMT-TnBHMT-ScSAH+pLB1s-CpADO1-CeSAH),E. coli,vanillic acid (vanillic acid),3.84 mM,ZYM,glucose,"30 mM (initial), replenished every 4h",batch,7.5,-,37°C,Me13,-,"HsOMT, TnBHMT, ScSAH, CpADO1, CeSAHase",-,yes
p62,10.1016.j.ymben.2022.02.004,Ms41 (Me13/pRB1a-RnGAMT-TnBHMT-ScSAH+pLB1s-CpADO1-CeSAH),E. coli,creatine (creatine),2.16 mM,ZYM,glucose,"30 mM (initial), replenished every 4h",batch,7.5,32 h,37°C,Me13,-,"RnGAMT, TnBHMT, ScSAH, CpADO1, CeSAHase",-,yes
,,,,,,,,,,,,,,,,,
p63,10.1016.j.ymben.2022.08.006,EMP01-pH,Escherichia coli,hexanol (hexanol),790 mg/L,M9,glucose,10 g/L,batch,not specified,24 h,37°C,EMM01,proP,adhE2 (Clostridium acetobutylicum),,KO
p63,10.1016.j.ymben.2022.08.006,EMP01-pO,Escherichia coli,octanol (octanol),60 mg/L,M9,glucose,10 g/L,batch,not specified,24 h,37°C,EMM01,proP,ahr (E. coli),,KO
p63,10.1016.j.ymben.2022.08.006,EMP01-pP,Escherichia coli,phenethyl acetate (phenethyl acetate),167 mg/L,"M9 + acetate, pantothenic acid",glucose + acetate,"10 g/L glucose, not specified acetate",batch,not specified,24 h,37°C,EMM01,proP,"EHT1 (linked), panK, acs",,KO
p63,10.1016.j.ymben.2022.08.006,EMP01-pB,Escherichia coli,butyl butyrate (butyl butyrate),78 mg/L,M9 + butyrate,glucose + butyrate,"10 g/L glucose, not specified butyrate",batch,not specified,24 h,37°C,EMM01,proP,"EHT1 (linked), panK, atoDA",,KO
,,,,,,,,,,,,,,,,,
p64,10.1016.j.ymben.2023.04.005,C. acetobutylicum ATCC 824 (pCD07239),Clostridium acetobutylicum,butanol (butanol),1.38 g/L,CGM with 8.0 g/L glucose and 20% CO2 + 80% H2,glucose,8.0 g/L,Batch,Not specified,72 h,37°C,C. acetobutylicum ATCC 824,-,-,CD630_0723∼CD630_0729 (WLP genes),yes
p64,10.1016.j.ymben.2023.04.005,C. acetobutylicum ATCC 824 (pCD07239),Clostridium acetobutylicum,butanol (butanol),13.8 g/L,1.8 L CGM with 80 g/L glucose,glucose,80 g/L,Batch,Not specified,-,37°C,C. acetobutylicum ATCC 824,-,-,CD630_0723∼CD630_0729 (WLP genes),yes
p64,10.1016.j.ymben.2023.04.005,C. acetobutylicum ATCC 824,Clostridium acetobutylicum,butanol (butanol),0.30 g/L,CGM with 8.0 g/L glucose and 20% CO2 + 80% H2,glucose,8.0 g/L,Batch,Not specified,72 h,37°C,-,-,-,-,yes
p64,10.1016.j.ymben.2023.04.005,C. acetobutylicum ATCC 824,Clostridium acetobutylicum,butanol (butanol),10.4 g/L,1.8 L CGM with 80 g/L glucose,glucose,80 g/L,Batch,Not specified,-,37°C,-,-,-,-,yes
,,,,,,,,,,,,,,,,,
p65,10.1021.acs.jafc.3c06629,"E. coli TYR-14B1 (pZAC-tal214C, pZBK)",Escherichia coli,p-coumaric acid (p-coumaric acid),497.32 ± 2.01 mg/L,Modified M9,Glucose,15 g/L,Shake flask,pH 7.0,48 h,37 °C,E. coli TYR-14B1,-,tal214C,-,yes
p65,10.1021.acs.jafc.3c06629,"E. coli MalCoA-30 (pZAC-4cl214C, pZBK-sts53-romt18)",Escherichia coli,pterostilbene (pterostilbene),67.14 ± 8.11 mg/L,Modified M9,Glucose,15 g/L,Shake flask,pH 7.0,48 h,37 °C,E. coli TYR-30,-,"4cl214C, sts53, romt18",-,strain
p65,10.1021.acs.jafc.3c06629,"E. coli MalCoA-29D4 (pZAC-4cl214C, pZBK-sts53-romt18)",Escherichia coli,pterostilbene (pterostilbene),109.12 ± 5.71 mg/L,Modified M9,Glucose,15 g/L,Shake flask,pH 7.0,48 h,37 °C,E. coli MalCoA-30,pabA,"4cl214C, sts53, romt18",-,Strain
p65,10.1021.acs.jafc.3c06629,"E. coli TYR-14B1 (pZAC-tal214C, pZBK)-E. coli MalCoA-29D4 (pZAC-4cl214C, pZBK-sts53-romt18)",Escherichia coli,pterostilbene (pterostilbene),134.84 ± 9.28 mg/L,Modified M9,Glucose,15 g/L,Shake flask,pH 7.0,48 h,37 °C,"E. coli TYR-14B1, E. coli MalCoA-29D4",pabA,"tal214C, 4cl214C, sts53, romt18",-,strain
,,,,,,,,,,,,,,,,,
p66,10.1021.acs.jafc.8b07270,EcPHY-G81,bacteria,(R)-α-ionone ((R)-α-ionone),"285 mg/L-broth (lab scale), 400 mg/L-broth (industrial scale)",,,,Fed-batch,,120 hours,26 °C,E. coli,,"crtB, crtE, crtI, mutated lycopene epsilon-cyclase, mutated plant carotenoid cleavage dioxygenase",E. herbicola (enzyme cascade for ionone production),yes
,,,,,,,,,,,,,,,,,
p67,10.1021.acs.jafc.9b04519,BS106,Saccharomyces cerevisiae,lycopene (lycopene),310 mg/L,shake-flask,glucose,not specified,shake-flask,not specified,not specified,30 °C,S. cerevisiae CEN.PK2-1D,"gal1, gal7, gal10, exg1","POS5, ALD6, ACS, ADH2","crtE (Pa), crtB (Pag), crtI (Bt)",KO
,,,,,,,,,,,,,,,,,
p68,10.1021.acssynbio.0c00225,NEB10β-∆xylR-∆xylAB-xylRmut17-lacZ,Escherichia coli,β-galactosidase (β-galactosidase),Not specified,LB,Xylose,0.2-1 g/L,Not specified,Not specified,15 hours,30 °C,NEB10β-∆xylR-∆xylAB,"xylR, xylAB","xylRmut17, lacZ",,titer
p68,10.1021.acssynbio.0c00225,NEB10β-∆xylR-∆xylAB-xylRmut17-crtEBI,Escherichia coli,Lycopene (Lycopene),Maximum at 0.4 g/L xylose,Not specified,Xylose,0.4 g/L,Not specified,Not specified,Not specified,30 °C,NEB10β-∆xylR-∆xylAB,"xylR, xylAB","xylRmut17, crtEBI","crtE, crtB, crtI",yes
,,,,,,,,,,,,,,,,,
p69,10.1021.acssynbio.0c00648,Mad1415,Mad1415,adipic acid (adipic acid),Not specified,SOB,glucose,4 g/L,"Serum bottles, batch",Not specified,"12 h aerobic, then anaerobic",37 °C,E. coli K12 MG1655,"sucD, ldhA, atoB",RADP,,titer
p69,10.1021.acssynbio.0c00648,Mad1415s,Mad1415,adipic acid (adipic acid),1.36-fold increase*,SOB,glucose + succinate,4 g/L glucose + succinate,"Serum bottles, batch",Not specified,"After glucose depletion, anaerobic",37 °C,Mad1415,,sucD restored,,yes
p69,10.1021.acssynbio.0c00648,Mad1415-F8NAspf,Mad1415,adipic acid (adipic acid),0.30 g/L,SOB,glucose,4 g/L,"Serum bottles, batch",Not specified,"After glucose depletion, anaerobic",37 °C,Mad1415s,,"sucD, pyc, f rdABCD",,yes
p69,10.1021.acssynbio.0c00648,Mad1415-F8NA4s7pf (optimized),Mad1415,adipic acid (adipic acid),0.53 g/L,SOB,glucose,4 g/L,"Serum bottles, batch",Not specified,"After glucose depletion, anaerobic",37 °C,Mad1415s,,"sucD (medium), pyc (low), f rdABCD (high)",,yes
,,,,,,,,,,,,,,,,,
p70,10.1021.acssynbio.2c00003,Cg01,Candida glycerinogenes,geraniol (geraniol),6.9 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,C. glycerinogenes,-,CrGES,CrGES,yes
p70,10.1021.acssynbio.2c00003,Cg02,Candida glycerinogenes,geraniol (geraniol),25.4 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,C. glycerinogenes,-,tCrGES,tCrGES,yes
p70,10.1021.acssynbio.2c00003,Cg11,Candida glycerinogenes,geraniol (geraniol),274.1 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,Cg02,-,"IDI1, tHMGR",-,yes
p70,10.1021.acssynbio.2c00003,Cg15,Candida glycerinogenes,geraniol (geraniol),360.4 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,Cg11,-,-,Erg20ww,yes
p70,10.1021.acssynbio.2c00003,Cg16,Candida glycerinogenes,geraniol (geraniol),429.7 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,Cg11,-,Erg20ww-tCrGES,-,yes
p70,10.1021.acssynbio.2c00003,Cg18,Candida glycerinogenes,geraniol (geraniol),858.4 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h,30 °C,Cg16,CgGPD,"IDI1, Erg20ww-tCrGES",-,KO
p70,10.1021.acssynbio.2c00003,Cg22,Candida glycerinogenes,geraniol (geraniol),1132.9 mg/L,YPD,glucose,20 g/L,shake flask,6.0,18 h (induction at 18 h),30 °C,Cg18,-,Erg20ww-tCrGES,- (with PGAP (core*3CgARR1)),yes
,,,,,,,,,,,,,,,,,
p71,10.1021.acssynbio.3c00315,BP,Bacillus subtilis,d-pantothenic acid (DPA) (d-pantothenic acid),0.59 g/L,M4,glucose,40 g/L,shake flask,-,72 h,41 °C,B. subtilis 168,-,panBCDT,-,yes
p71,10.1021.acssynbio.3c00315,BPE,Bacillus subtilis,DPA (d-pantothenic acid),0.79 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,BP,panE,-,-,yes
p71,10.1021.acssynbio.3c00315,BPD,Bacillus subtilis,DPA (d-pantothenic acid),0.70 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,BP,-,P43-ilvD,-,yes
p71,10.1021.acssynbio.3c00315,BPS,Bacillus subtilis,DPA (d-pantothenic acid),0.18 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,BP,-,P43-alsS,-,yes
p71,10.1021.acssynbio.3c00315,BPEDSΔI,Bacillus subtilis,DPA (d-pantothenic acid),0.85 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,BP,ilvA,"panE, ilvD, alsS",-,yes
p71,10.1021.acssynbio.3c00315,SΔIH,Bacillus subtilis,DPA (d-pantothenic acid),0.70 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,BPEDSΔI,pdhA,-,-,yes
p71,10.1021.acssynbio.3c00315,BPa-h,Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,-,pdhA (downregulated),-,-,titer
p71,10.1021.acssynbio.3c00315,SΔIP (pta deletion),Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,-,pta,-,-,titer
p71,10.1021.acssynbio.3c00315,SΔIA (alsD deletion),Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,-,alsD,-,-,titer
p71,10.1021.acssynbio.3c00315,SΔIPM (mmgA deletion),Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,-,mmgA,-,-,titer
p71,10.1021.acssynbio.3c00315,SΔIPML (lctE deletion),Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,-,lctE,-,-,titer
p71,10.1021.acssynbio.3c00315,SPKΔI (glcPK overexpression),Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,B. subtilis 168,-,glcPK,-,titer
p71,10.1021.acssynbio.3c00315,"SPKΔIG (ptsG deletion, glcPK overexpression)",Bacillus subtilis,DPA (d-pantothenic acid),-,M4,glucose,-,shake flask,-,-,-,SPKΔI,ptsG,glcPK,-,titer
p71,10.1021.acssynbio.3c00315,"SQGΔI (QS system, glcPK)",Bacillus subtilis,DPA (d-pantothenic acid),0.71 g/L,M4,glucose,40 g/L,shake flask,-,-,41 °C,EDSΔI,-,glcPK,-,yes
p71,10.1021.acssynbio.3c00315,"QGPKΔI (QS system, multiple modifications)",Bacillus subtilis,DPA (d-pantothenic acid),1.41 g/L,M4,glucose,40 g/L,shake flask,-,72 h,41 °C,-,ptsG (replaced with PsrfAA11),glcPK,-,yes
p71,10.1021.acssynbio.3c00315,U3BPES (UTR11 engineering),Bacillus subtilis,DPA (d-pantothenic acid),5.11 g/L,shake flask medium,glucose,40 g/L,shake flask,-,-,-,B. subtilis 168,-,"panBCD (UTR11), panE (UTR11), others",-,KO OE
p71,10.1021.acssynbio.3c00315,U3BPES (fed-batch),Bacillus subtilis,DPA (d-pantothenic acid),21.52 g/L,5 L fermenter medium,glucose + glycerin,40 g/L + feeding,"5 L fermenter, fed-batch",~6.8,-,41 °C,-,-,-,-,KO OE
,,,,,,,,,,,,,,,,,
p72,10.1038.s41467-022-29215-6,Bgly2-Tyr / Bglc2-Sal,,salidroside (salidroside),1552 mg/L,M9,glucose and glycerol,"15 g/L glucose, 15 g/L glycerol",shake flask,7.0,48 h,37 °C,E. coli BW25113 derivatives,"ptsG, manXYZ, glk (in Bgly1); pykA, pykF, gdhA, gltBD, ppc (in Bgly2)",,"tyrosine biosynthesis genes (in Bgly2-Tyr), salidroside biosynthesis genes (in Bglc2-Sal)",yes
p72,10.1038.s41467-022-29215-6,Bgly2-Caf / Bglc2-Con,,coniferol (coniferol),217-258 mg/L,M9,glucose and glycerol,"15 g/L glucose, 15 g/L glycerol",shake flask,7.0,48 h,37 °C,E. coli BW25113 derivatives,"ptsG, manXYZ, glk (in Bgly1); pykA, pykF, gdhA, gltBD, ppc (in Bgly2)","DmpR biosensor, gdhA (in Bglc2-ConDmpR)","tyrosine to caffeate pathway (in Bgly2-Caf), caffeate to coniferol pathway (in Bglc2-Con)",yes
p72,10.1038.s41467-022-29215-6,Bglc2-Caf / Bglc2-Sil(b),,silybin/isosilybin (silybin/isosilybin),2.02 mg/L,M9,glucose and glycerol,"15 g/L glucose, 15 g/L glycerol",shake flask,7.0,48 h,37 °C,E. coli BW25113 derivatives,"ptsG, manXYZ, glk (in Bgly1); pykA, pykF, gdhA, gltBD, ppc (in Bgly2)","DmpR biosensor, gdhA, APX1, Nox (in Bglc2-Sil(b))","caffeate to coniferol/taxifolin pathways, APX1 for silybin/isosilybin biosynthesis (in Bglc2-Sil(b))",yes
,,,,,,,,,,,,,,,,,
p73,10.1073.pnas.0812364106,Xylose-fermenting S. cerevisiae 424A(LNH-ST),Aspergillus,ethanol (ethanol),Not specified,"Complex media, Hydrolysate I, Hydrolysate II","Glucose, xylose","70 g/L glucose, 40 g/L xylose",Batch,5.5,144 h,30 °C,S. cerevisiae,Not specified,Not specified,Xylose utilization genes (metabolic engineering),titer
,,,,,,,,,,,,,,,,,
p74,10.1093.jimb.kuab050,JCY99,Saccharomyces cerevisiae,mevalonate (mevalonate),"2,050 ± 100 mg/l",SC-dropout,glucose,2%,batch,5.0,7 days,30°C,CEN.PK2-1C,"ADH1, GPD1",-,"Ef-mvaE, Ef-mvaS, Se-acsL641P",yes
p74,10.1093.jimb.kuab050,JCY87,Saccharomyces cerevisiae,mevalonate (mevalonate),"3,830 ± 120 mg/l",SC-Ura,glucose,2%,batch + pantothenate supplement,-,7 days,30°C,CEN.PK2-1C,-,CAB1,"Ef-mvaE, Ef-mvaS, Se-acsL641P",yes
p74,10.1093.jimb.kuab050,JCY87 in fed-batch,Saccharomyces cerevisiae,mevalonate (mevalonate),13.3 ± 0.5 g/l,SC-Ura with feed,glucose,20% in feed,fed-batch,-,160 h,30°C,CEN.PK2-1C,-,CAB1,"Ef-mvaE, Ef-mvaS, Se-acsL641P",yes
p74,10.1093.jimb.kuab050,JCY37,Saccharomyces cerevisiae,mevalonate (mevalonate),"1,570 ± 50 mg/l",SC-dropout,glucose,2%,batch,-,7 days,30°C,CEN.PK2-1C,"ADH1, GPD1","Ef-mvaE, Ef-mvaS, Se-acsL641P",-,yes
p74,10.1093.jimb.kuab050,JCY51,Saccharomyces cerevisiae,mevalonate (mevalonate),"1,390 ± 10 mg/l",SC-dropout,glucose,2%,batch,-,7 days,30°C,CEN.PK2-1C,-,"Ef-mvaE, Ef-mvaS, Se-acsL641P",-,yes
p74,10.1093.jimb.kuab050,JCY9,Saccharomyces cerevisiae,mevalonate (mevalonate),"1,620 ± 20 mg/l",SC-dropout,glucose,2%,batch,-,7 days,30°C,CEN.PK2-1C,"ADH1, GPD1",Se-acsL641P,-,OE
p74,10.1093.jimb.kuab050,JCY98,Saccharomyces cerevisiae,mevalonate (mevalonate),-,SC-dropout,glucose,2%,batch,-,7 days,30°C,CEN.PK2-1C,"ADH1, GPD1","Ef-mvaE, Ef-mvaS, Se-acsL641P duplicated",-,titer
,,,,,,,,,,,,,,,,,
p75,10.1093.jimb.kuad009,Yli-C,Yarrowia lipolytica,β-carotene (β-carotene),34.5 mg/L,YPD,glucose,20 g/L,shake flask,5.6,7 days,30°C,Y. lipolytica po1f,-,"crtI, crtE, crtYB","crtI, crtE, crtYB",yes
p75,10.1093.jimb.kuad009,Yli-CAH,Yarrowia lipolytica,β-carotene (β-carotene),87 mg/L,YPD,glucose,20 g/L,shake flask,5.6,-,30°C,Yli-C,-,"tHMGR, acc1",-,yes
p75,10.1093.jimb.kuad009,Yli-C2AH2,Yarrowia lipolytica,β-carotene (β-carotene),2.7 g/L (51.34 mg/g DCW),custom (glucose-sodium citrate),glucose + sodium citrate,"glucose: 30 g/L, sodium citrate: 5 g/L","5.0-L fermenter, fed-batch",5.6,168 hr,25°C,Yli-CAH,-,"tHMGR, crtIEYB (multi-copy)",-,yes
,,,,,,,,,,,,,,,,,
p76,10.1186.1475-2859-10-29,E. coli BW-ASTA,Escherichia coli,astaxanthin (astaxanthin),1.4 mg/g cdw,LB,glucose,not specified,shake flask,not specified,48 h,30°C,E. coli BW-CARO,none,"dxs, idi, crtEBIY, crtW148, crtZ","crtEBIY (P. ananatis), crtW148 (N. punctiforme), crtZ (N. punctiforme)",OE
p76,10.1186.1475-2859-10-29,E. coli BW-CARO,Escherichia coli,β-carotene (β-carotene),6.2 mg/g cdw,LB,glucose,not specified,shake flask,not specified,not specified,37°C,E. coli BW,none,"dxs, idi, crtEBIY",crtEBIY (P. ananatis),yes
p76,10.1186.1475-2859-10-29,E. coli BW-CARO-dxs-idi,Escherichia coli,β-carotene (β-carotene),6.18 mg/g cdw,LB,glucose,not specified,shake flask,not specified,not specified,37°C,E. coli BW-CARO,none,"dxs, idi","idi (E. coli), dxs (promoter replaced)",yes
,,,,,,,,,,,,,,,,,
p77,10.1186.1475-2859-12-63,"JJ003, JJ004",Pseudomonas putida,proline (L-proline),JJ004: 0.31 ± 0.01 g/g,CGXII minimal medium with IPTG,glucose,40 g/L,Shake flask,Not specified,Not specified,30°C,ORN1,"argR, argF",ocd,ocd from P. putida,yes
p77,10.1186.1475-2859-12-63,JJ006,Pseudomonas putida,proline (L-proline),Increased production compared to JJ004,Modified CGXII medium,glucose,35 g/L,Shake flask,Not specified,Not specified,30°C,JJ004,N/A (already ORN1 background),feedback alleviated NAGK,"N/A (endogenous, modified)",yes
,,,,,,,,,,,,,,,,,
p78,10.1186.s12896-016-0284-7,BKS4,Escherichia coli,succinate (Succinate),not specified,YM9,glucose,100 mM,"shake flask, batch",not specified,40 h,37 °C,BW25113 (DE3),ptsG,-,-,titer
p78,10.1186.s12896-016-0284-7,BKS8,Escherichia coli,succinate (Succinate),not specified,YM9,glucose,100 mM,"shake flask, batch",not specified,40 h,37 °C,BKS4,"ppc, pykA, maeA, maeB",pck,-,KO titer
p78,10.1186.s12896-016-0284-7,BKS9,Escherichia coli,succinate (Succinate),7.11 mM,YM9,glucose,100 mM,"shake flask, batch",not specified,40 h,37 °C,BKS8,sdh,-,-,yes
p78,10.1186.s12896-016-0284-7,BKS10,Escherichia coli,succinate (Succinate),not specified,YM9,glucose,100 mM,"shake flask, batch",not specified,40 h,37 °C,BKS9,iclR,-,ecaA*,OE titer
